seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 33796, 38495.3, 39633.8, 40369.6, 40920.5, 41127.1, 40823.9, 39874.9, 38232.7, 35946, 33153.6, 30055.3, 166519, 45022.2, 12064.2, 3019.89, 922.177, 44.5009, 2.55027, 0.0927345, 0.00348201, 0.000124918, 9.08456e-06, 1.4112e-06, 1.93089e-07
1082, 35678.4, 40306, 41048.3, 41452.5, 41758.4, 41774.7, 41306, 40199.5, 38400.6, 35958.8, 33019.8, 29792.6, 160908, 42875.5, 11448.7, 2876.91, 892.048, 44.5361, 2.6738, 0.101207, 0.00386658, 0.000139315, 1.02698e-05, 1.66427e-06, 2.31292e-07
168, 35967.2, 40085.2, 40853.6, 41337.7, 41676.8, 41687.2, 41194.2, 40059.3, 38236.3, 35779, 32834.1, 29609.1, 163675, 42980.1, 11144.3, 2658.11, 745.024, 30.9838, 1.47141, 0.0460107, 0.00157455, 6.89881e-05, 1.19964e-05, 2.3332e-06, 3.21097e-07
143, 31292.1, 36791.2, 38742, 39980, 40816.9, 41189.4, 40991.1, 40121.2, 38547.9, 36322.5, 33579.3, 30510.9, 171493, 45281.7, 11726.1, 2789.72, 776.738, 31.856, 1.47801, 0.0451446, 0.00149551, 6.10532e-05, 9.77118e-06, 1.9017e-06, 2.63739e-07
182, 34826.2, 39313.7, 40283.2, 40895, 41340.7, 41450.3, 41052, 40009.1, 38275.3, 35902.1, 33032.7, 29870.5, 164710, 43940.4, 11596, 2844.29, 839.183, 38.0697, 2.03566, 0.0703166, 0.00255006, 9.26793e-05, 8.55939e-06, 1.50305e-06, 2.09134e-07
482, 34657.3, 39668.2, 40666.6, 41216.3, 41616.2, 41702.2, 41291.1, 40234.6, 38478.9, 36072.5, 33159.4, 29947.4, 162473, 43244.9, 11444.6, 2830.74, 850.703, 40.4977, 2.29297, 0.0826869, 0.00305873, 0.000110084, 8.90778e-06, 1.47398e-06, 2.02799e-07
87, 35847.9, 40221.5, 41016.9, 41474.6, 41784.9, 41771.5, 41257.9, 40103.3, 38260.6, 35783.8, 32820.7, 29580.2, 162248, 42671.4, 11088, 2660.55, 755.301, 32.0928, 1.5706, 0.050222, 0.00172691, 6.59369e-05, 8.44939e-06, 1.6214e-06, 2.26678e-07
766, 35468.8, 40099.2, 40873.8, 41321.4, 41674.2, 41735.9, 41309.1, 40239.1, 38469.3, 36047.8, 33119.7, 29894.4, 161415, 43240.8, 11532.6, 2883.02, 882.451, 43.2531, 2.53893, 0.0939212, 0.00354095, 0.000125287, 8.34544e-06, 1.26849e-06, 1.7487e-07
774, 32556.8, 37598.1, 39090.4, 40065, 40771.4, 41083.6, 40855.8, 39967.7, 38379.1, 36141.2, 33391.3, 30325.8, 168680, 45186.2, 12015.8, 2978.17, 894.795, 42.1542, 2.35257, 0.0838819, 0.0030941, 0.000113199, 9.97513e-06, 1.69005e-06, 2.32914e-07
229, 32443.8, 37588.1, 39107.9, 40077.8, 40774.7, 41082.1, 40856.5, 39974.7, 38393.3, 36159.6, 33409, 30337.6, 168943, 45453, 12062.7, 2974.37, 882.626, 40.4744, 2.17618, 0.0751539, 0.00271799, 9.85626e-05, 8.99708e-06, 1.57366e-06, 2.18907e-07
733, 35154.1, 39776.5, 40554.2, 41009.4, 41377.2, 41461.4, 41064.3, 40031, 38304.6, 35932.4, 33057.2, 29885.3, 162406, 43990, 11923.5, 3054.78, 978.26, 51.2759, 3.24811, 0.127551, 0.00499962, 0.000177717, 9.87856e-06, 1.28496e-06, 1.72276e-07
814, 36363.1, 40678.3, 41223.3, 41532.3, 41792.8, 41786.6, 41304.8, 40187.9, 38376.7, 35919, 32960.7, 29713, 161359, 42930.9, 11374.5, 2805.87, 836.709, 39.501, 2.2099, 0.0787116, 0.00290167, 0.000105587, 8.82325e-06, 1.45348e-06, 1.99458e-07
1112, 32556.3, 37546.4, 38931.6, 39853.8, 40561.2, 40906.2, 40727.7, 39892.4, 38353.7, 36159.1, 33444.9, 30407.7, 167316, 45796.7, 12571.7, 3277.07, 1080.13, 58.907, 3.88795, 0.157592, 0.00628784, 0.000222959, 1.05303e-05, 1.11558e-06, 1.42956e-07
547, 35272.4, 39862.1, 40727.5, 41242.3, 41623.3, 41688.5, 41254.3, 40174.7, 38398.4, 35976.1, 33053, 29836.9, 163217, 43071.3, 11279.9, 2740.6, 796.732, 35.8796, 1.9065, 0.0659973, 0.00237857, 8.91653e-05, 9.39793e-06, 1.66698e-06, 2.29347e-07
845, 36170.2, 40334.8, 40902, 41253.6, 41549.4, 41575.2, 41128.8, 40055.1, 38295.1, 35893.5, 32991.2, 29794, 163481, 44051.4, 11773.1, 2927.81, 880.383, 41.3358, 2.28306, 0.0799491, 0.00295405, 0.000112193, 1.14904e-05, 2.06921e-06, 2.88259e-07
249, 32326.9, 37476.6, 39041.5, 40050.7, 40777.2, 41106.7, 40898.7, 40030.6, 38459.2, 36232.1, 33484.5, 30412.6, 169029, 45352.5, 12028.5, 2966.01, 881.023, 40.6466, 2.20474, 0.0767235, 0.00278213, 0.000100539, 8.99903e-06, 1.57244e-06, 2.1935e-07
711, 34276.7, 39082.1, 40098.1, 40724.1, 41207.3, 41373.4, 41039.5, 40059.9, 38381.7, 36052.1, 33212.3, 30065.9, 164480, 44307.2, 11896.4, 2998.51, 930.695, 46.5377, 2.79497, 0.105445, 0.00402306, 0.000144153, 9.91903e-06, 1.51054e-06, 2.06553e-07
455, 30655.8, 36303.2, 38254.3, 39518.3, 40429.5, 40905.1, 40819.2, 40058.8, 38584.3, 36443.4, 33768.7, 30752.9, 170850, 45991.2, 12268.5, 3058.02, 928.166, 44.6051, 2.55253, 0.0928276, 0.00343477, 0.000119222, 7.44909e-06, 1.06252e-06, 1.43789e-07
379, 33298.7, 38141.2, 39357.6, 40157.5, 40774.6, 41047.2, 40804.8, 39910.2, 38315.2, 36068.3, 33308.4, 30234.9, 166203, 45212.5, 12322.1, 3177.02, 1027.63, 54.7541, 3.52551, 0.140062, 0.00551954, 0.000194825, 9.37671e-06, 1.00668e-06, 1.28427e-07
116, 34530.9, 39021.8, 40111.2, 40818.3, 41324.9, 41472.4, 41099.1, 40072.5, 38348.2, 35978.3, 33106.4, 29936.7, 164815, 43813.4, 11525.6, 2809.44, 818.614, 36.6133, 1.90311, 0.063555, 0.00225298, 8.30305e-05, 8.56069e-06, 1.55484e-06, 2.16724e-07
309, 36413, 40781.1, 41220, 41411.8, 41580.2, 41506.9, 40979.2, 39835.3, 38017.1, 35573.8, 32651.3, 29457.5, 160019, 43517, 11892.3, 3088.3, 1015.19, 55.3217, 3.64094, 0.147031, 0.00590084, 0.00020985, 9.48156e-06, 9.07981e-07, 1.11953e-07
412, 32437.1, 37737.5, 39312.3, 40305.1, 41014.2, 41325, 41092.6, 40192.8, 38583.2, 36314.4, 33525.4, 30416.1, 166646, 44375.8, 11763, 2922.06, 886.779, 42.6709, 2.46604, 0.0912379, 0.00340366, 0.00011722, 6.8998e-06, 9.67469e-07, 1.32287e-07
1147, 33998.2, 38803.5, 39890.7, 40579.4, 41108.9, 41312, 41009, 40059.5, 38410.4, 36107.8, 33290.7, 30161.3, 165155, 44645.2, 12027.8, 3043.37, 949.765, 47.9274, 2.89991, 0.109908, 0.00420821, 0.000150034, 9.66402e-06, 1.41082e-06, 1.92246e-07
878, 33913.2, 38902.9, 40175.1, 40950.3, 41491, 41659.7, 41301, 40284.1, 38564.4, 36193.3, 33312.6, 30126.2, 165338, 43503.4, 11328.3, 2727.62, 778.716, 33.9403, 1.71515, 0.05633, 0.00197759, 8.29709e-05, 1.30267e-05, 2.54195e-06, 3.51687e-07
905, 35394.4, 39903.9, 40689.8, 41178.1, 41571, 41668, 41273.4, 40232.7, 38489.3, 36090.5, 33180.3, 29967.4, 162661, 43436.5, 11551.6, 2867.69, 865.187, 41.8379, 2.40923, 0.0876572, 0.00326773, 0.000118192, 9.19733e-06, 1.46998e-06, 2.00925e-07
838, 33637.2, 38499.5, 39768.9, 40575.7, 41155.7, 41365.9, 41050.5, 40080.6, 38412.5, 36096.7, 33273.1, 30142.3, 166587, 44409.7, 11715.5, 2869.7, 843.507, 38.1877, 2.02715, 0.0692, 0.00249187, 9.59552e-05, 1.14559e-05, 2.16207e-06, 3.0165e-07
964, 35411, 39819.3, 40506.8, 40941.9, 41316.1, 41415.8, 41034.2, 40014.2, 38297.1, 35929.7, 33056, 29883.9, 161473, 44050.8, 12108.2, 3167.55, 1053.69, 58.9185, 3.98275, 0.163559, 0.00658443, 0.000233551, 9.76935e-06, 8.04169e-07, 9.41266e-08
596, 34782.4, 39551.6, 40512.9, 41078.4, 41495, 41591.5, 41185.8, 40136.6, 38393.4, 36006, 33117.6, 29933.5, 163532, 43623.3, 11561.2, 2862.06, 860.835, 40.6869, 2.29183, 0.0825297, 0.00306315, 0.000111801, 9.93478e-06, 1.73645e-06, 2.4191e-07
995, 34969.2, 39484.7, 40311.3, 40830.6, 41246.5, 41364.6, 40991.9, 39980.7, 38277.1, 35929.6, 33080.2, 29933.1, 163480, 44254.1, 11988.5, 3066.88, 979.293, 51.212, 3.23795, 0.127215, 0.00498876, 0.000177906, 1.00555e-05, 1.30571e-06, 1.73972e-07
503, 30735.3, 35996.6, 37875, 39168.6, 40131.7, 40661.3, 40629, 39921.5, 38500, 36412, 33788.6, 30820.3, 172005, 46730, 12626.3, 3201.1, 1000.25, 50.3652, 3.04803, 0.115736, 0.00441879, 0.000155273, 8.99904e-06, 1.21208e-06, 1.63329e-07
