seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,30822,35673.9,37274.1,38359.4,39183.3,39634.5,39575.7,38887.6,37526.4,35533.7,33034.3,30210.7,176209,49031.4,13516.6,3515.2,1150.31,62.2237,4.06712,0.163182,0.00652044,0.000231508,1.07098e-05,1.07875e-06,1.35234e-07
1050,32659.7,37357.2,38738.4,39634.2,40274.2,40536,40278.2,39381.4,37805.8,35600.6,32901.1,29900.3,172028,45813.7,12034.5,2925.44,851.591,39.0494,2.11567,0.0739525,0.00269492,0.000103556,1.15603e-05,2.07585e-06,2.84605e-07
456,31433,36542.6,38170.6,39203.7,39942.1,40290.2,40117.1,39305.2,37813.4,35687.6,33057.9,30113.1,174306,46802.6,12369.9,3032.25,894.92,41.404,2.28053,0.0809636,0.00295923,0.000104157,7.73741e-06,1.2269e-06,1.6837e-07
841,30693.9,35681.8,37470.3,38658.3,39509,39938.9,39831.4,39082.4,37657.4,35604.1,33050.1,30178.9,177313,47742.6,12658.5,3110.52,920.827,42.8151,2.36417,0.0841823,0.00309968,0.000113668,1.01207e-05,1.69037e-06,2.30783e-07
838,31411.6,36259.3,37879.1,38936.3,39685.6,40033.6,39858.8,39051.4,37574.9,35476.4,32884.5,29984,176531,47541.4,12552.6,3059.6,890.292,39.738,2.07973,0.0703566,0.00252742,9.77868e-05,1.1792e-05,2.20771e-06,3.06524e-07
757,33276.4,37753.7,38877.3,39608,40156.9,40373,40095.2,39192.3,37617.5,35417.5,32726.9,29739.6,171254,46321.4,12362.1,3070.11,927.77,44.4219,2.55381,0.0931387,0.00349168,0.000120287,6.37157e-06,7.87391e-07,1.04481e-07
78,33668.6,38085.4,39259.2,39980.2,40460.5,40577.7,40192.7,39186.8,37520.9,35245.8,32497.4,29469.2,171850,45603.3,11851,2822.46,788.107,32.3725,1.51016,0.0460453,0.00154141,6.1296e-05,9.06815e-06,1.76936e-06,2.46494e-07
262,32927.1,37662.6,38788.3,39482.7,40016,40241.6,39990.2,39125.3,37593.8,35436.9,32785.1,29829.6,171336,47043.8,12827.3,3294.67,1059.16,56.2989,3.62008,0.143511,0.00567151,0.0002008,9.84844e-06,1.09602e-06,1.41626e-07
1124,33105.7,37996.4,39223.8,39947.4,40460.7,40636.8,40321.8,39383.8,37775.5,35542.1,32817.8,29796.2,170520,45651.8,12082.7,2977.52,889.714,42.0057,2.37074,0.0856665,0.00318364,0.00011502,9.70961e-06,1.68085e-06,2.34905e-07
378,30810,35733.9,37348.7,38429.6,39244.3,39684.8,39613.3,38912.6,37539.8,35538,33032.7,30206.3,175777,48721.9,13448.4,3517.74,1167.51,64.5796,4.33415,0.177785,0.0071754,0.000254957,1.11171e-05,1.00558e-06,1.21957e-07
