seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 29024.7, 33464, 35001.3, 36118.9, 37054.3, 37764.7, 38204.6, 38332.1, 38144.9, 37673.4, 36977.1, 36134.2, 477051, 381034, 342516, 319779, 1.11607e+06, 1.09252e+06, 1.14732e+06, 1.01603e+06, 1.10225e+06, 892160, 608919, 420383, 471543
1082, 33158.4, 37999.9, 39307.2, 40206.3, 40986.7, 41575.3, 41896.3, 41888.9, 41542, 40887.1, 39992.5, 38948.7, 454575, 364880, 330986, 311098, 1.08602e+06, 1.06254e+06, 794432, 712277, 768436, 629591, 437247, 305493, 342983
168, 29550.6, 33381.4, 34562.3, 35422.7, 36137, 36648.7, 36908.9, 36876, 36548, 35956.4, 35161.3, 34241.2, 446090, 352841, 315706, 293583, 1.06765e+06, 1.04444e+06, 953556, 845348, 922091, 729540, 487609, 333031, 373361
143, 27475.2, 32545.6, 34766.8, 36319.2, 37503.8, 38347.3, 38846.5, 38986.4, 38779.8, 38266.5, 37512.2, 36599.6, 472624, 374190, 335115, 312185, 1.103e+06, 1.07952e+06, 867780, 772247, 841784, 665924, 446518, 305689, 342784
182, 29261.8, 33456.8, 34826.5, 35817.2, 36643.5, 37255.7, 37604.2, 37647.2, 37382.2, 36840.6, 36083.1, 35188.7, 446012, 355028, 318405, 296704, 1.09102e+06, 1.06844e+06, 1.08945e+06, 960676, 1.04618e+06, 840937, 570580, 392220, 439827
482, 30943.3, 35903.5, 37381.3, 38373.5, 39205.4, 39831, 40189.8, 40229.3, 39942, 39358.6, 38543.2, 37581.3, 468256, 376062, 340475, 319543, 1.07058e+06, 1.04747e+06, 715022, 641078, 692127, 565146, 390993, 272672, 306067
87, 30846.4, 35114.4, 36390.8, 37284.8, 38024, 38556.4, 38830.4, 38800.8, 38463.9, 37851.3, 37025.4, 36067.4, 424341, 336731, 302677, 282879, 1.03562e+06, 1.01427e+06, 1.0425e+06, 923105, 1.00409e+06, 808228, 549799, 378933, 425042
766, 29365.2, 33667.7, 34855, 35684.2, 36407.2, 36956.3, 37263.4, 37273.8, 36977.7, 36403.3, 35611.2, 34683, 467593, 375426, 339033, 317409, 1.0329e+06, 1.01088e+06, 741374, 659592, 714264, 582446, 401806, 279292, 313447
774, 29483.9, 34377.7, 36278.5, 37651.7, 38763.5, 39590.4, 40095.9, 40246.7, 40046.1, 39530.7, 38767, 37840.9, 461241, 365563, 327855, 305432, 1.02954e+06, 1.006e+06, 754156, 671838, 728504, 585721, 397602, 273910, 307286
229, 29826.9, 34923.9, 36884.8, 38276.4, 39396.7, 40232.4, 40751.2, 40919.6, 40739.8, 40246.9, 39505.4, 38599.5, 448001, 357738, 321798, 300725, 1.07001e+06, 1.04818e+06, 1.06654e+06, 945787, 1.02618e+06, 830588, 568263, 392793, 440620
