seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 30183.5, 34781.6, 36235.3, 37301.6, 38213.9, 38909.1, 39329.9, 39428.3, 39200.2, 38677.5, 37923, 37019.3, 473229, 379987, 342441, 320032, 1.11692e+06, 1.09352e+06, 1.15167e+06, 1.02199e+06, 1.10614e+06, 896648, 612585, 422513, 473954
1082, 34513.6, 39418.5, 40605.4, 41434.8, 42181.5, 42747.3, 43042, 42998.1, 42602.8, 41889.6, 40930.5, 39821.2, 450799, 363911, 330892, 311291, 1.08662e+06, 1.06325e+06, 796974, 715803, 770677, 632288, 439557, 306855, 344531
168, 30897.4, 34830.1, 35908.7, 36710.2, 37396.1, 37887.3, 38122.5, 38053.8, 37677.4, 37026.5, 36165.3, 35176.9, 442109, 351806, 315662, 293880, 1.06862e+06, 1.04551e+06, 957763, 850808, 925723, 733678, 490905, 334927, 375505
143, 28485, 33850.5, 36031.1, 37547.6, 38714.7, 39545, 40025.8, 40136.6, 39888.7, 39323, 38508.5, 37532.4, 469062, 373150, 335065, 312467, 1.10395e+06, 1.08064e+06, 871518, 777262, 845078, 669668, 449444, 307354, 344664
182, 30466.3, 34791.4, 36070.1, 37005.8, 37805.9, 38399.9, 38726.1, 38736.9, 38428.3, 37833.1, 37015.6, 36059.4, 442382, 354081, 318372, 296983, 1.09188e+06, 1.0694e+06, 1.09358e+06, 966295, 1.04986e+06, 845149, 573994, 394210, 442079
482, 32224.9, 37289.7, 38665.2, 39595.2, 40397.5, 41003.2, 41338.5, 41344.3, 41011.1, 40371.3, 39493, 38466.4, 464356, 375023, 340363, 319738, 1.0712e+06, 1.04822e+06, 717432, 644393, 694242, 567683, 393149, 273937, 307503
87, 32247.5, 36606.7, 37775.9, 38607.1, 39314.9, 39824.5, 40070.9, 40002.7, 39614.4, 38939.4, 38044, 37014.7, 420535, 335764, 302638, 283159, 1.03641e+06, 1.01513e+06, 1.04645e+06, 928476, 1.00758e+06, 812277, 553125, 380882, 427251
766, 30593.5, 34968.9, 36049.4, 36816.8, 37510.6, 38040.2, 38324.6, 38302.8, 37963.4, 37336, 36485.4, 35497.3, 463667, 374423, 338957, 317642, 1.03358e+06, 1.01166e+06, 743913, 663072, 716508, 585098, 404044, 280611, 314944
774, 30601.9, 35723.8, 37554, 38879.2, 39969.2, 40781.7, 41268.1, 41389.1, 41145.9, 40576.7, 39751.6, 38760.8, 457534, 364485, 327749, 305642, 1.0304e+06, 1.00706e+06, 757308, 676069, 731287, 588918, 400167, 275378, 308945
229, 30914.2, 36221.8, 38118.1, 39465.4, 40565.4, 41387.4, 41887.9, 42027.8, 41807.7, 41263.7, 40463.9, 39496.7, 444747, 356819, 321750, 300971, 1.07077e+06, 1.04905e+06, 1.0703e+06, 951084, 1.0296e+06, 834530, 571463, 394654, 442727
733, 31119.3, 35617.1, 36746.7, 37558.9, 38302.1, 38884.8, 39224.7, 39259.6, 38977.1, 38405.8, 37608.4, 36669.1, 443927, 358859, 324984, 304732, 1.05088e+06, 1.02885e+06, 763830, 681592, 736366, 603305, 418582, 291529, 327242
814, 34577.9, 39124.3, 40114, 40838.4, 41523.3, 42053.2, 42332.1, 42291.1, 41915.5, 41235.5, 40318.8, 39256.3, 456307, 365728, 330087, 308645, 1.09625e+06, 1.07215e+06, 1.04713e+06, 936514, 1.01142e+06, 817665, 557586, 384856, 431824
1112, 28486.7, 33216.2, 34834.1, 36028.2, 37049.1, 37839.6, 38342.9, 38511.5, 38341.6, 37865.5, 37147.1, 36270.1, 463507, 374347, 339178, 318211, 1.12118e+06, 1.09745e+06, 640121, 572515, 618154, 505807, 350897, 244420, 274391
547, 31281.3, 35729, 36906.2, 37744.8, 38475.9, 39016.3, 39292.7, 39248.2, 38874.7, 38205.1, 37306.8, 36268.5, 474831, 380043, 343480, 321649, 1.04901e+06, 1.02514e+06, 368557, 331876, 358931, 287479, 195284, 134739, 151210
845, 29542.9, 33324.1, 34188.6, 34840.7, 35451.5, 35923.7, 36178.8, 36160.9, 35858.5, 35297.1, 34533.8, 33645, 423910, 340331, 305873, 284762, 951685, 931407, 1.11636e+06, 985099, 1.06715e+06, 864756, 588167, 404021, 453091
