seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,3956.51,4204.46,4457.29,4644.69,4786.33,4904.18,570.432,538.483,591.3,623.016,649.29,604.303,7790.26,7823.98,7187.86,7320.49,88899.4,67298.2,73832.1,86676.7,111013,212555,208746,306873,388151
1050,4182.91,4404.61,4628.01,4801.96,4911.14,4987.92,557.631,527.409,612.198,551.669,648.964,508.44,7199.92,7621.02,6797.6,7709.08,64373.5,71591.3,76465,108606,108567,209607,201573,287773,357496
456,4021.82,4303.18,4557.25,4734.71,4869.79,4948.36,503.469,602.414,575.934,607.496,606.726,646.716,6518.21,6909.83,7180.28,6870.65,61736.5,45904.5,101297,123489,68027,210386,208807,288691,373929
841,3923,4189.27,4476.02,4670.07,4813.46,4920.27,585.391,601.944,612.526,544.54,663.779,526.539,7377.3,7133.92,6687.76,6892.71,82404,65963.2,116761,93067.1,107277,158119,190212,237362,371394
838,4024.61,4266.73,4523.92,4713.91,4831.75,4922,534.356,556.521,647.775,564.03,648.352,537.706,7530.93,8013.96,6483.92,6751.71,27035.2,91603.4,60221.4,101191,95341.3,178227,193590,233030,412480
757,4288.27,4468.36,4637.83,4794.14,4895.3,4962.07,570.234,573.923,611.998,614.385,632.038,582.413,7007.32,6475.38,6612.98,7269.08,77519.5,49846.9,105931,56562.6,79551.6,196326,196387,271262,359143
78,4334.15,4504.81,4708.65,4857.29,4937.02,5006.72,541.66,593.653,575.858,570.557,590.081,593.418,6630.77,7038.73,6334.87,7652.46,96206.8,73515.7,102471,89968.3,109790,210795,199957,274275,321342
262,4248.72,4459.42,4658.03,4782.98,4891.29,4974.14,561.609,556.654,601.277,594.88,647.339,592.316,6691.15,7241.38,6791.83,6461.79,80190.9,73236.1,124668,114443,77812.8,236029,211847,317107,343913
1124,4266.93,4495.98,4691.94,4846.09,4926.76,5005.02,524.325,595.777,594.321,628.124,651.275,602.486,7358.51,7027.37,6699.66,7369.97,68191.2,83619.6,80540.2,109935,90437.9,157734,213395,245125,401058
378,3935.69,4216.32,4459.82,4644.07,4780.21,4900.59,549.215,577.499,630.854,571.815,559.996,614.154,7304.8,7684.74,6498.3,7133.97,93694.5,93636.5,108184,112821,99243.8,213443,215907,325944,433636
