seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,4085.26,4353.06,4598.68,4780.85,4919.92,5036.44,585.37,552.171,605.846,637.789,664.075,617.485,7736.4,7804,7186.29,7325.51,88956,67352.7,74079.5,87154.3,111372,213533,209885,308277,389943
1050,4324.89,4558.63,4773.3,4941.85,5047.79,5122.33,572.245,540.844,627.306,564.801,663.81,519.589,7147.84,7600.82,6795.51,7713.54,64419,71657.2,76758,109226,108944,210659,202776,289195,359277
456,4167.03,4466.33,4712.68,4884.32,5016.47,5092.45,517.708,618.953,591.233,623.044,621.628,661.918,6467.67,6890.05,7177.73,6874.73,61776.5,45943,101673,124200,68258.4,211429,210040,290104,375775
841,4057,4349.55,4630.78,4819.74,4960.57,5065.76,602.224,618.775,629.133,558.797,680.497,539.26,7321.66,7112.6,6685.01,6896.58,82467.6,66031.6,117262,93671.3,107697,159011,191468,238648,373419
838,4184.3,4447.86,4697.32,4881.67,4995.83,5083.69,551.411,573.771,667.212,580.344,666.357,552.002,7466.29,7988.68,6481.64,6756.72,27058.8,91703.1,60483.8,101862,95723.5,179246,194901,234345,414826
757,4461.64,4647.28,4803.7,4953.03,5050.13,5113.87,587.173,590.457,629.033,630.834,648.252,596.694,6947.68,6456.78,6611.58,7275.06,77580.5,49893.9,106335,56898.2,79834.2,197319,197577,272648,360997
78,4509.7,4686.96,4880.22,5022.18,5097.33,5164.14,558.212,611.264,592.384,586.332,605.74,608.498,6577.12,7019.29,6333.98,7659.51,96284.6,73584.4,102868,90508.5,110186,211876,201175,275684,323008
262,4418.74,4633.25,4819.68,4936.55,5041.08,5121.49,577.762,572.177,617.47,610.279,663.379,606.329,6635.85,7221.28,6790.03,6466.39,80239.9,73290.7,125087,115059,78058.6,237108,213029,318603,345554
1124,4439.56,4672.89,4856.71,5003.67,5079.48,5154.96,539.564,612.558,610.483,644.546,667.586,616.912,7296.52,7007.54,6697.62,7374.77,68231.7,83681,80814.9,110525,90722.9,158460,214593,246283,402974
378,4072.56,4374.75,4609.79,4788.05,4921.06,5039.93,564.36,592.939,647.158,586.044,573.368,628.197,7249.32,7663.57,6496.45,7138.63,93749.9,93709.8,108560,113464,99572.8,214464,217141,327505,435732
