seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1369.36,3238.27,2772.11,2147.84,1783.28,1609.06,1283.82,1199.5,921.206,788.548,604.887,482.557,1991.58,3146.47,2615.77,2658.07,143.986,98.4575,221.845,319.972,264.129,2417.13,2549.44,5858.03,18799.6
1050,1401.57,3595.65,2888.16,2184.85,1902.13,1628.63,1341.26,1072.34,976.126,773.671,588.524,467.805,2188.16,2697.79,2828.41,2940.91,110.599,129.947,181.556,355.463,210.964,1634.78,2476.29,5410.2,22243.5
456,1384.56,3544.51,2830.79,2043.45,1831.49,1664.44,1283.09,1121.65,907.778,796.751,598.088,518.877,2479.18,2837.41,2548.84,2561.14,111.996,120.862,261.184,376.804,197.643,2399.13,1935.96,5029.59,22640.5
841,1348.29,3374.13,2859.17,2126.71,1830.91,1629.81,1315,1065.35,894.501,772.601,686.108,567.524,2694.68,3190.86,2431.58,2310.06,129.858,113.474,223.302,398.963,175.93,2248.6,1818.75,4549.01,22186.2
838,1439.09,3446.98,2831.89,2173.28,1881.01,1611.05,1168.92,1029.85,944.611,729.098,567.456,563.379,3045.46,2805.05,3073.6,2940.81,166.153,126.47,243.467,320.811,174.046,2315.85,2447.05,4100.21,18381.8
757,1493.27,3628.6,2907.19,2148.47,1783.66,1665.19,1431.47,1117.91,879.419,809.134,544.037,512.207,2869.44,3202.05,3358.46,2363.95,136.914,129.861,257.56,358.232,216.44,1732.06,2458.51,5915.24,24327.9
78,1544.04,3700.23,2860.48,2238.66,1939.62,1579.6,1317.6,1092.38,956.451,726.977,577.54,505.428,2551.45,2360.43,2511.81,2435.44,123.884,109.558,249.162,377.337,167.483,2270.03,2165.51,4023.73,19304.6
262,1434.28,3670.48,2832.5,2038.9,1820.61,1562.54,1326.82,1015.42,884.225,731.32,543.426,513.586,2361.5,3108.85,3032.36,2818.42,114.733,161.301,195.015,395.523,242.671,2333.35,2213.54,5219.44,23077.7
1124,1489.78,3531.93,2840.12,2209.7,2052.31,1626.78,1370.94,1094.08,942.226,756.381,615.5,549.432,2141.52,2248.89,2628.36,2318.17,147.494,160.015,226.936,464.616,187.24,2252.52,2312.22,4225.82,22991.9
378,1391.39,3323.94,2810.97,2006.32,2061.39,1640.94,1387.7,1072.59,898.17,694.188,657.681,514.715,3380.42,2882.33,2796.26,3172.2,130.82,138.411,218.044,360.658,187.399,2478.83,2279.81,5597.83,25084.7
