seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 10131.5, 12083.7, 8405.79, 5614.15, 4877.54, 3639.11, 2616.59, 2746.17, 2100.35, 1915.32, 1572.78, 1052.7, 4708.94, 4156.18, 5906.66, 5854.85, 304.558, 211.581, 912.641, 1101.19, 824.264, 5373.91, 6479.46, 15680.7, 64575.5
1082, 9413.25, 11946.5, 8431.79, 5556.91, 4791.71, 3677.14, 2904.13, 2577.04, 1980.24, 1719.27, 1539.97, 1076.63, 4722.89, 4584.67, 5039.96, 6081.62, 240.128, 281.946, 903.136, 1016.99, 778.532, 6236.45, 7226.61, 16383.7, 86399.9
168, 10453.2, 12150.6, 8600.69, 5573.46, 4769.63, 3678.73, 2845.24, 2736.39, 2061.28, 1810.99, 1621, 1068.79, 5717.62, 6044.33, 4906.05, 5352.17, 218.937, 230.986, 838.344, 782.232, 882.523, 5364.54, 5597.77, 16402.2, 57240.3
143, 10187.4, 12552.6, 8610.94, 5748.4, 4945.08, 3581.4, 2795.89, 2560.71, 2028.69, 1952.93, 1544.16, 1089.82, 5070.36, 4816.87, 4940.73, 4489.9, 208.816, 266.986, 1011.01, 893.286, 745.494, 5484.85, 4740.04, 16174.8, 52114.9
182, 9542.86, 11854.1, 8240.36, 5720.6, 4787.89, 3585.7, 2979.36, 2815.43, 2159.43, 1910.03, 1544, 1128, 4462.98, 5955.26, 5307.71, 5309.85, 232.016, 261.632, 862.831, 869.398, 568.548, 7217.21, 6283.1, 15036.2, 65242.3
482, 10020.1, 12123.3, 8268.68, 5616.56, 4860.4, 3545.44, 2924.16, 2624.72, 2103.45, 1881.97, 1596.16, 1153.11, 4976.77, 4840.8, 5057, 6502.18, 294.829, 246.388, 900.529, 906.712, 833.101, 6444.37, 7027.24, 15402.7, 63201.1
87, 8767.02, 11123.9, 8095.6, 5542.47, 4761.57, 3621.15, 2811.68, 2654.41, 2096.17, 1838.5, 1597.86, 1108.13, 5530.67, 4536.29, 4591.92, 5808.36, 201.6, 216.812, 796.568, 688.874, 910.296, 4439.47, 6688.32, 14479.9, 55423.5
766, 10042.4, 12361.1, 8618.63, 5723.49, 4884.55, 3722.2, 2898.13, 2770.35, 2185.26, 1760.03, 1705.98, 1104.67, 5264.05, 5202.9, 5107.02, 5922.25, 321.657, 323.643, 915.356, 1130.94, 760.127, 7370.94, 6365.66, 18223.8, 72328.9
774, 10717, 12369.4, 8650.26, 5794.68, 4815.17, 3796.5, 2876.19, 2655.78, 2159.83, 1837.75, 1565.5, 1033.92, 4666.68, 4683.35, 5403.97, 4858.59, 223.695, 281.015, 724.433, 763.077, 629.932, 6348.14, 7037.24, 13240.3, 53795.2
229, 9875.55, 12106, 8360.04, 5586.8, 4888.05, 3624.21, 2843.32, 2745.49, 2239.5, 1827, 1596.63, 1164.04, 5958.46, 4643.89, 4798.73, 5815.05, 391.991, 330.879, 1029.42, 1031.01, 842.996, 5930.3, 6320.33, 14855.9, 76379.8
733, 9784.37, 11911.4, 8348.88, 5661.57, 4821.84, 3531.4, 2909.35, 2705.44, 1986.93, 1840.98, 1628.23, 1099.64, 6139.37, 4898.72, 5969.93, 4122, 288.911, 239.191, 751.517, 868.222, 899.045, 6895.16, 7132.82, 14260.8, 69997.9
