seed, Total Cost T
304, 1.47895e+07
1082, 1.47895e+07
168, 1.47895e+07
143, 1.47895e+07
182, 1.47895e+07
482, 1.47895e+07
87, 1.47895e+07
766, 1.47895e+07
774, 1.47895e+07
229, 1.47895e+07
733, 1.47895e+07
814, 1.47895e+07
1112, 1.47895e+07
547, 1.47895e+07
845, 1.47895e+07
249, 1.47895e+07
711, 1.47895e+07
455, 1.47895e+07
379, 1.47895e+07
116, 1.47895e+07
309, 1.47895e+07
412, 1.47895e+07
1147, 1.47895e+07
878, 1.47895e+07
905, 1.47895e+07
838, 1.47895e+07
964, 1.47895e+07
596, 1.47895e+07
995, 1.47895e+07
503, 1.47895e+07
662, 1.47895e+07
1126, 1.47895e+07
737, 1.47895e+07
963, 1.47895e+07
598, 1.47895e+07
1041, 1.47895e+07
285, 1.47895e+07
884, 1.47895e+07
805, 1.47895e+07
693, 1.47895e+07
613, 1.47895e+07
648, 1.47895e+07
349, 1.47895e+07
265, 1.47895e+07
16, 1.47895e+07
56, 1.47895e+07
671, 1.47895e+07
106, 1.47895e+07
756, 1.47895e+07
644, 1.47895e+07
150, 1.47895e+07
727, 1.47895e+07
1067, 1.47895e+07
1209, 1.47895e+07
323, 1.47895e+07
1235, 1.47895e+07
266, 1.47895e+07
607, 1.47895e+07
1015, 1.47895e+07
1106, 1.47895e+07
593, 1.47895e+07
958, 1.47895e+07
698, 1.47895e+07
880, 1.47895e+07
27, 1.47895e+07
1138, 1.47895e+07
198, 1.47895e+07
972, 1.47895e+07
747, 1.47895e+07
346, 1.47895e+07
225, 1.47895e+07
465, 1.47895e+07
53, 1.47895e+07
792, 1.47895e+07
811, 1.47895e+07
977, 1.47895e+07
1132, 1.47895e+07
33, 1.47895e+07
870, 1.47895e+07
459, 1.47895e+07
702, 1.47895e+07
427, 1.47895e+07
145, 1.47895e+07
237, 1.47895e+07
446, 1.47895e+07
169, 1.47895e+07
236, 1.47895e+07
796, 1.47895e+07
410, 1.47895e+07
131, 1.47895e+07
219, 1.47895e+07
687, 1.47895e+07
49, 1.47895e+07
591, 1.47895e+07
79, 1.47895e+07
750, 1.47895e+07
63, 1.47895e+07
919, 1.47895e+07
650, 1.47895e+07
1065, 1.47895e+07
926, 1.47895e+07
90, 1.47895e+07
790, 1.47895e+07
1046, 1.47895e+07
373, 1.47895e+07
57, 1.47895e+07
1085, 1.47895e+07
1170, 1.47895e+07
1062, 1.47895e+07
826, 1.47895e+07
569, 1.47895e+07
207, 1.47895e+07
798, 1.47895e+07
165, 1.47895e+07
88, 1.47895e+07
6, 1.47895e+07
495, 1.47895e+07
538, 1.47895e+07
959, 1.47895e+07
941, 1.47895e+07
1146, 1.47895e+07
934, 1.47895e+07
1119, 1.47895e+07
1044, 1.47895e+07
655, 1.47895e+07
897, 1.47895e+07
555, 1.47895e+07
257, 1.47895e+07
385, 1.47895e+07
404, 1.47895e+07
848, 1.47895e+07
902, 1.47895e+07
82, 1.47895e+07
1130, 1.47895e+07
1108, 1.47895e+07
895, 1.47895e+07
1011, 1.47895e+07
303, 1.47895e+07
438, 1.47895e+07
968, 1.47895e+07
557, 1.47895e+07
1070, 1.47895e+07
1094, 1.47895e+07
911, 1.47895e+07
1133, 1.47895e+07
36, 1.47895e+07
109, 1.47895e+07
355, 1.47895e+07
661, 1.47895e+07
1023, 1.47895e+07
122, 1.47895e+07
509, 1.47895e+07
499, 1.47895e+07
378, 1.47895e+07
1128, 1.47895e+07
562, 1.47895e+07
476, 1.47895e+07
833, 1.47895e+07
1110, 1.47895e+07
1022, 1.47895e+07
392, 1.47895e+07
1031, 1.47895e+07
248, 1.47895e+07
35, 1.47895e+07
570, 1.47895e+07
1210, 1.47895e+07
525, 1.47895e+07
994, 1.47895e+07
1071, 1.47895e+07
533, 1.47895e+07
639, 1.47895e+07
595, 1.47895e+07
974, 1.47895e+07
652, 1.47895e+07
0, 1.47895e+07
330, 1.47895e+07
208, 1.47895e+07
667, 1.47895e+07
185, 1.47895e+07
76, 1.47895e+07
948, 1.47895e+07
118, 1.47895e+07
264, 1.47895e+07
548, 1.47895e+07
322, 1.47895e+07
395, 1.47895e+07
551, 1.47895e+07
160, 1.47895e+07
876, 1.47895e+07
1219, 1.47895e+07
297, 1.47895e+07
802, 1.47895e+07
141, 1.47895e+07
231, 1.47895e+07
295, 1.47895e+07
59, 1.47895e+07
7, 1.47895e+07
752, 1.47895e+07
546, 1.47895e+07
1197, 1.47895e+07
255, 1.47895e+07
490, 1.47895e+07
283, 1.47895e+07
12, 1.47895e+07
129, 1.47895e+07
782, 1.47895e+07
581, 1.47895e+07
692, 1.47895e+07
71, 1.47895e+07
821, 1.47895e+07
426, 1.47895e+07
920, 1.47895e+07
882, 1.47895e+07
102, 1.47895e+07
188, 1.47895e+07
657, 1.47895e+07
840, 1.47895e+07
757, 1.47895e+07
529, 1.47895e+07
630, 1.47895e+07
522, 1.47895e+07
350, 1.47895e+07
558, 1.47895e+07
14, 1.47895e+07
605, 1.47895e+07
492, 1.47895e+07
291, 1.47895e+07
588, 1.47895e+07
135, 1.47895e+07
1123, 1.47895e+07
1233, 1.47895e+07
252, 1.47895e+07
220, 1.47895e+07
918, 1.47895e+07
171, 1.47895e+07
1215, 1.47895e+07
91, 1.47895e+07
5, 1.47895e+07
296, 1.47895e+07
1086, 1.47895e+07
61, 1.47895e+07
571, 1.47895e+07
510, 1.47895e+07
307, 1.47895e+07
383, 1.47895e+07
475, 1.47895e+07
925, 1.47895e+07
993, 1.47895e+07
651, 1.47895e+07
1043, 1.47895e+07
1212, 1.47895e+07
786, 1.47895e+07
606, 1.47895e+07
886, 1.47895e+07
957, 1.47895e+07
263, 1.47895e+07
763, 1.47895e+07
1056, 1.47895e+07
809, 1.47895e+07
443, 1.47895e+07
338, 1.47895e+07
26, 1.47895e+07
1154, 1.47895e+07
407, 1.47895e+07
632, 1.47895e+07
177, 1.47895e+07
