seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1669.35, 3895.52, 3009.68, 2224.42, 1986.39, 1699.25, 1434.02, 1213.5, 934.695, 701.303, 632.99, 461.144, 2063.65, 2958.74, 2934.08, 2418.75, 152.255, 105.761, 227.726, 439.18, 205.701, 1785.92, 2152.42, 5189.77, 21492.8
1082, 1559.52, 3854.9, 3022.77, 2377.67, 1933.4, 1717.2, 1263.21, 1213.42, 810.863, 724.872, 563.433, 495.144, 2372.17, 2295.81, 2520.61, 3040.13, 120.059, 140.947, 225.385, 405.662, 194.315, 2072.82, 2400.86, 5422.98, 28759.4
168, 1718.92, 3976.65, 3041.09, 2283.79, 2055.44, 1607.18, 1290.7, 1085.9, 935.301, 775.215, 588.203, 538.19, 2899.47, 2879.28, 2661.86, 2026.25, 119.508, 128.968, 244.558, 346.054, 234.917, 1800.97, 2229.85, 4581.2, 16591.6
143, 1676.59, 4039.59, 3099.61, 2275.14, 2017.63, 1687.86, 1387.18, 1092.55, 966.728, 827.082, 609.297, 541.799, 2466.35, 2565.66, 2883.32, 2519.02, 139.586, 122.3, 156.071, 365.334, 244.885, 2182.19, 2077.86, 4786.94, 18784
182, 1572.32, 3836.61, 2960.7, 2225.09, 1980.35, 1567.68, 1356.18, 1182.71, 1046.49, 766.63, 601.982, 486.367, 2496.14, 2683.89, 2770.37, 2227.77, 160.855, 122.433, 204.656, 314.987, 196.441, 1737.22, 2517.74, 4800.01, 14580.6
482, 1647.98, 3835.43, 3118.9, 2254.74, 1945.09, 1598.73, 1409.87, 1110.03, 926.314, 826.596, 607.186, 558.251, 2499.87, 2424.09, 2529.12, 3250.29, 147.403, 123.168, 224.729, 361.677, 207.935, 2141.94, 2334.62, 5098.28, 21037.4
87, 1446.76, 3655.53, 2800.94, 2255.55, 2015.51, 1677.34, 1353.07, 1105.24, 908.705, 804.855, 587.345, 544.748, 2697.47, 2523.71, 2694.13, 2756.51, 163.222, 145.766, 154.487, 302.441, 191.557, 2258.2, 2242.98, 3769.48, 24014.1
766, 1653.81, 3900.47, 2982.99, 2210.35, 1906.38, 1679.07, 1384.26, 1200.99, 975.07, 754.551, 713.477, 511.987, 2644.81, 2605.27, 2553.9, 2960.03, 160.805, 161.781, 228.424, 451.117, 189.717, 2449.9, 2114.79, 6031.78, 24074.5
774, 1771.93, 3995.97, 3102.59, 2326.64, 1915.34, 1699, 1358.09, 1137.62, 978.27, 806.48, 590.212, 465.656, 2344.94, 2345.3, 2702.41, 2428.33, 111.824, 140.46, 180.728, 304.284, 157.185, 2109.27, 2337.11, 4381.15, 17900.8
229, 1631.5, 3953.65, 2977.99, 2214.97, 1918.5, 1693.44, 1416.02, 1110.44, 911.909, 909.116, 605.448, 527.172, 2748.61, 2942.01, 3015.32, 2319.91, 166.627, 191.976, 261.392, 458.563, 221.882, 1773.56, 1931.24, 5943.92, 20062.7
733, 1619.12, 3723.55, 2984.49, 2159.44, 1994.22, 1721.13, 1297.57, 1165.41, 940.528, 778.593, 657.887, 645.551, 2715.79, 2410.2, 2728.9, 3130.99, 155.72, 118.147, 168.335, 308.365, 206.34, 2160.86, 2580.5, 5014.52, 24835.9
814, 1571.74, 3643.03, 2981.4, 2264.6, 1982.29, 1629.68, 1385.99, 1136.63, 956.933, 821.61, 545.77, 532.094, 2687.56, 2795.09, 2395.61, 2457.42, 146.717, 141.996, 194.421, 501.104, 192.906, 2180.93, 2239.22, 6008.09, 24438.5
1112, 1729.02, 4036.78, 3034.04, 2274.83, 2174.52, 1607.47, 1365.93, 1195.69, 922.929, 702.476, 606.071, 576.447, 2472.52, 3116.55, 2882.81, 2633.42, 115.594, 115.875, 236.888, 406.32, 239.369, 2143.49, 2431.46, 7403.06, 22002.4
547, 1618.49, 3775.97, 2905.26, 2179.05, 2085.21, 1709.12, 1289.39, 1110.31, 964.895, 723.614, 559.33, 456.833, 2231.09, 2622.94, 2129.56, 2785.5, 142.281, 129.694, 174.49, 408.67, 179.2, 2111.63, 1954.63, 4732.27, 24834.9
