seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,33969.6,38248.3,39395.2,40399.2,41237.4,41625,41373.4,40383.9,38659.7,36288.4,33427.3,30277.3,163983,44432.3,12131.2,3165.99,1053.2,58.4469,3.92001,0.160226,0.00645245,0.00023005,1.05913e-05,1.06206e-06,1.33332e-07
1050,35538.5,39701.3,40656.2,41439.1,42050.9,42230.8,41796.5,40642.6,38763.1,36241.5,33238.1,29961,161025,41918.4,10906.8,2652.65,779.879,36.4236,2.01829,0.0719329,0.00264734,0.000101905,1.12938e-05,2.0398e-06,2.80778e-07
456,34444,39046.7,40229.3,41142.6,41854.2,42119.2,41761,40675.6,38858.3,36391.8,33433.8,30189.8,162456,42572.6,11139.1,2733,815.709,38.5159,2.17351,0.0787543,0.00290854,0.000102821,7.57679e-06,1.20469e-06,1.65927e-07
841,34005.2,38398.5,39696.4,40769.7,41604.5,41947.5,41633,40576.8,38789,36359.9,33447.7,30253,164583,43112.8,11297.7,2776.33,831.219,39.4899,2.23926,0.0815624,0.00303885,0.000111893,9.87833e-06,1.65769e-06,2.27298e-07
838,34762.7,39016.5,40125.8,41036.9,41747.1,42001.8,41628.6,40530.6,38708.4,36247.8,33306.2,30086.6,163657,42960,11219.3,2735.15,804.113,36.6035,1.96371,0.0679402,0.0024702,9.58038e-05,1.14704e-05,2.16347e-06,3.01752e-07
757,36232.5,40203.6,40893.4,41499.3,42014.2,42149,41697.5,40537.8,38654.3,36127,33117.1,29835.9,159593,42223.3,11175.5,2782.69,851.79,41.6616,2.45195,0.0911117,0.00344516,0.000119199,6.27341e-06,7.73939e-07,1.02961e-07
78,36604.4,40501.9,41243.6,41821,42240.9,42258.1,41695.1,40441.4,38484.8,35904.7,32859.8,29558.9,160480,41684.8,10730.4,2554.27,718.07,29.91,1.42186,0.0442104,0.00149827,5.97898e-05,8.8336e-06,1.7377e-06,2.43063e-07
262,35695.7,39999.3,40727.9,41310.6,41818.8,41973.1,41559.3,40448.8,38618.8,36142.9,33178,29933,160040,43056.5,11668.3,3012.39,983.943,53.4998,3.51559,0.141549,0.00562551,0.000199671,9.72747e-06,1.07826e-06,1.39583e-07
1124,35830.2,40306.7,41139.8,41733.5,42199.1,42289.2,41809.1,40633.4,38740.7,36205.4,33184.6,29888.7,159439,41850.2,10998.1,2718.29,822.355,39.6001,2.28356,0.0839436,0.00314292,0.000113731,9.50495e-06,1.65086e-06,2.31525e-07
378,33964,38373.3,39548.1,40545.5,41366.5,41733.4,41458.7,40446.6,38701.6,36312.3,33436.5,30275,163134,44048.9,12053.7,3168.7,1071.15,60.8613,4.19071,0.174974,0.00711085,0.000253621,1.10097e-05,9.90043e-07,1.2017e-07
