seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 35803.6, 39725.3, 40397.1, 40945.4, 41397.2, 41488.5, 41025.4, 39888.8, 38061.6, 35618.3, 32711.9, 29544.6, 164237, 43773.5, 11608.1, 2884.18, 877.211, 42.4016, 2.45585, 0.0907643, 0.00345047, 0.000124896, 9.19138e-06, 1.4269e-06, 1.94774e-07
1082, 34646.8, 39081.2, 40103.6, 40864.2, 41453.8, 41638.6, 41239.1, 40147.6, 38353, 35932.6, 33039.3, 29873.5, 164440, 43469.7, 11513.8, 2875.61, 887.616, 44.1618, 2.65212, 0.100922, 0.00386983, 0.000139856, 1.04019e-05, 1.68348e-06, 2.33383e-07
168, 37047.1, 40521.6, 41003.1, 41413.8, 41730.5, 41694.6, 41116.9, 39878.3, 37959.2, 35433.5, 32456.1, 29232.4, 163840, 42703.6, 11000.5, 2608.73, 727.476, 30.1253, 1.43284, 0.0453043, 0.00157026, 6.99066e-05, 1.22124e-05, 2.36049e-06, 3.2385e-07
143, 37066.7, 40888.8, 41341.6, 41658, 41897.3, 41810.6, 41202.7, 39945.3, 38011.1, 35469.2, 32472.8, 29228.3, 163269, 42462.3, 10896.1, 2571.18, 710.42, 29.0298, 1.35933, 0.0425395, 0.00144982, 6.10799e-05, 9.93123e-06, 1.92354e-06, 2.65999e-07
182, 34480.2, 38517.5, 39613.4, 40512.7, 41201.7, 41438.4, 41059.7, 39976.2, 38192, 35792.1, 32930.3, 29803.3, 167119, 44114.8, 11530.3, 2808.39, 824.668, 37.2926, 1.9978, 0.069569, 0.00254208, 9.31e-05, 8.69518e-06, 1.52213e-06, 2.11165e-07
482, 34801, 39430.7, 40399.3, 41058.1, 41562.1, 41688.4, 41253.4, 40138.2, 38322.7, 35878.6, 32958.1, 29764.5, 163899, 43246.7, 11355.3, 2790.94, 834.755, 39.6416, 2.25164, 0.0819299, 0.00305219, 0.000110515, 9.03277e-06, 1.49151e-06, 2.04668e-07
87, 31921.9, 36542.7, 38407.2, 39853.5, 40890.4, 41339.4, 41092.5, 40102, 38397.4, 36073.7, 33282.8, 30213.1, 170985, 44742.9, 11532.2, 2752.43, 778.962, 32.9198, 1.6004, 0.0510411, 0.00175165, 6.70049e-05, 8.6147e-06, 1.64261e-06, 2.2885e-07
766, 36589.1, 40706.9, 41187.8, 41523.5, 41820, 41812.9, 41288.2, 40104.7, 38227.9, 35723.9, 32746.4, 29504.2, 161173, 42760.6, 11315.4, 2809.83, 855.818, 41.9107, 2.47596, 0.0926541, 0.00352316, 0.000125409, 8.43971e-06, 1.28273e-06, 1.76449e-07
774, 36988.9, 40792.2, 41178.3, 41479.4, 41742.7, 41695.8, 41127.6, 39906.2, 38004, 35491.6, 32523.6, 29306.2, 162278, 42725.6, 11233.5, 2759.98, 825.038, 39.0042, 2.21357, 0.0808265, 0.00303986, 0.000112929, 1.01092e-05, 1.70999e-06, 2.35042e-07
229, 35602.8, 39722.8, 40470.6, 41034.5, 41483.9, 41572.4, 41109.1, 39974.6, 38148.1, 35701.2, 32785.5, 29603.5, 164609, 43627.8, 11460.2, 2804.3, 828.273, 38.0298, 2.06903, 0.0728348, 0.00267769, 9.8439e-05, 9.11366e-06, 1.59095e-06, 2.20766e-07
733, 34456.6, 38796.3, 39786.3, 40570.2, 41209.2, 41449.1, 41098.9, 40052.2, 38299.4, 35918.7, 33063, 29931.5, 165343, 44322.4, 11900.3, 3028.48, 965.825, 50.5348, 3.20981, 0.126942, 0.00499741, 0.000178046, 9.97562e-06, 1.29966e-06, 1.73906e-07
814, 34279.3, 38535.7, 39626.8, 40513.9, 41222.6, 41502.9, 41177.1, 40142.9, 38394.5, 36012.1, 33148.9, 30004.4, 166768, 44102.1, 11595.1, 2844.14, 844.526, 39.6721, 2.21248, 0.0790048, 0.00291734, 0.000106401, 8.95931e-06, 1.47141e-06, 2.01312e-07
1112, 36969.1, 40869.1, 41217.1, 41497, 41771.2, 41752.5, 41215.3, 40021.2, 38138.8, 35637.3, 32671.5, 29448.9, 160233, 42934.2, 11635, 3010.08, 992.839, 54.8767, 3.70703, 0.15364, 0.00621545, 0.000222024, 1.05813e-05, 1.1261e-06, 1.44173e-07
547, 34691.8, 38971.6, 40008.9, 40811.1, 41427.8, 41622.9, 41223.1, 40126, 38324.3, 35897, 32997.6, 29827, 165904, 43422.6, 11278.9, 2723.35, 788.118, 35.3688, 1.88099, 0.0656004, 0.00237942, 8.98272e-05, 9.54839e-06, 1.68666e-06, 2.31352e-07
845, 33456.9, 37502.6, 38754.6, 39848.1, 40733, 41150.9, 40933.7, 39993.3, 38336, 36046.6, 33276.2, 30217.3, 170653, 45710.1, 12114.1, 2994.46, 896.414, 41.8361, 2.29829, 0.0804815, 0.00297518, 0.000113358, 1.17037e-05, 2.09794e-06, 2.91267e-07
249, 33415.5, 37773.6, 39109.5, 40177.7, 41000.1, 41348.8, 41066.6, 40067.2, 38355.3, 36014.9, 33197.6, 30098.1, 168778, 44653.5, 11709.5, 2864.39, 846.783, 39.0304, 2.13132, 0.0751785, 0.00275835, 0.000100733, 9.14002e-06, 1.5929e-06, 2.21541e-07
711, 36614, 40677, 41105.7, 41409.6, 41690.3, 41677.7, 41154.5, 39977.5, 38112, 35623.6, 32665.4, 29445.1, 161801, 43019, 11442.5, 2862.95, 884.933, 44.3614, 2.69552, 0.103311, 0.00398784, 0.000144065, 1.00304e-05, 1.52765e-06, 2.08433e-07
455, 35970.5, 40286.3, 40931.3, 41369.3, 41729.3, 41762.3, 41263.6, 40100.3, 38242.4, 35758.1, 32800.5, 29576.7, 162234, 42806.8, 11280, 2787.05, 842.759, 40.7999, 2.38654, 0.0891956, 0.00336828, 0.000118506, 7.5153e-06, 1.07385e-06, 1.45033e-07
379, 35146.1, 39252.4, 40087.1, 40783.9, 41365.3, 41557.8, 41165.2, 40075.7, 38280, 35858.3, 32966.6, 29806.8, 163629, 43727.6, 11771, 3012.89, 973.366, 52.2077, 3.40944, 0.137639, 0.00547871, 0.000194379, 9.43227e-06, 1.01655e-06, 1.29529e-07
116, 36982.8, 40593, 41060, 41439.8, 41742.3, 41708.8, 41143.7, 39919.9, 38012.2, 35491.5, 32512.5, 29282.3, 162341, 42673.1, 11134.6, 2695.29, 781.015, 34.8664, 1.82543, 0.0619269, 0.0022276, 8.32128e-05, 8.68966e-06, 1.57304e-06, 2.18669e-07
309, 33067.1, 37577.8, 38913.9, 39975.2, 40804.6, 41162.8, 40888, 39895.4, 38195.4, 35876.6, 33091.9, 30033.8, 167420, 45203.4, 12247.7, 3162.33, 1034.46, 55.9777, 3.66227, 0.147855, 0.00592927, 0.000210525, 9.54717e-06, 9.17019e-07, 1.12939e-07
412, 34293, 38827.5, 39994.9, 40860.4, 41513.9, 41732.9, 41347.2, 40258.3, 38460.3, 36033.1, 33130.7, 29953.7, 164539, 43146.9, 11309.3, 2787.69, 842.779, 40.6523, 2.37632, 0.0893389, 0.00337165, 0.00011698, 6.9629e-06, 9.77809e-07, 1.33439e-07
1147, 34088.8, 38423.1, 39533.3, 40426.5, 41145.2, 41440.3, 41133.2, 40118.6, 38389.5, 36024.8, 33176.9, 30045.1, 166103, 44340.8, 11823.9, 2971.42, 924.099, 46.6444, 2.83901, 0.108708, 0.00419213, 0.000150177, 9.76941e-06, 1.42667e-06, 1.93964e-07
878, 32000.6, 36768.2, 38597.6, 40017.4, 41057.9, 41527, 41304.6, 40332.3, 38634.8, 36305.5, 33497.1, 30400.5, 170283, 44388.4, 11441.8, 2736.4, 778.111, 33.7822, 1.70442, 0.0562384, 0.0019857, 8.41829e-05, 1.32929e-05, 2.57633e-06, 3.55126e-07
905, 35682.6, 39750.5, 40484.1, 41085.2, 41592.2, 41735.8, 41314.4, 40205.4, 38388.6, 35937.3, 33005.9, 29799.6, 163693, 43277.9, 11409.1, 2813.64, 845.136, 40.8075, 2.36005, 0.0867122, 0.00325697, 0.000118527, 9.31831e-06, 1.48698e-06, 2.02721e-07
838, 35492.7, 39534.9, 40345.8, 40981.3, 41478.3, 41589.1, 41131.3, 39993.2, 38161.5, 35712.7, 32799.8, 29624.2, 165072, 43460.9, 11355.2, 2760.53, 807.094, 36.4843, 1.95041, 0.0675849, 0.00246772, 9.63709e-05, 1.16502e-05, 2.18919e-06, 3.04503e-07
964, 35326, 39387.7, 40137.3, 40769.6, 41317.5, 41502.8, 41121.8, 40049.9, 38268.7, 35853.5, 32959.3, 29790.7, 162710, 43849.9, 11936.2, 3102.57, 1029.21, 57.63, 3.92006, 0.162477, 0.00657344, 0.000233541, 9.81186e-06, 8.11231e-07, 9.49231e-08
596, 36043.6, 40207.2, 40849.6, 41310.5, 41682.2, 41712, 41202.5, 40026.4, 38160.2, 35675.3, 32725.3, 29515.2, 162864, 42973.6, 11291, 2775.9, 830.872, 39.236, 2.2253, 0.0811662, 0.00304375, 0.000112072, 1.00762e-05, 1.75701e-06, 2.44134e-07
995, 31223.9, 35804.1, 37668.6, 39235, 40456.5, 41096, 41016.5, 40164.7, 38574.8, 36347.2, 33636.3, 30629.2, 171449, 45928.5, 12303, 3126.29, 993.985, 51.6753, 3.25003, 0.127669, 0.0050058, 0.000178467, 1.01648e-05, 1.32188e-06, 1.75718e-07
503, 33415.6, 37558.6, 38876.2, 40021.7, 40941.3, 41370.9, 41144.3, 40177.9, 38484.8, 36155.7, 33346.4, 30252.4, 167973, 44626.8, 11871.9, 2982.05, 929.687, 47.1436, 2.90222, 0.112415, 0.00435538, 0.000154499, 9.07924e-06, 1.22654e-06, 1.64931e-07
662, 35492.1, 39236.2, 39906, 40528.9, 41077.9, 41265, 40885.9, 39822.2, 38058.3, 35670.2, 32811.4, 29683.1, 165460, 44602.6, 12016.7, 3051.88, 965.153, 49.5639, 3.08387, 0.120082, 0.00471307, 0.000168116, 9.20518e-06, 1.13381e-06, 1.48849e-07
1126, 34266.6, 38941, 40069.1, 40882.7, 41512.1, 41732.4, 41365.6, 40299.8, 38521, 36104.3, 33202.4, 30017.5, 164195, 43444.4, 11466.7, 2845.77, 866.617, 42.3631, 2.48599, 0.092377, 0.00348417, 0.000125712, 9.91971e-06, 1.67338e-06, 2.33607e-07
737, 33894.5, 38275.5, 39388.1, 40301.4, 41053, 41379.7, 41093.8, 40095, 38380.9, 36034.2, 33208.2, 30100.1, 166417, 44737.8, 12078, 3099.95, 1003.69, 53.8031, 3.50333, 0.141119, 0.00562095, 0.00020193, 1.12599e-05, 1.4366e-06, 1.90405e-07
963, 29724, 34332.9, 36499.5, 38392.9, 39895.5, 40746.8, 40816.4, 40073, 38573.9, 36434, 33811.3, 30888.3, 172399, 47346.2, 13228.4, 3593.18, 1286.22, 78.5303, 5.79674, 0.254604, 0.0107198, 0.000388444, 1.48077e-05, 8.89386e-07, 8.80429e-08
