seed, Total QALY
304, 383628
1082, 357167
168, 338455
143, 287649
182, 346344
482, 383219
87, 236098
766, 488745
774, 341114
229, 277872
733, 395902
814, 357848
1112, 425576
547, 338034
845, 378122
249, 352639
711, 364335
455, 359287
379, 411171
116, 310836
309, 409207
412, 446223
1147, 414230
878, 321709
905, 284217
838, 390515
964, 373214
596, 423217
995, 494076
503, 368684
662, 299757
1126, 507087
737, 415984
963, 331683
598, 248096
1041, 405210
285, 526440
884, 416429
805, 411866
693, 382265
613, 256862
648, 346176
349, 400130
265, 395428
16, 379986
56, 404707
671, 322218
106, 396746
756, 350527
644, 224856
150, 387912
727, 436491
1067, 410353
1209, 348171
323, 353004
1235, 387088
266, 340351
607, 274965
1015, 313066
1106, 470533
593, 370908
958, 410228
698, 358699
880, 443576
27, 424821
1138, 355128
198, 322813
972, 335237
747, 322397
346, 470001
225, 452597
465, 383926
53, 292789
792, 419524
811, 258392
977, 363349
1132, 464631
33, 408442
870, 371549
459, 382326
702, 416962
427, 300990
145, 347392
237, 446484
446, 369482
169, 325476
236, 367903
796, 366266
410, 363519
131, 441254
219, 446457
687, 468093
49, 389900
591, 412444
79, 342167
750, 460537
63, 305230
919, 391014
650, 289335
1065, 337772
926, 278471
90, 481816
790, 390309
1046, 389793
373, 454749
57, 343552
1085, 430990
1170, 398520
1062, 256000
826, 399774
569, 386715
207, 396207
798, 413348
165, 412908
88, 398205
6, 559970
495, 337176
538, 460025
959, 402415
941, 284126
1146, 292179
934, 383044
1119, 325786
1044, 399121
655, 391931
897, 362784
555, 338024
257, 401772
385, 309465
404, 296972
848, 505372
902, 381948
82, 314215
1130, 526204
1108, 390232
895, 294612
1011, 338839
303, 364456
438, 358676
968, 324071
557, 398363
1070, 440518
1094, 394218
911, 433097
1133, 436215
36, 429759
109, 396760
355, 386765
661, 307758
1023, 412404
122, 345060
509, 408803
499, 445091
378, 531472
1128, 363808
562, 459817
476, 398646
833, 315675
1110, 280882
1022, 459846
392, 389945
1031, 298139
248, 373151
35, 389356
570, 528706
1210, 389073
525, 347172
994, 390562
