seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,30189.9,34438.7,35983.7,37351.1,38572.1,39480.3,39998.1,40108.8,39850.7,39289.7,38507.2,37590,442888,357014,322809,302641,1.06528e+06,1.04386e+06,1.13641e+06,1.01516e+06,1.09243e+06,894804,621530,433053,486034
1050,32541.8,36808.5,38191.6,39361.8,40375.9,41083.8,41411,41333.8,40883.4,40123.2,39138.9,38026.2,499761,400319,362039,339123,977714,955128,802376,726918,779646,626714,426802,295231,331304
456,31551.8,36212.4,37812.4,39113.4,40229.1,41023,41426.2,41416.8,41027.9,40323.9,39389.4,38318.4,445008,356415,322369,302276,1.17012e+06,1.14494e+06,855498,771439,830424,671261,461760,320698,359969
841,31330.5,35804.2,37516.3,38974.2,40215.7,41093,41543.6,41561.4,41192.1,40507.8,39596.2,38550.9,464958,370660,333982,312052,1.14968e+06,1.12369e+06,959694,865900,932120,745919,506288,349167,391742
838,31672.2,35993.2,37523.2,38817.9,39928.7,40710.5,41097.5,41071.9,40670.6,39959.8,39024.2,37956.9,465402,370198,332570,310022,1.07608e+06,1.05209e+06,835789,746289,805984,647431,440050,302982,339860
757,32794.8,36876.9,38028.3,39035.9,39955.3,40617.1,40929.2,40854.2,40413.7,39665.6,38692.5,37589.3,427995,341772,307894,287741,1.13624e+06,1.11196e+06,901870,802185,866759,702500,482417,333832,374631
78,32553.8,36502.4,37684.8,38657.8,39486.4,40042.5,40261.3,40116.6,39632.7,38865.6,37893.4,36805.7,424051,337658,303794,283678,1.10102e+06,1.07836e+06,1.27285e+06,1.12991e+06,1.22215e+06,980289,664173,455820,511140
262,32026,36404.4,37616.5,38627.5,39563.4,40270.3,40654.6,40678.1,40357.7,39744.2,38912.3,37948.2,445769,359640,326095,306467,1.07667e+06,1.0547e+06,1.00458e+06,902054,968969,796420,556165,389208,436989
1124,33605,38305.1,39632.9,40671.2,41584,42233,42533.9,42445.7,41986.6,41212.7,40206.9,39066.6,452218,364064,330686,311040,1.06668e+06,1.04413e+06,848045,763615,820186,670892,466410,325716,365684
378,31345.5,35869.6,37498.2,38912.5,40165.5,41089.1,41602.5,41689.4,41390.2,40774,39926.9,38940.9,436899,352275,319274,299848,1.11684e+06,1.09361e+06,970230,871183,936586,768163,535778,374702,420700
