seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2.01841,2.08816,1.08319,1.21943,1.11158,1.25368,0.361933,0.403481,0.403257,0.394874,0.387285,0.378214,4.38517,4.41735,4.39144,4.49083,19.8915,2.71316,6.11071,43.9806,24.2606,385.183,298.705,490.585,2691.87
1050,1.58632,2.17936,1.38388,1.05052,1.22167,1.13155,0.362712,0.405396,0.404111,0.391081,0.381716,0.371058,4.3331,4.33634,4.31349,4.40701,24.2861,27.5368,33.3986,52.5775,26.8883,340.897,88.4786,428.895,2840.95
456,1.77731,1.71626,1.22376,1.11674,1.15091,1.24936,0.360927,0.405171,0.40258,0.392369,0.38357,0.373329,4.34094,4.34395,4.31992,4.41831,19.4722,9.13626,13.9576,93.9504,34.7948,335.845,728.514,80.9683,4124.95
841,1.84379,1.5614,0.998763,1.16363,1.17819,1.1765,0.361883,0.403143,0.402405,0.39218,0.383629,0.373625,4.37292,4.35588,4.31585,4.39762,2.57615,36.311,5.05659,6.64647,12.2908,148.216,271.954,150.539,3655.86
838,1.46732,1.47054,1.16567,1.16285,1.1989,1.24267,0.358825,0.405935,0.40214,0.390354,0.381525,0.371277,4.32799,4.30059,4.24899,4.3194,30.0285,9.49407,7.19108,8.8761,4.1172,356.148,433.393,537.45,3780.46
757,1.65594,1.46711,1.1809,1.27724,1.27485,1.22354,0.362935,0.40419,0.399595,0.389917,0.380547,0.370054,4.26951,4.26034,4.21996,4.30145,120.613,16.4185,8.91209,82.0935,17.0887,329.21,663.635,180.768,2615.73
78,1.7694,1.62326,1.23886,1.09166,1.245,1.1537,0.360084,0.403611,0.399814,0.389123,0.379677,0.368834,4.35209,4.33135,4.28273,4.36389,5.89218,8.52989,5.96987,155.448,14.4406,133.432,199.761,160.083,1353.34
262,3.42753,2.14879,1.09066,1.14305,1.27209,1.19312,0.360722,0.40482,0.402758,0.394396,0.386456,0.377115,4.35744,4.39364,4.3793,4.49036,20.6743,16.2671,1.67389,2.88142,1.77787,218.731,632.556,104.99,5853.82
1124,2.33112,1.99255,1.08411,1.17327,1.09577,1.12693,0.36271,0.406392,0.400602,0.39101,0.381666,0.371077,4.31978,4.34518,4.33908,4.45243,1.67886,0.672589,7.63203,29.0587,25.9582,347.098,142.75,474.586,2563.51
378,1.29153,1.22383,1.31658,1.1967,1.20019,1.27564,0.359394,0.406877,0.402985,0.393971,0.386061,0.376827,4.36303,4.3968,4.38211,4.48796,1.0202,13.5826,10.6252,77.5313,20.7904,371.385,477.953,807.003,5356.12
