seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,4301.62,4451.42,4664.13,4851.94,5002.7,5121.18,593.779,557.821,609.155,638.338,662,613.571,7742.15,7796.97,7180.53,7320.96,88945,67334.7,74080.2,87511.8,111487,213009,209242,307469,388915
1050,4485.98,4621.5,4807.43,4977.27,5088.91,5162.06,575.505,542.23,626.744,562.478,659.297,514.979,7157.48,7598.82,6792.35,7709.99,64408.8,71632.8,76750.4,109718,109065,210093,202093,288370,358246
456,4338.95,4534,4748.81,4921.65,5060.59,5135.83,521.034,620.892,590.91,620.551,617.336,655.854,6476.77,6887.79,7174.07,6871.4,61768.9,45929.9,101677,124790,68343.9,210876,209350,289298,374725
841,4285.49,4448.76,4691.61,4881.56,5029.93,5133.72,608.653,622.808,630.34,557.46,676.397,534.478,7328.17,7108.21,6680.71,6892.96,82454.3,66006.5,117237,94104.2,107813,158527,190750,237897,372238
838,4379.62,4521.16,4732.51,4915.72,5035.62,5122.34,554.399,574.929,666.027,577.254,660.833,546.167,7478.23,7985.94,6477.76,6752.65,27052.3,91664.4,60475.4,102367,95838.6,178708,194171,233598,413496
757,4586.15,4685.98,4818.51,4970.83,5074.88,5138.91,589.098,590.802,627.473,627.439,643.176,590.883,6961.86,6455.47,6607.84,7270.52,77562.5,49875.4,106332,57166.5,79929.9,196800,196919,271868,359956
78,4629.13,4716.93,4883.91,5025.49,5104.4,5169.67,557.917,609.473,589.103,581.693,599.788,601.662,6590.97,7019.56,6330.97,7654.66,96263.8,73559.4,102858,90908,110304,211308,200500,274889,322071
262,4523.2,4664.54,4831.9,4953.62,5066.39,5148.33,579.979,572.937,616.485,607.597,658.881,601.079,6651.36,7220.89,6786.99,6463.05,80230.5,73273.3,125116,115635,78168.3,236548,212377,317762,344634
1124,4534.51,4696.26,4860.01,5009.25,5090.54,5165.91,539.956,611.609,607.977,640.363,661.933,610.756,7314.48,7008.69,6695.52,7371.56,68225.5,83662.7,80834.4,111089,90854.8,158084,213933,245632,401900
378,4274.65,4466.7,4672,4856.86,5001.27,5121.53,572.055,598.541,650.179,586.096,571.155,623.774,7257.26,7657.73,6491.73,7134.51,93743.1,93688.1,108570,113982,99692.9,213918,216442,326601,434521
