seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1489.95,3428.89,2900.84,2243.74,1863.96,1680.32,1336.36,1242.58,949.023,807.94,616.728,489.958,1979.28,3135.61,2613.1,2658.24,144.059,98.5109,222.591,323.055,265.256,2422.3,2555.5,5869.41,18836.5
1050,1503.95,3773.02,3000.19,2264.66,1971.02,1685.52,1384.25,1102.48,999.319,788.831,597.895,473.821,2175.27,2689.93,2826.22,2941.26,110.659,130.022,182.233,359.102,211.932,1638.57,2482.67,5421.43,22290.2
456,1494.82,3735,2949.87,2124.18,1903.3,1727.55,1327.86,1156.05,931.384,813.873,608.546,526.208,2463.42,2828.36,2546.63,2561.42,112.054,120.929,262.164,380.775,198.564,2404.72,1941,5040.17,22688.7
841,1473.93,3583.5,2996.96,2223.07,1913.3,1700.57,1367.25,1102.28,920.515,790.933,699.151,576.08,2676.73,3179.36,2429.01,2310.14,129.937,113.549,224.212,403.409,176.808,2254.39,1823.89,4559.25,22236.6
838,1567.19,3652.95,2962.56,2266.37,1960.43,1676.67,1212.76,1063.92,971.229,746.192,578.381,572.244,3024.15,2795.25,3070.68,2941.22,166.258,126.554,244.494,324.54,174.954,2322.1,2454.39,4110.21,18427.1
757,1597.79,3805.6,3020.51,2227.69,1849.13,1724.57,1478.83,1150.79,901.656,826.326,553.624,519.657,2850.83,3192.2,3355.85,2364.42,136.99,129.935,258.536,362.057,217.47,1736.23,2465.18,5928.46,24383
78,1649.94,3874.72,2967,2316.21,2005.41,1631.04,1357.15,1121.49,978.452,741.166,587.04,512.45,2536.14,2354,2510.26,2436.14,123.957,109.623,250.102,381.278,168.268,2275.56,2171.39,4032.75,19348.3
262,1527.48,3839.52,2938.28,2111.67,1885.82,1617.29,1370.22,1045.12,906.591,746.954,553.115,521.184,2347.45,3100.05,3030.2,2818.97,114.789,161.382,195.716,399.644,243.78,2338.48,2219.08,5230.23,23126.1
1124,1584.04,3689.57,2941.92,2284.13,2120.57,1679.11,1411.81,1123.15,963.877,771.12,625.572,556.974,2128.71,2242.91,2626.73,2318.67,147.568,160.098,227.766,469.493,188.103,2257.52,2318.05,4234.57,23040.1
378,1512.13,3521.66,2944.77,2098.29,2156.77,1714.97,1445.41,1111.67,925.684,711.526,670.787,522.778,3358.42,2872.2,2793.43,3172.44,130.888,138.487,218.822,364.37,188.247,2484.35,2285.46,5609.11,25135.9
