seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1514.18,3482.63,2940.3,2271.86,1886.43,1700.16,1351.9,1256.77,959.625,816.716,623.204,494.909,1971.69,3131.2,2612.66,2659.03,144.075,98.5372,222.993,324.032,265.726,2428.57,2563.37,5884.83,18886.3
1050,1528.8,3830.75,3040.07,2292.56,1994.51,1705.31,1400.33,1115.11,1010.56,797.474,604.235,478.658,2166.6,2686.03,2825.61,2941.97,110.676,130.066,182.614,360.231,212.339,1643.23,2491.08,5436.95,22354.3
456,1521.41,3797.73,2993.06,2152.92,1928.09,1749.61,1344.56,1170.34,942.645,823.435,615.451,531.945,2453,2823.96,2546.01,2562.04,112.067,120.963,262.688,381.971,198.932,2411.39,1947.41,5054.21,22752.3
841,1498.96,3642.64,3039.91,2252.51,1937.8,1722.04,1384.36,1115.92,931.712,800.326,707.202,582.476,2665.46,3174.15,2428.35,2310.67,129.956,113.592,224.74,404.86,177.193,2261.65,1830.78,4573.66,22307.1
838,1597.58,3720.41,3010.43,2300.31,1988.76,1700.45,1229.72,1078.55,984.304,755.961,585.696,579.201,3010.14,2790.57,3070,2942.2,166.295,126.607,245.067,325.705,175.336,2329.49,2463.64,4123.35,18486.3
757,1629.07,3873.39,3067.33,2259.64,1874.68,1747.9,1498.49,1165.79,913.124,836.514,560.202,525.58,2837.93,3187.43,3355.43,2365.37,137.02,129.983,259.064,363.212,217.888,1741.09,2473.42,5945.48,24453.5
78,1682.17,3944.69,3014.27,2350.6,2034.15,1653.94,1375.89,1136.69,991.392,750.679,594.311,518.547,2525.16,2350.57,2510.03,2437.24,123.983,109.661,250.619,382.512,168.596,2282.01,2178.71,4044.41,19404.7
262,1557.28,3907.12,2983.2,2141.46,1911.38,1638.7,1388.01,1058.39,917.794,755.882,559.473,526.919,2336.94,3095.4,3029.6,2819.82,114.801,161.421,196.064,400.796,244.191,2344.37,2225.9,5244.07,23187.8
1124,1615.08,3754.89,2987.31,2316.7,2149.63,1701.6,1430.36,1137.6,975.951,780.471,632.875,563.209,2119.04,2239.48,2626.13,2319.28,147.58,160.132,228.175,470.836,188.418,2263.22,2325.21,4245.79,23101.7
378,1538.29,3580.34,2987.28,2126.14,2184.26,1736.36,1463.14,1125.06,936.57,719.654,678.188,528.325,3344.2,2867.8,2792.8,3173.27,130.895,138.519,219.233,365.506,188.587,2491.05,2292.85,5624.63,25206
