seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,3.65329,3.31584,1.32948,1.46754,1.22883,1.38336,0.372641,0.409249,0.407268,0.395555,0.386414,0.376127,4.33818,4.39809,4.38597,4.49028,19.8925,2.71375,6.12527,44.2936,24.3469,386.029,299.42,491.591,2697.4
1050,2.49404,3.26749,1.7605,1.16537,1.36534,1.21689,0.371319,0.411095,0.408776,0.391675,0.380969,0.369252,4.29109,4.32097,4.30968,4.40695,24.2886,27.5448,33.489,52.9838,26.9927,341.728,88.7151,429.867,2847.4
456,3.1963,2.64843,1.5515,1.2966,1.28322,1.39769,0.370154,0.411609,0.407169,0.393289,0.383056,0.37168,4.29622,4.32728,4.31571,4.41816,19.4735,9.13844,13.9958,94.704,34.9322,336.646,730.417,81.1467,4134.07
841,3.17379,2.28099,1.18271,1.3442,1.31387,1.27544,0.371764,0.408624,0.406298,0.392582,0.382435,0.371172,4.32107,4.33563,4.31021,4.39691,2.57638,36.3226,5.07214,6.70401,12.3439,148.629,272.776,150.92,3665.11
838,2.55666,2.19031,1.44066,1.37158,1.39981,1.41251,0.368077,0.41417,0.407791,0.391471,0.381153,0.369722,4.28002,4.28284,4.2447,4.31955,30.0335,9.49745,7.21319,8.95332,4.13516,357.12,434.689,538.816,3790.09
757,2.58829,1.99941,1.41494,1.50492,1.44862,1.34063,0.37284,0.410601,0.403692,0.391304,0.380634,0.369101,4.22918,4.24572,4.21673,4.30204,120.633,16.4236,8.93603,82.733,17.1555,329.989,665.362,181.174,2621.63
78,2.88054,2.28152,1.49804,1.21481,1.41152,1.24655,0.367711,0.409445,0.404183,0.390501,0.379883,0.368107,4.3146,4.31823,4.28028,4.36496,5.89302,8.53215,5.98514,156.607,14.495,133.744,200.273,160.438,1356.35
262,5.3237,2.93129,1.25256,1.2787,1.41453,1.27169,0.368883,0.410779,0.407008,0.396342,0.387171,0.376837,4.31793,4.37828,4.37526,4.49039,20.6756,16.2702,1.67826,2.90408,1.78468,219.208,634.101,105.212,5866.28
1124,4.09595,3.01292,1.25784,1.36513,1.20598,1.20819,0.372338,0.413882,0.405263,0.392786,0.382256,0.370722,4.2834,4.33258,4.3364,4.45291,1.67894,0.67271,7.65216,29.2886,26.0581,347.86,143.103,475.598,2569
378,1.95902,1.66549,1.67829,1.3996,1.35079,1.41798,0.368559,0.413914,0.406886,0.394758,0.385261,0.374777,4.31354,4.37678,4.37628,4.48723,1.0202,13.5852,10.6536,78.1486,20.8714,372.261,479.197,808.807,5368.15
