seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,37009.9,40573.2,40490.7,40441.5,40589,40744.9,40758.4,40541.5,40062.4,39339.1,38429.4,37413.5,438613,355731,322539,302668,1.06534e+06,1.04407e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,38416.3,41909.5,41851.7,41837.1,41987.3,42106.7,42043.7,41711.6,41083.5,40186.4,39090.5,37889.6,495472,399189,361855,339186,977819,955378,804491,732440,782610,628174,427902,295881,332035
456,37743.3,41714,41810.4,41842.3,42021,42171.3,42144.7,41854,41270.1,40417.2,39362.1,38195.9,440928,355315,322181,302328,1.17021e+06,1.14519e+06,857789,777536,833646,672803,462931,321391,360750
841,38709.2,42271.6,42171.1,42115.9,42245.1,42360.8,42308.6,41999.8,41405.7,40550.7,39501,38346.7,459979,369221,333680,312068,1.14979e+06,1.12402e+06,962575,873276,936073,747914,507769,350028,392710
838,38188.5,41738.1,41690.7,41667.5,41808,41923.4,41865.2,41547.7,40943.4,40077,39014.8,37846.6,460781,368950,332365,310098,1.07627e+06,1.05243e+06,838299,752686,809435,649132,441325,303733,340706
757,38056.5,41537.2,41434.5,41389.8,41529.9,41653,41602.4,41287.5,40678.5,39800.3,38721,37533,424419,340851,307777,287839,1.13644e+06,1.11228e+06,904237,808343,870091,704099,483634,334564,375456
78,37579.9,40835.5,40794.8,40780.8,40898.9,40975.4,40875.6,40522,39891.2,39009.6,37943.1,36779.9,420847,336868,303728,283799,1.10118e+06,1.07862e+06,1.27603e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,36902.2,40814.2,40888.5,40916.6,41112.9,41302.7,41338.4,41132.5,40653.3,39919.5,38990.1,37947.8,442178,358646,325922,306533,1.07674e+06,1.05489e+06,1.00716e+06,909054,972622,798090,557484,390014,437900
1124,38436.6,42624.3,42807.6,42881.3,43081.7,43240.5,43209.8,42902,42288.2,41394.6,40291,39072.6,448891,363268,330604,311135,1.06674e+06,1.0443e+06,850237,769576,823293,672308,467527,326395,366452
378,38426.4,42224.7,42154.8,42100.1,42247.1,42399.9,42398.9,42151.1,41623.7,40837.5,39855.2,38763.4,432417,350944,318980,299863,1.11686e+06,1.0938e+06,972765,878015,940172,769903,537129,375519,421623
