seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,11304,13686.7,9097.6,5814.03,4934.72,3716.01,2850.88,2782.52,2136.44,1818.37,1586.15,1066.99,3916.15,6243.88,5219.69,5315.83,288.128,197.061,892.477,813.378,1064.79,7285.73,7686.88,17722.2,56555.4
1050,11021.7,13453.8,9063.87,5945.54,5002.92,3742.45,2932.36,2745.82,2090.66,1806.18,1526.82,1059.84,5549.27,5856.27,5536.78,4905.64,221.337,260.115,730.9,904.684,851.011,4929.61,7469.9,16373.1,66939.1
456,11041.8,13508.4,8874.15,5827.66,5037.39,3648.94,2935.26,2685.22,2084.9,1828.97,1552.29,1151.27,5820.37,5520.05,5415.56,6727.5,231.434,264.162,879.913,1016.3,792.624,7053.77,6585.5,15856.6,61469.1
841,11643.4,13373.6,9106.36,6039.34,5056.08,3799.58,2871.22,2620.18,2092.66,1797.44,1686.06,1183.89,5289.99,6329.15,4851.68,4619.53,259.894,227.166,899.6,1017.24,710.284,6784.67,5489.67,13772.8,66795.6
838,11671.6,13561.4,8902.62,5846.61,4917.09,3724.44,2623.99,2551.99,2153.79,1743.25,1535.08,1150.08,5981.26,5567.41,6135.16,5882.64,332.566,253.194,980.975,818.4,702.86,6988.06,7387.13,12416.5,55353.2
757,11394.7,13255.1,8750.26,5909.1,5088.93,3826.91,3050.14,2696.4,2080.42,1852.25,1492.02,1098.72,5647.8,6362.48,6706.55,4729.5,274.021,259.947,1036.91,912.183,873.275,5223.06,7416.72,17904,73222.8
78,11821.1,13281.5,8957.92,6032.66,4965.09,3560.95,2786.23,2726.61,2118.23,1842.4,1532.79,1029.65,4859.9,5294.77,3967.35,5182.3,223.887,319.975,861.262,783.594,640.638,6486.34,5809.17,14328.1,75528.2
262,10777.7,13204.5,9026.87,5726.79,5084.64,3686.43,2881.09,2539.32,2096.09,1753.37,1511.41,1086.04,4652.34,6178.42,6054.8,5637.98,229.589,322.824,784.903,1006.96,978.847,7033.5,6675.24,15793.2,69439.5
1124,11319.7,13263.9,8925.65,5892.44,4980.09,3760.09,2968.87,2641.18,2160.26,1802.05,1579.58,1152.72,4221.55,4472.82,5250.21,4637.84,295.146,320.248,913.456,1183.01,755.301,6790.09,6973.14,12786.9,69182.6
378,11562.4,13121.2,9050.94,5905.64,4969.98,3841.24,2993,2642.17,2142.64,1867.27,1487.21,1199.1,4724.02,5408.05,6826.12,5775.96,232.673,234.477,828.838,1010.48,848.213,7894.34,8116.68,15517.8,56473.4
