seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1902.85,4135.91,3312.18,2453.5,1975.73,1743.75,1366.07,1258.68,955.296,809.335,615.341,487.255,1958.07,3121.94,2609.84,2657.92,144.066,98.5322,223.122,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1845.38,4390.2,3331.71,2428.4,2062.62,1735.72,1408.95,1114.29,1004.94,790.03,596.725,471.514,2154.18,2680.4,2823.73,2941.22,110.67,130.059,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,1864.11,4401.64,3308.05,2293.95,2001.71,1785.08,1354.51,1170.23,937.669,815.782,607.731,523.884,2438.04,2817.51,2544.15,2561.33,112.062,120.958,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,1898.15,4332.45,3417.93,2425.24,2023.26,1761.81,1396.08,1115.71,925.999,791.744,696.976,572.298,2644.99,3164.58,2425.84,2309.77,129.949,113.585,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1968.66,4335.27,3338.26,2455.46,2066.37,1735.36,1238.54,1077.91,978.438,748.327,577.817,569.848,2990.63,2783.71,3067.58,2941.32,166.286,126.599,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1921.83,4374.75,3333.15,2382.63,1934.48,1777.37,1507.22,1165.05,908.425,829.266,553.749,518.318,2823.9,3181.24,3353.28,2364.75,137.013,129.976,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1976.77,4423.76,3252.01,2463.52,2089.59,1676.8,1380.91,1134.33,985.38,743.789,587.359,511.44,2514.29,2346.87,2508.83,2436.73,123.975,109.652,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1819.09,4389.76,3234.49,2256.65,1972.5,1667.24,1397.55,1059.05,914.426,750.64,554.138,520.8,2326.17,3089.21,3027.4,2818.99,114.796,161.414,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1881.84,4192.21,3218.8,2429.47,2211.04,1727.96,1438.13,1137.22,971.702,774.624,626.54,556.44,2110.78,2236.41,2625.1,2318.92,147.575,160.126,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,1927.06,4242.11,3358.57,2292.54,2284.54,1779.07,1477.78,1126.41,932.094,712.947,669.396,519.933,3320.32,2859.12,2789.72,3171.92,130.888,138.514,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
