seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40930.6,44303,43628.7,43062,42718.6,42274.3,41440.3,40023.5,37946.5,35255.9,32107,28722.2,152490,41167,11252,2933.29,977.62,54.9678,3.77086,0.157536,0.00642299,0.000230138,1.06767e-05,1.07892e-06,1.35571e-07
1050,41230.2,44471,43886,43404,43095.4,42643.3,41771.5,40297.1,38150.6,35385.7,32163.2,28710,152196,39555.5,10313.2,2505.46,734.621,34.4049,1.93276,0.0703199,0.00262958,0.000102452,1.15002e-05,2.07547e-06,2.85176e-07
456,40437.9,44181.5,43752.6,43311.8,43027.2,42603.5,41766.2,40329.7,38221,35489.6,32292.9,28856,152903,39988.1,10483.7,2569.06,764.883,36.2595,2.07833,0.0769426,0.00288579,0.000102973,7.69169e-06,1.22637e-06,1.68718e-07
841,41260.3,44531.9,43882.1,43339.8,42992.2,42519.2,41639.9,40168.6,38034,35287.9,32088.7,28661.2,152911,39948.9,10490.4,2574.06,768.609,36.7091,2.12138,0.0792542,0.00300801,0.000112118,1.00442e-05,1.68748e-06,2.31029e-07
838,41069.3,44366.2,43780.2,43279.9,42954.6,42493.7,41623.4,40161.4,38037.8,35303.5,32115.4,28696.5,153698,40273,10542.4,2567.25,752.362,34.322,1.86751,0.0660967,0.0024479,9.6342e-05,1.16991e-05,2.20382e-06,3.06768e-07
757,41199.8,44449.4,43808.1,43291.6,42975.2,42532.3,41678.5,40225.7,38101.5,35357.6,32154.2,28717.8,151913,40121.6,10633.8,2644.02,807.657,39.665,2.36739,0.089616,0.00343014,0.000119366,6.348e-06,7.8853e-07,1.04909e-07
78,41407.9,44464.1,43879.5,43386.3,43037.7,42534.7,41614.6,40102.5,37933.1,35160.4,31943.7,28506.9,153517,39873.5,10293.1,2449.26,686.321,28.5394,1.36535,0.043158,0.00148766,6.03824e-05,9.03422e-06,1.77288e-06,2.4747e-07
262,40305.9,44027.3,43536.9,43062.1,42774.7,42370.2,41566.2,40171.6,38108.8,35424,32271.9,28875.5,152633,40973.6,11113.8,2866.11,936.328,51.2942,3.42243,0.140144,0.00562108,0.00020014,9.82108e-06,1.09577e-06,1.41892e-07
1124,40156.3,44032.2,43698.8,43303.6,43038.2,42622.5,41789.8,40358.4,38256.5,35533.5,32345.5,28916,152832,40061.6,10543.3,2603.19,786.035,37.965,2.21521,0.0828113,0.00313566,0.000114244,9.66062e-06,1.67966e-06,2.35209e-07
378,40879.7,44370.1,43723.7,43157,42807.3,42353.9,41508.1,40077.5,37986.1,35282.5,32122.9,28730.2,151749,40820.1,11181.5,2937.08,995.779,57.3952,4.04321,0.172449,0.00708745,0.000253779,1.10838e-05,1.00455e-06,1.22103e-07
