seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 11170.7, 13502.5, 9087.11, 5908.74, 4883.81, 3771.18, 2883.06, 2585.05, 2140.56, 1788.07, 1650.96, 944.504, 6069.43, 4882.14, 4840.13, 5789.89, 280.606, 278.709, 730.938, 988.073, 762.275, 7268.22, 6162.74, 14161.8, 80512.7
867, 11188.5, 13591.4, 9046.92, 5963.54, 4900.38, 3711.45, 2971.16, 2645.52, 2147.05, 1733.5, 1557.51, 1009.13, 4750.02, 5438.99, 4130.7, 5101.52, 297.798, 261.12, 690.003, 949.871, 805.952, 6426.19, 6839.24, 11968.3, 54924.8
761, 11168.3, 13408, 8973.76, 5852.13, 5004.12, 3707.86, 2888.2, 2654.9, 2064.16, 1718, 1521.22, 1149.95, 4428.38, 6123.32, 5909.4, 4800.56, 283.617, 213.243, 787.852, 872.182, 895.526, 6759.01, 7924.42, 12622.9, 63841.1
829, 10850, 13517.3, 8786.75, 5861.14, 4788.1, 3697.86, 2851.99, 2568.67, 2122.17, 1832.29, 1472.26, 998.035, 4860.83, 5511.66, 5458.74, 5302.19, 254.882, 245.172, 812.571, 1340.21, 644.712, 6594.09, 7205.86, 18102.1, 71199.3
377, 10995.2, 13260.7, 8905.94, 5812.6, 5057.81, 3596.44, 2887.15, 2660.61, 2084.17, 1789.95, 1551.42, 1069.5, 5209.08, 5058.45, 5808.11, 6012.27, 247.958, 270.083, 655.247, 902.824, 856.335, 7298.01, 7388.99, 16728.2, 82711.2
185, 11328.5, 13069.5, 9405.97, 5772.35, 5052.55, 3875.56, 2906.03, 2584.92, 2074.36, 1830.92, 1476.08, 1152.72, 4890.28, 5531.4, 4771.48, 5519.61, 273.442, 282.484, 821.856, 1039.18, 760.026, 6668.58, 6971.3, 10522.6, 59417.7
41, 11322.7, 13622.7, 8948.56, 6019.14, 4726.83, 3878.84, 2757.83, 2603.72, 2211.62, 1873.81, 1534.17, 1082.53, 5518.12, 6837.75, 4914.19, 4277.32, 333.222, 236.767, 789.938, 1032.2, 995.073, 6836.38, 7195.37, 15096.4, 80542.8
198, 11235.3, 13084.4, 8854.55, 5782.38, 4683.84, 3558.05, 2955.46, 2690.75, 2149.46, 1885.28, 1508.13, 1048.47, 6345.41, 4874.68, 4280.89, 5277.96, 376.416, 281.364, 662.287, 1025.04, 697.014, 6970.54, 6567.72, 14639.2, 77654
989, 10837.1, 13436.6, 8835.49, 5752.43, 4940.56, 3896.57, 2917.02, 2625.66, 2025.72, 1918.99, 1613.25, 1128.39, 4970.9, 4878.39, 5870.32, 5689.22, 200.514, 242.131, 838.599, 1170.23, 724.469, 5879.11, 7958.26, 18828, 65878.7
172, 11075.7, 13337.9, 8925.36, 5993.92, 4874.1, 3878.46, 2881.51, 2710.42, 2066.56, 1805.49, 1521.15, 1072.59, 5505.21, 5989.25, 4109.38, 4753.7, 211.757, 356.724, 1091.96, 967.479, 661.603, 6472.4, 5708.08, 17462.7, 53679.7
