seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,11119.7,13245.3,9012,6129.75,5132.71,3802.56,2767.38,2533.18,2128,1747.91,1531.64,1099.14,6005.12,6769.15,4631.6,5665.63,290.319,266.355,758.28,826.711,1184.78,6011.09,7237.36,17121.9,68348.7
500,11116.9,13348.9,8809.1,6062.07,5068.18,3838.98,2996.35,2573.96,2024.63,1843.27,1589.47,1065.49,5232.33,5395.81,5735.51,4591.1,317.279,279.226,860.845,888.879,776.037,7583.05,7678.18,17119.5,51960.7
130,11318.8,13390.4,9075.68,6022.3,4890.31,3756.59,2819.82,2652.27,2094.87,1806.75,1567.26,972.257,5759.18,4728.87,5301.45,5570.09,284.925,242.474,716.985,1008.02,875.622,5195.09,6405.64,12959.7,59358.9
991,11138.9,13609.5,9077.01,5977.74,4885.17,3701,2932.99,2687.73,2110.78,1874.54,1620.29,1026.45,5282.34,5851.79,5307.16,6084.08,237.209,276.96,809.15,687.155,929.448,6706.55,7716.21,15085.3,63061
1017,10796.3,13932.9,8937.21,5846.72,4923.98,3857.14,2713.85,2777.37,2153.73,1714.39,1550.96,1002.51,5450.42,5690.75,5791.93,5946.71,279.043,249.153,846.263,961.9,788.309,7188.32,7243.79,17041.2,80554.8
996,11788.1,13653.2,9204.5,6087.11,4862.35,3678.44,2777.68,2675.48,2061.56,1828.48,1490.22,1071.2,5321.5,5482.87,6686.75,5178.88,220.492,311.056,832.536,1127.26,750.267,7088.4,5847.4,16527.4,71497.5
417,11240.4,13148.7,9001.43,5815.98,5076.25,3786.79,2877.11,2699.99,2116.74,1846.44,1637.3,1265.12,5139.5,5156.19,4824.46,5142.23,234.51,273.907,644.815,967.128,721.899,6534.94,8274.57,18626,59737.5
559,11329.5,13477,9101.75,5909.26,5054.05,3599.23,3014.68,2757.96,2039.14,1773.82,1659.67,1136.49,5294.54,5165.28,5537.8,6157.9,265.376,233.356,886.894,1042.85,735.627,6822.27,6378.64,16973.7,73036.2
675,9891.54,12404.2,8546.74,5587.72,4877.35,3586.9,2909.76,2533.43,2078.67,1717.34,1562.54,1021.2,4730.22,5966.32,5380.2,5747.21,263.326,282.613,834.799,1083.01,874.534,7966.03,8392.34,15621.6,90786.4
717,11351.4,13610.4,9101.54,5978.45,4992.11,3604.81,2829.9,2678.9,2204.2,1934.19,1527.99,1096.78,5812.63,5502.95,5940.21,5409.35,280.675,265.22,699.759,1092.55,655.418,6397.62,5621.47,16685.8,58646.8
