seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,11119.8,13245.4,9012.05,6129.78,5132.73,3802.57,2767.38,2533.18,2128.01,1747.91,1531.64,1099.14,6005.11,6769.14,4631.61,5665.64,290.318,266.354,758.278,826.712,1184.78,6011.08,7237.35,17121.9,68348.6
500,11117,13348.9,8809.15,6062.1,5068.2,3838.99,2996.36,2573.97,2024.63,1843.27,1589.47,1065.48,5232.32,5395.8,5735.51,4591.11,317.278,279.225,860.842,888.88,776.036,7583.04,7678.16,17119.4,51960.7
130,11318.8,13390.5,9075.72,6022.32,4890.32,3756.6,2819.83,2652.28,2094.87,1806.75,1567.25,972.255,5759.17,4728.86,5301.45,5570.1,284.925,242.473,716.982,1008.03,875.62,5195.08,6405.63,12959.6,59358.8
991,11138.9,13609.6,9077.06,5977.77,4885.19,3701.01,2933,2687.74,2110.79,1874.54,1620.29,1026.45,5282.32,5851.78,5307.16,6084.09,237.209,276.959,809.147,687.156,929.446,6706.53,7716.19,15085.3,63060.9
1017,10796.4,13933,8937.26,5846.75,4924,3857.16,2713.85,2777.38,2153.73,1714.39,1550.96,1002.51,5450.41,5690.74,5791.93,5946.72,279.042,249.152,846.26,961.901,788.307,7188.3,7243.78,17041.2,80554.7
996,11788.2,13653.3,9204.56,6087.14,4862.38,3678.45,2777.68,2675.48,2061.57,1828.48,1490.21,1071.2,5321.49,5482.87,6686.75,5178.89,220.491,311.055,832.532,1127.26,750.265,7088.39,5847.39,16527.3,71497.4
417,11240.5,13148.8,9001.48,5816.01,5076.27,3786.8,2877.12,2700,2116.74,1846.44,1637.3,1265.12,5139.48,5156.18,4824.46,5142.24,234.509,273.906,644.813,967.129,721.898,6534.94,8274.55,18626,59737.5
559,11329.6,13477.2,9101.81,5909.3,5054.08,3599.24,3014.69,2757.97,2039.14,1773.82,1659.67,1136.49,5294.52,5165.27,5537.81,6157.92,265.375,233.355,886.891,1042.85,735.626,6822.27,6378.63,16973.7,73036.2
675,9891.59,12404.2,8546.76,5587.74,4877.36,3586.91,2909.77,2533.43,2078.67,1717.34,1562.54,1021.2,4730.22,5966.31,5380.2,5747.22,263.326,282.612,834.797,1083.01,874.533,7966.01,8392.33,15621.6,90786.3
717,11351.5,13610.5,9101.59,5978.48,4992.14,3604.83,2829.91,2678.9,2204.2,1934.2,1527.99,1096.78,5812.61,5502.95,5940.21,5409.37,280.674,265.219,699.758,1092.55,655.418,6397.62,5621.47,16685.8,58646.8
