seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,2.94586,1.62118,1.59207,1.22328,1.29976,1.33188,0.366131,0.408756,0.402929,0.391335,0.380825,0.369332,4.2798,4.29188,4.26647,4.35492,2.99571,13.3509,6.21449,35.6604,55.5982,391.559,457.556,145.569,704.944
500,2.35402,2.91466,1.28965,1.19983,1.19704,1.3037,0.366255,0.411252,0.406074,0.393495,0.38342,0.372446,4.29421,4.3363,4.32408,4.42764,17.9964,16.0906,20.399,2.00779,14.7037,271.129,238.636,421.546,3627.99
130,2.46448,1.81218,1.19782,1.18946,1.14128,1.19047,0.36485,0.405941,0.401443,0.390319,0.379956,0.368699,4.28687,4.28976,4.25978,4.35215,1.36767,8.28215,3.50057,64.7638,3.06222,260.806,120.307,258.018,4388.81
991,2.32662,1.76412,1.29651,1.35575,1.34188,1.32942,0.36587,0.411981,0.406221,0.393395,0.38359,0.372878,4.27838,4.32703,4.30737,4.39974,37.1596,4.08046,18.2857,118.52,33.5983,141.496,159.748,184.926,4408.5
1017,2.35491,2.12446,1.22055,1.2476,1.20844,1.29458,0.367582,0.40833,0.404447,0.393539,0.383386,0.37223,4.29123,4.35276,4.34462,4.44417,361.092,0.920047,25.322,1.23413,11.0325,318.216,207.835,338.912,1953.63
996,2.56821,2.70908,1.35516,1.24234,1.31456,1.21188,0.368709,0.409367,0.402478,0.390975,0.380388,0.368602,4.26629,4.29977,4.28739,4.38627,46.3245,6.10801,6.85452,44.9842,18.3923,366.185,206.208,224.743,4694.47
417,2.16394,2.26818,1.18097,1.21981,1.21218,1.24008,0.367175,0.411126,0.405834,0.394484,0.384872,0.373999,4.28348,4.33743,4.33142,4.43569,4.20874,25.67,23.6812,2.31722,4.46905,440.476,110.743,352.595,3957.6
559,1.48452,2.32449,1.33998,1.29723,1.18219,1.31742,0.366234,0.410817,0.405795,0.393424,0.383387,0.372468,4.31307,4.34133,4.31514,4.39928,11.4366,3.2953,18.0216,3.724,7.19074,456.17,164.671,426.547,3443.22
675,1.889,2.48943,1.50569,1.16118,1.22855,1.13173,0.357145,0.399767,0.393085,0.384089,0.375194,0.365178,4.27578,4.37886,4.40861,4.55098,148.736,27.7844,5.98206,17.3213,60.7251,455.094,454.763,441.469,3401.85
717,2.37502,2.22933,1.27638,1.18249,1.21632,1.26752,0.36496,0.405713,0.401104,0.390304,0.379817,0.368274,4.29364,4.31922,4.28999,4.36751,11.4524,21.0987,15.2132,55.4799,21.9617,260.707,269.536,136.119,2219.6
