seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,1875.98,4268,3188.33,2372.82,2002.78,1802.53,1361.38,1149.12,926.755,816.518,569.488,579.947,3354.07,2313.32,2837.05,2395.85,145.161,133.179,189.571,330.688,296.196,2002.91,2411.82,5682.21,22811.2
500,1872.65,4277.27,3178.96,2408.69,1926.28,1792.47,1449.5,1167.14,877.947,817.386,617.613,487.53,2616.16,2697.9,2867.76,2295.56,158.641,139.615,215.213,355.556,194.011,2526.69,2558.71,5681.41,17341.8
130,1888.86,4398.86,3185.11,2426.06,2146.03,1647.68,1431.24,1120.7,923.827,815.046,603.86,464.293,2778.03,2572.3,2181.61,2898.46,117.821,120.214,219.01,340.932,172.847,1881.74,2020.66,5661.49,21730.9
991,1873.53,4333.15,3285.41,2393.57,2024.69,1688.06,1507.63,1131.12,916.997,751.059,599.393,514.537,2756.08,2695.95,2985.45,2818.88,147.262,145.074,184.239,408.805,229.973,1970.79,2209.88,4687.9,22924.6
1017,1818.57,4386.73,3255.27,2339.23,2077.72,1672.09,1357.27,1086.86,910.346,791.456,592.55,544.968,2091.86,2756.08,2529.82,2833.61,127.316,131.674,213.096,368.186,209.913,2080.46,2363.72,5996.87,22851.5
996,1970.91,4315.88,3356.45,2474.4,2261.59,1723.97,1395.99,1117.31,910.519,811.79,606.118,628.705,2540.63,2373.72,2848.78,2858.1,159.013,130.461,250.174,349.947,158.396,1716.28,2056.74,5850.66,22007.2
417,1888.4,4311.53,3240.85,2431.27,1988.27,1684,1498.2,1135.68,963.312,871.153,682.23,503.454,2353.54,2551.6,2826.82,2461.47,117.257,136.955,161.205,386.856,180.476,2177.46,2757.46,6181.38,19937.3
559,1898.91,4390.13,3261.02,2354.72,2218.12,1793.89,1416.33,1223.11,978.675,827.109,627.87,532.876,2899.96,2681.29,2584.84,2761.89,138.095,129.788,183.841,399.905,223.801,2269.02,2408.7,4738.49,22962.8
675,1736.28,4119.71,3141.69,2324.83,2011.62,1642.53,1424.61,1152.25,902.539,793.162,563.498,547.909,2645.29,2455.95,2471.73,3054.3,131.665,141.308,208.701,433.209,218.635,2654.3,2796.71,5184.34,30299.7
717,1910.16,4447.19,3364.77,2390.19,2118.62,1641.19,1404.56,1157.47,1012.11,882.605,585.905,512.954,2906.3,2751.47,2970.11,2704.68,140.339,132.611,174.941,437.026,163.856,2131.7,1873.33,5537.49,19573.3
