seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 40627.9, 44127.9, 43581.3, 43090.9, 42789.5, 42363.7, 41540.7, 40122.5, 38035.7, 35329.9, 32162.3, 28757.2, 152798, 40491.2, 10796.3, 2715.14, 848.329, 43.2406, 2.69107, 0.105592, 0.00412835, 0.000148035, 9.52007e-06, 1.40116e-06, 1.91761e-07
867, 41490.1, 44574.8, 43925.8, 43406.2, 43067.5, 42587.8, 41697.4, 40206.7, 38047.1, 35272.8, 32044.6, 28589.8, 153078, 39475.4, 10169.8, 2417.32, 678.329, 29.0239, 1.45862, 0.0487892, 0.00173052, 6.8969e-05, 9.10786e-06, 1.68276e-06, 2.31178e-07
761, 41042.2, 44390.2, 43773.4, 43242.5, 42903.9, 42439.5, 41576.2, 40119.6, 37998.4, 35264.3, 32075.8, 28657.5, 152746, 40123.2, 10586.9, 2617.12, 791.497, 38.2345, 2.23818, 0.084119, 0.00321188, 0.000117393, 9.39125e-06, 1.53382e-06, 2.10955e-07
829, 41130, 44385.9, 43687.8, 43122.9, 42781.2, 42330.1, 41485.5, 40050.3, 37950.6, 35236.9, 32067.5, 28667, 151978, 40578.7, 10981.8, 2826.51, 922.777, 50.2448, 3.35393, 0.137923, 0.00555611, 0.000198328, 9.88953e-06, 1.12068e-06, 1.45463e-07
377, 39507.2, 43575.2, 43343.5, 42994, 42761.8, 42377.1, 41583.5, 40190, 38125.2, 35438.7, 32286.7, 28892, 152765, 40367.9, 10781.7, 2734.76, 872.076, 45.6762, 2.93332, 0.118836, 0.00469367, 0.00016374, 7.84664e-06, 8.66943e-07, 1.12729e-07
185, 41651.9, 44554.6, 43854.7, 43315.5, 42964.7, 42478, 41587.1, 40100.1, 37947.7, 35183.3, 31967.1, 28525.6, 153179, 39866, 10329.5, 2473.34, 702.097, 30.1575, 1.52306, 0.0509045, 0.00181439, 7.15475e-05, 9.48684e-06, 1.82254e-06, 2.53984e-07
41, 41743.5, 44581.9, 43843.6, 43283.8, 42920.8, 42427.7, 41534.2, 40048.6, 37901.2, 35144.4, 31937.8, 28507.3, 152031, 40187.8, 10613.7, 2613.28, 779.596, 36.5796, 2.03448, 0.0722693, 0.00269653, 9.81952e-05, 8.02471e-06, 1.33268e-06, 1.844e-07
198, 40986.8, 44175.6, 43577.9, 43082, 42767, 42319.9, 41474, 40036.1, 37934.1, 35217.6, 32043.2, 28634.9, 154133, 40536.1, 10619.7, 2584.14, 755.271, 34.2049, 1.84609, 0.0653222, 0.0024153, 9.26946e-05, 1.03002e-05, 1.88743e-06, 2.61766e-07
989, 40727.6, 44189.6, 43564.2, 43015.7, 42677.9, 42230.6, 41395.3, 39972.9, 37889.5, 35194.6, 32045.1, 28664.1, 151952, 40900.4, 11186.2, 2929.73, 987.353, 56.392, 3.92936, 0.165944, 0.00679732, 0.000245706, 1.24833e-05, 1.44416e-06, 1.87971e-07
172, 41058, 44186.8, 43660.8, 43190.3, 42846, 42338.9, 41422.2, 39916.9, 37760.7, 35008.3, 31817.6, 28410.6, 154730, 40109.4, 10325.7, 2443.85, 677.367, 27.6422, 1.27607, 0.0394033, 0.00136342, 6.61947e-05, 1.27711e-05, 2.44117e-06, 3.32482e-07
