seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 37342.9, 41045.3, 41046.6, 41043.9, 41213.9, 41368.5, 41364.5, 41102.8, 40553.1, 39738.5, 38723.9, 37599.1, 442883, 357308, 323460, 303097, 1.06913e+06, 1.04645e+06, 794709, 715619, 768475, 623347, 430442, 299099, 335711
867, 36493, 39647.8, 39530.1, 39476.3, 39584.1, 39663.7, 39577.7, 39236.8, 38615.8, 37741.1, 36679.2, 35520, 443871, 354559, 319952, 298878, 1.11472e+06, 1.08912e+06, 896490, 813768, 874189, 690168, 463222, 317513, 356165
761, 38392.7, 42009.3, 41935.3, 41887.9, 42021.5, 42138.8, 42091.8, 41781.7, 41179.1, 40309.1, 39239.6, 38063.2, 443841, 356693, 322477, 301708, 1.09452e+06, 1.07043e+06, 840647, 757260, 813016, 654059, 446647, 308339, 345950
829, 39461.8, 43091.5, 42944.9, 42868, 43004.9, 43140.9, 43115.1, 42824.4, 42236.3, 41374.8, 40308.6, 39131.3, 420574, 339549, 307446, 287928, 1.0653e+06, 1.04248e+06, 748135, 672315, 721703, 586550, 405120, 281317, 315740
377, 39271.3, 43812.9, 44112.6, 44245.2, 44496.9, 44701.9, 44718.1, 44442.9, 43845.6, 42952.9, 41837.3, 40598.4, 432147, 351382, 321294, 303775, 1.22755e+06, 1.2028e+06, 875154, 796837, 852460, 700552, 494502, 348836, 391984
185, 38201.5, 41359.7, 41218.8, 41163.7, 41279.1, 41369, 41294.7, 40962.9, 40346.8, 39472.1, 38405.5, 37237.4, 425595, 340551, 306484, 285861, 1.06873e+06, 1.0467e+06, 1.02237e+06, 913044, 986267, 784615, 529589, 362678, 406658
41, 37136.3, 40157.7, 40001.8, 39943.5, 40058.3, 40154.9, 40098.4, 39799.3, 39231.2, 38417.3, 37420.7, 36326.5, 447026, 360786, 326344, 305627, 929980, 911372, 1.43908e+06, 1.27667e+06, 1.37026e+06, 1.11437e+06, 761531, 524358, 587998
198, 35294, 38498.8, 38451.5, 38435.3, 38572.3, 38688, 38653.9, 38382.3, 37846.9, 37069.7, 36111.1, 35053.9, 424969, 342137, 309000, 289016, 1.03964e+06, 1.01837e+06, 955102, 856493, 922841, 738765, 502394, 345807, 387848
989, 36602.5, 40188.6, 40122.6, 40073.4, 40213.9, 40353.6, 40347, 40096, 39570.3, 38791.9, 37823.9, 36753, 473855, 385353, 350197, 328869, 1.00868e+06, 987087, 844742, 762033, 815213, 667758, 464899, 324647, 364450
172, 34730.2, 37822.5, 37837.5, 37852.5, 37978.6, 38061.2, 37988.4, 37683.3, 37125.2, 36338.5, 35382.5, 34337.2, 470765, 375824, 339023, 317030, 1.15313e+06, 1.1273e+06, 1.15885e+06, 1.0467e+06, 1.12364e+06, 891662, 599372, 410790, 460723
