seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5383.29, 5326.39, 5304.18, 5287.71, 5300.63, 5292.03, 614.349, 589.796, 625.101, 605.291, 653.069, 575.993, 7023.18, 6958.19, 6457.23, 6492.75, 120338, 63774.2, 120875, 119915, 93292.5, 183859, 220444, 300180, 287512
867, 5492.59, 5373.24, 5332.73, 5314.94, 5287.7, 5294.85, 571.422, 563.247, 628.979, 579.486, 632.882, 615.019, 6435.02, 6811.73, 7126.07, 7237.46, 81395.4, 94368.1, 99437.3, 106476, 59571, 190857, 199120, 253417, 354754
761, 5434.24, 5365.65, 5314.02, 5296.35, 5305.03, 5289.38, 526.004, 557.885, 630.729, 567.12, 589.92, 554.554, 7145.45, 6853.65, 6427.41, 7187.87, 109333, 78507.6, 106546, 88908.4, 91983.9, 188780, 143484, 219844, 382745
829, 5447.63, 5362.88, 5318.28, 5278.86, 5285.37, 5286.56, 585.134, 615.974, 635.217, 567.798, 593.72, 601.124, 7081, 6824.73, 6804.85, 6974.83, 66477.8, 84079, 135175, 67042.5, 90069, 185138, 156959, 262476, 389269
377, 5234.54, 5257.03, 5256.06, 5280.34, 5273.61, 5291.01, 640.044, 543.711, 595.241, 612.607, 573.314, 587.788, 7179.32, 7079.13, 7106.76, 7634.72, 60865, 65173.5, 103827, 120700, 109760, 207654, 246262, 309586, 458515
185, 5521.32, 5389.2, 5333.14, 5326.27, 5320.88, 5312.96, 577.011, 588.338, 614.734, 586.002, 627.699, 622.001, 6734.81, 7166.59, 7000.88, 7065.78, 94271.7, 114618, 105538, 56779.8, 88496.4, 200592, 193579, 252904, 381336
41, 5515.63, 5380.21, 5329.28, 5330.15, 5318.93, 5313.45, 621.408, 647.669, 628.765, 610.094, 618.204, 583.846, 6644.85, 7435.98, 7974.32, 7575.54, 69351.4, 74255.8, 114335, 71896.6, 114731, 215551, 177890, 225156, 364608
198, 5443.55, 5331.04, 5303.39, 5293.96, 5292.53, 5284.6, 616.515, 648.989, 626.699, 558.539, 582.307, 547.429, 6719.43, 7238.67, 7010.35, 7141.7, 94039, 67944.6, 107810, 111573, 81931.6, 192600, 202650, 235690, 248890
989, 5401.51, 5322.17, 5295.2, 5293.37, 5271.33, 5280.84, 580.897, 603.237, 620.716, 580.473, 565.221, 642.254, 6862.43, 6604.78, 6289.03, 6910.24, 108852, 82248.4, 91326, 106811, 105522, 231992, 224258, 318842, 441775
172, 5429.25, 5328.39, 5313.4, 5301.74, 5295.3, 5300.4, 611.621, 597.712, 589.674, 624.224, 636.922, 591.543, 6821.75, 7040.19, 6661.09, 6373.05, 94204, 88017.3, 84883.1, 87753.9, 85438, 202462, 168031, 218989, 384478
