seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5322.94, 5281.45, 5264.27, 5247.49, 5258.24, 5247.57, 608.995, 584.539, 619.489, 599.901, 647.384, 571.148, 7001.5, 5804.6, 5152.22, 5044.3, 119002, 63731.4, 120348, 118414, 92573.8, 182161, 218182, 296214, 283651
867, 5420.26, 5320.23, 5285.24, 5266.34, 5236.15, 5240.07, 565.22, 556.949, 621.867, 572.983, 625.955, 608.548, 6413.21, 5611.34, 5595.86, 5524.38, 80358.6, 94261.9, 98801.8, 104761, 58958, 188468, 196390, 249072, 348583
761, 5369.46, 5318.19, 5272.1, 5253.76, 5259.71, 5241.5, 521.016, 552.441, 624.51, 561.571, 584.288, 549.458, 7122.15, 5647.07, 5046.58, 5482.38, 107982, 78436.1, 105998, 87652.5, 91168.4, 186781, 141802, 216565, 376946
829, 5389.3, 5321.89, 5282.68, 5242.8, 5246.7, 5245.31, 580.313, 610.727, 629.74, 562.943, 588.778, 596.324, 7061.27, 5633.03, 5355.12, 5332.5, 65686.2, 84014.9, 134576, 66182.4, 89354.4, 183396, 155314, 258934, 383929
377, 5175.62, 5211.6, 5215.62, 5239.75, 5231.44, 5246.88, 634.534, 538.938, 589.984, 607.239, 568.393, 582.9, 7154.77, 5892.2, 5659.52, 5924.62, 60254.7, 65148.3, 103437, 119335, 109020, 205936, 243977, 305785, 452784
185, 5440.84, 5327.9, 5277.97, 5270.54, 5262.71, 5252.33, 570.214, 581.276, 607.322, 579.009, 620.385, 615.002, 6703.11, 5813.66, 5389.43, 5276.69, 92984.1, 114486, 104895, 55852.2, 87584.9, 198131, 190976, 248650, 374827
41, 5446.92, 5330.4, 5285.08, 5284.95, 5270.95, 5262.62, 615.173, 640.968, 622.176, 603.731, 611.892, 578.086, 6615.48, 6077.71, 6204.24, 5732.25, 68469.2, 74182.2, 113758, 70843.3, 113669, 213239, 175771, 221750, 359007
198, 5363.88, 5269.96, 5248.24, 5238.45, 5234.71, 5224.46, 609.29, 641.249, 619.189, 551.903, 575.531, 541.256, 6687.56, 5858.66, 5385.42, 5323.98, 92805.8, 67878.8, 107179, 109788, 81112.4, 190288, 199973, 231760, 244677
989, 5345.14, 5281.76, 5259.87, 5257.51, 5233.42, 5240.56, 576.26, 598.28, 615.552, 575.666, 560.632, 637.204, 6842.42, 5512.14, 5023.18, 5373.28, 107686, 82202.1, 90961.8, 105536, 104750, 229969, 222068, 314782, 436052
172, 5351.36, 5269.13, 5259.44, 5246.77, 5237.39, 5239.41, 604.305, 590.39, 582.396, 616.587, 629.319, 584.741, 6793.6, 5730.18, 5149.97, 4782.35, 92958.1, 87929, 84343.4, 86287.3, 84531.8, 199874, 165675, 215133, 377611
