seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 11164.7, 13498.4, 9085.1, 5907.65, 4882.95, 3770.24, 2882.89, 2584.92, 2140.47, 1787.99, 1650.88, 944.452, 6069.07, 4881.94, 4840.03, 5789.84, 211.612, 276.512, 730.807, 988.066, 762.275, 7268.22, 6162.74, 14161.8, 80512.7
867, 11211, 13607.6, 9053.66, 5967.79, 4903.95, 3714.75, 2971.8, 2646.01, 2147.44, 1733.8, 1557.81, 1009.37, 4751.22, 5439.88, 4131.04, 5101.69, 220.131, 258.843, 689.855, 949.862, 805.952, 6426.19, 6839.24, 11968.3, 54924.8
761, 11185.3, 13420.5, 8978.05, 5855.18, 5006.39, 3710.53, 2888.64, 2655.25, 2064.43, 1718.21, 1521.43, 1150.14, 4429.17, 6124.04, 5909.75, 4800.68, 209.066, 211.407, 787.691, 872.175, 895.526, 6759.01, 7924.42, 12622.9, 63841.1
829, 10883.1, 13539.3, 8798.3, 5867.64, 4793.99, 3703.76, 2852.97, 2569.41, 2122.76, 1832.79, 1472.72, 998.405, 4862.78, 5513.09, 5459.47, 5302.48, 188.301, 243.112, 812.413, 1340.2, 644.711, 6594.09, 7205.86, 18102.1, 71199.3
377, 10983.8, 13252.8, 8902.26, 5810.12, 5055.67, 3594.72, 2886.81, 2660.34, 2083.97, 1789.79, 1551.26, 1069.37, 5208.4, 5058.03, 5807.86, 6012.16, 188.275, 268.193, 655.155, 902.819, 856.335, 7298.01, 7388.99, 16728.2, 82711.2
185, 11324.3, 13066.1, 9404.58, 5771.61, 5051.91, 3874.95, 2905.91, 2584.84, 2074.29, 1830.87, 1476.03, 1152.68, 4890.09, 5531.26, 4771.42, 5519.58, 198.236, 279.919, 821.677, 1039.18, 760.026, 6668.58, 6971.3, 10522.6, 59417.7
41, 11338.9, 13633.7, 8952.84, 6022.34, 4729.46, 3881.65, 2758.23, 2604.04, 2211.89, 1874.03, 1534.37, 1082.7, 5519.07, 6838.51, 4914.47, 4277.42, 244.393, 234.699, 789.774, 1032.19, 995.073, 6836.38, 7195.37, 15096.4, 80542.8
198, 11219, 13071.7, 8848.82, 5778.79, 4680.78, 3555.26, 2954.95, 2690.36, 2149.17, 1885.04, 1507.91, 1048.29, 6344.22, 4874.08, 4280.62, 5277.82, 272.362, 278.859, 662.152, 1025.03, 697.014, 6970.54, 6567.72, 14639.2, 77654
989, 10837.6, 13437.2, 8835.67, 5752.57, 4940.71, 3896.73, 2917.04, 2625.68, 2025.74, 1919, 1613.27, 1128.41, 4970.98, 4878.44, 5870.34, 5689.23, 150.741, 240.247, 838.454, 1170.23, 724.469, 5879.11, 7958.26, 18828, 65878.7
172, 11073.8, 13336.5, 8924.72, 5993.55, 4873.82, 3878.19, 2881.46, 2710.39, 2066.54, 1805.47, 1521.13, 1072.58, 5505.13, 5989.2, 4109.35, 4753.69, 153.791, 353.482, 1091.72, 967.47, 661.603, 6472.4, 5708.08, 17462.7, 53679.7
