seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 40580.7, 44074.2, 43522, 43023.5, 42712.8, 42278.3, 41448.6, 40027.3, 37942, 35242.9, 32086.9, 28697.1, 153181, 40680.9, 10864.4, 2736.48, 856.753, 43.5637, 2.70298, 0.106045, 0.0041513, 0.000149939, 9.97534e-06, 1.48417e-06, 7.80124e-08
867, 41435.1, 44512.4, 43858.3, 43331.5, 42984.5, 42497.2, 41601.4, 40108.6, 37951.6, 35184.8, 31969, 28530, 153475, 39672.3, 10241.2, 2439.66, 686.943, 29.3721, 1.47254, 0.0492705, 0.00175284, 7.1285e-05, 9.67379e-06, 1.76317e-06, 8.84685e-08
761, 40989.2, 44330.9, 43708.5, 43169.1, 42820.5, 42346.8, 41476.4, 40016.4, 37896.9, 35170.1, 31994.1, 28592.3, 153153, 40323.7, 10659.4, 2639.99, 800.546, 38.5887, 2.25163, 0.084614, 0.00323644, 0.000119624, 9.93291e-06, 1.6234e-06, 7.77047e-08
829, 41082.7, 44333.7, 43629.8, 43055.7, 42703.3, 42242, 41389.6, 39950.2, 37851.4, 35144.2, 31986.6, 28602, 152368, 40767.7, 11049.3, 2847.77, 931.345, 50.5642, 3.36497, 0.138376, 0.00558029, 0.000200076, 1.02444e-05, 1.18626e-06, 5.44785e-08
377, 39468.8, 43526.7, 43287.4, 42929.1, 42687.3, 42293.9, 41493.9, 40097.4, 38034.1, 35354.1, 32213.4, 28833.7, 153148, 40554.5, 10847.8, 2755.21, 880.086, 45.9714, 2.94375, 0.119262, 0.00471487, 0.000165132, 8.11475e-06, 9.19601e-07, 4.33892e-08
185, 41581, 44477.3, 43773.2, 43226.5, 42866.8, 42371.8, 41475, 39986, 37837, 35081.8, 31880.2, 28457.5, 153649, 40102.6, 10415.1, 2500.25, 712.539, 30.5746, 1.5394, 0.0514369, 0.00183896, 7.41486e-05, 1.01637e-05, 1.9281e-06, 8.87548e-08
41, 41682.1, 44516.6, 43772.8, 43202.7, 42827.5, 42322.6, 41419.8, 39929.4, 37783.1, 35034, 31841.5, 28430, 152464, 40404.8, 10693.3, 2638.96, 790.033, 36.9957, 2.05024, 0.072787, 0.00272132, 0.000100377, 8.52851e-06, 1.41631e-06, 6.83623e-08
198, 40923.1, 44104.1, 43501.2, 42997.7, 42673.6, 42218.3, 41366.4, 39926.4, 37827.4, 35119.5, 31959, 28568.6, 154587, 40767, 10703.8, 2610.67, 765.665, 34.6219, 1.86247, 0.0658829, 0.00244223, 9.54668e-05, 1.10099e-05, 2.00007e-06, 8.91293e-08
989, 40688.1, 44145, 43513.4, 42955.5, 42606.9, 42149.4, 41306, 39879.2, 37796.1, 35107, 31968.3, 28602.2, 152315, 41074.5, 11248.2, 2949.34, 995.366, 56.6866, 3.93909, 0.166385, 0.0068228, 0.000247729, 1.2928e-05, 1.52855e-06, 7.46254e-08
172, 40994.7, 44116, 43584.2, 43104.7, 42750, 42233.1, 41309.2, 39801.1, 37647.4, 34903.7, 31727.5, 28339.1, 155176, 40332.7, 10408.4, 2470.48, 687.999, 28.0784, 1.29355, 0.0399937, 0.00139279, 6.99059e-05, 1.36751e-05, 2.55898e-06, 1.17435e-07
