seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 11101.3, 13456.1, 9065.9, 5897.92, 4875.26, 3760.92, 2881.72, 2584.01, 2139.7, 1787.41, 1650.26, 944.051, 6066.74, 4880.8, 4839.46, 5789.55, 280.606, 278.71, 730.941, 988.067, 762.275, 7268.22, 6162.75, 14161.8, 80512.7
867, 11138.2, 13555.6, 9033.33, 5955.55, 4893.72, 3705.05, 2970.22, 2644.79, 2146.42, 1733.05, 1557.04, 1008.79, 4748.59, 5438, 4130.31, 5101.31, 297.798, 261.121, 690.005, 949.863, 805.952, 6426.18, 6839.24, 11968.3, 54924.7
761, 11180.9, 13417.6, 8978.08, 5855.46, 5006.72, 3710.48, 2888.88, 2655.42, 2064.53, 1718.29, 1521.52, 1150.23, 4429.78, 6124.64, 5910.05, 4800.77, 283.619, 213.244, 787.854, 872.178, 895.526, 6759, 7924.42, 12622.9, 63841
829, 10820.4, 13497.9, 8777.77, 5856.72, 4784.07, 3693.52, 2851.6, 2568.37, 2121.9, 1832.08, 1472.07, 997.9, 4860.42, 5511.42, 5458.62, 5302.13, 254.882, 245.173, 812.574, 1340.2, 644.712, 6594.09, 7205.87, 18102.1, 71199.3
377, 10956.4, 13235.2, 8895.33, 5805.87, 5052.09, 3591.62, 2886.54, 2660.12, 2083.76, 1789.64, 1551.13, 1069.28, 5208.22, 5057.97, 5807.83, 6012.14, 247.958, 270.084, 655.249, 902.82, 856.335, 7298.01, 7389, 16728.2, 82711.2
185, 11289.3, 13038.8, 9395.04, 5766.84, 5047.58, 3870.25, 2905.4, 2584.42, 2073.91, 1830.58, 1475.76, 1152.44, 4889.32, 5530.76, 4771.2, 5519.47, 273.442, 282.485, 821.858, 1039.18, 760.026, 6668.57, 6971.3, 10522.5, 59417.7
41, 11271.3, 13588.1, 8936.43, 6010.6, 4719.87, 3871.07, 2757.03, 2603.06, 2211.04, 1873.37, 1533.76, 1082.2, 5516.71, 6836.7, 4913.81, 4277.17, 333.223, 236.768, 789.941, 1032.19, 995.074, 6836.38, 7195.38, 15096.4, 80542.8
198, 11179.6, 13041.7, 8836.62, 5771.53, 4674.52, 3549.23, 2954.22, 2689.77, 2148.67, 1884.64, 1507.54, 1048, 6342.74, 4873.41, 4280.32, 5277.66, 376.415, 281.365, 662.289, 1025.03, 697.014, 6970.53, 6567.71, 14639.2, 77653.9
989, 10814.6, 13413.9, 8828.42, 5748.56, 4937.15, 3893.01, 2916.73, 2625.42, 2025.51, 1918.82, 1613.1, 1128.28, 4970.69, 4878.31, 5870.27, 5689.18, 200.514, 242.132, 838.602, 1170.23, 724.47, 5879.11, 7958.28, 18828.1, 65878.7
172, 11047.8, 13319.4, 8918.14, 5989.81, 4870.72, 3874.68, 2881.15, 2710.12, 2066.29, 1805.28, 1520.95, 1072.44, 5504.67, 5988.94, 4109.27, 4753.63, 211.758, 356.725, 1091.97, 967.474, 661.604, 6472.41, 5708.1, 17462.7, 53679.8
