seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1.91476, 2.07272, 1.21923, 1.22403, 1.12951, 1.21255, 0.364942, 0.407338, 0.402153, 0.392569, 0.382486, 0.371525, 4.27998, 4.31656, 4.29937, 4.39524, 1.0427, 5.02874, 37.9555, 20.6219, 94.1033, 51.6351, 227.238, 42.702, 1550.81
867, 2.10467, 2.02285, 1.26765, 1.24341, 1.16832, 1.2638, 0.368006, 0.410074, 0.4015, 0.389332, 0.378447, 0.366486, 4.27715, 4.27085, 4.24094, 4.32219, 0.685752, 6.40896, 7.15391, 4.00004, 13.9777, 426.388, 50.5589, 340.664, 3797.66
761, 2.78872, 2.07255, 1.27748, 1.24888, 1.19665, 1.29867, 0.365051, 0.411176, 0.401765, 0.3913, 0.381053, 0.369485, 4.2824, 4.30222, 4.27873, 4.36698, 9.00042, 19.9871, 15.2622, 35.9156, 11.196, 421.808, 167.58, 140.306, 3391.98
829, 2.02329, 1.69705, 1.25867, 1.14564, 1.21867, 1.28116, 0.364692, 0.406988, 0.402856, 0.391564, 0.381489, 0.370316, 4.26802, 4.30569, 4.29009, 4.38336, 29.7027, 3.56999, 55.2429, 9.78566, 14.3164, 409.196, 390.687, 398.62, 3049.77
377, 2.06092, 2.01285, 1.38943, 1.0951, 1.40029, 1.33018, 0.364317, 0.408722, 0.403805, 0.392273, 0.382253, 0.370866, 4.28038, 4.35108, 4.37609, 4.51337, 894.236, 19.6509, 6.63016, 21.5448, 7.4537, 215.937, 468.032, 195.1, 4042.65
185, 2.16941, 1.99251, 1.1745, 1.19697, 1.32862, 1.24898, 0.367073, 0.409301, 0.405919, 0.391044, 0.380463, 0.36883, 4.31053, 4.31157, 4.26842, 4.3435, 33.4536, 1.00334, 5.29817, 17.47, 1.47592, 263.141, 242.71, 140.031, 4700.22
41, 2.33135, 1.82827, 1.27859, 1.19987, 1.32561, 1.32893, 0.366661, 0.410913, 0.402991, 0.392376, 0.382209, 0.370993, 4.32884, 4.36864, 4.34679, 4.44204, 452.791, 2.78587, 2.52177, 34.8908, 4.27005, 471.5, 90.7177, 530.095, 4204.43
198, 1.83361, 1.71586, 1.39245, 1.22258, 1.24804, 1.14069, 0.363389, 0.406508, 0.401873, 0.391122, 0.381, 0.369666, 4.33004, 4.35795, 4.32866, 4.41734, 16.7087, 19.5702, 6.45212, 1.52891, 15.6906, 256.871, 369.464, 379.446, 2210.03
989, 1.40447, 2.28892, 1.31492, 1.19045, 1.22883, 1.20999, 0.36744, 0.407667, 0.402188, 0.392125, 0.382252, 0.371491, 4.30043, 4.37167, 4.37024, 4.47729, 14.572, 11.0786, 6.97535, 16.4088, 16.6921, 278.828, 89.8109, 550.779, 4896.84
172, 2.2856, 1.66718, 1.35032, 1.23476, 1.35359, 1.27183, 0.366649, 0.406659, 0.400684, 0.390227, 0.379974, 0.368697, 4.33273, 4.32458, 4.29042, 4.3768, 35.3579, 5.92646, 33.0072, 4.61351, 11.6415, 87.572, 359.527, 212.472, 2717.89
