seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1886.97, 4327.73, 3193.88, 2428.34, 2018.29, 1718.18, 1445.71, 1173.2, 967.518, 789.373, 619.965, 491.436, 2640.7, 3204.78, 2158.12, 2165.73, 129.7, 119.65, 266.014, 393.835, 211.877, 1870.62, 2119.92, 4683.05, 23147.6
867, 1893.29, 4368.76, 3443.37, 2406.04, 2098.69, 1790.38, 1464.33, 1198.73, 929.249, 764.661, 612.097, 456.548, 2458.6, 2727.93, 2619.49, 2329.57, 148.826, 157.348, 223.574, 364.258, 168.212, 2114.16, 1717.91, 4832.17, 23236
761, 1880.54, 4251.98, 3241.45, 2349.08, 2129.3, 1766.84, 1338.6, 1112.62, 979.664, 795.051, 549.981, 568.861, 2374.91, 2402.72, 2651.83, 2702.3, 109.023, 124.83, 193.646, 417.059, 162.814, 2096.73, 2173.92, 5224, 17126.1
829, 1829.06, 4418.86, 3308.05, 2339.11, 2052.67, 1872.2, 1368.57, 1084.55, 971.381, 799.225, 536.207, 449.483, 2430.21, 2755.71, 2729.31, 2651.06, 127.443, 122.588, 203.145, 536.084, 161.18, 2197.17, 2401.32, 6007.52, 23762.6
377, 1839.69, 4152.03, 3284.65, 2365.23, 2106.48, 1654.4, 1329.73, 1162.64, 929.604, 757.734, 612.95, 483.854, 2589.55, 3203.83, 2487.07, 2722.18, 153.783, 115.238, 196.912, 398.614, 159.566, 2297.92, 2679.55, 5394.59, 24543.5
185, 1905.08, 4454.51, 3276.36, 2588.64, 1923.82, 1719.38, 1411.19, 1195.07, 933.345, 799.764, 601.342, 452.102, 2260.78, 2491.44, 3004.06, 2442.08, 104.416, 124.948, 226.658, 366.988, 224.506, 2071.49, 1859.81, 4780.39, 14264.7
41, 1898.76, 4452.39, 3237.33, 2363.88, 2065.69, 1714, 1319.2, 1113.65, 1021.95, 836.233, 587.341, 500.258, 2758.35, 3418.35, 2456.91, 2138.59, 166.614, 118.386, 197.487, 412.882, 248.771, 2277.9, 2397.83, 5010.04, 26881
198, 1871.65, 4164.54, 3210.33, 2373.18, 1949.74, 1728.17, 1396.22, 1220.42, 965.272, 855.911, 561.92, 476.571, 3171.37, 2436.7, 2140.16, 2638.83, 188.21, 140.685, 165.574, 410.017, 174.255, 2322.6, 2188.66, 4858.31, 25916.8
989, 1829.63, 4404.23, 3315.7, 2323.02, 1958.5, 1729.4, 1280.17, 1126.91, 871.697, 868.743, 629.675, 551.481, 2485.34, 2439.16, 2935.13, 2844.59, 100.259, 121.068, 209.653, 468.096, 181.119, 1958.93, 2652.06, 6248.44, 21986.9
172, 1859.58, 4436.12, 3279.63, 2329.39, 2120.18, 1719.53, 1364.97, 1148.96, 979.954, 817.856, 607.788, 466.451, 2519.87, 2796.21, 2578.15, 2756.47, 129.312, 128.397, 205.831, 385.41, 267.727, 2029.4, 1878.67, 5217.75, 16766.5
