seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5377.88, 5319.18, 5297.89, 5282.49, 5296.17, 5287.97, 613.983, 589.496, 624.785, 604.955, 652.653, 575.575, 7018.57, 6955.38, 6455.95, 6492.25, 120337, 63773.9, 120874, 119915, 93292.3, 183858, 220444, 300179, 287511
867, 5488.46, 5367.78, 5328.09, 5311.16, 5284.5, 5291.92, 571.176, 563.039, 628.743, 579.244, 632.576, 614.681, 6431.89, 6809.69, 7125.03, 7237.06, 81394.7, 94367.7, 99437, 106477, 59570.9, 190857, 199120, 253417, 354754
761, 5433.84, 5365.45, 5314.47, 5297.21, 5305.93, 5290.14, 526.068, 557.939, 630.774, 567.154, 589.962, 554.609, 7146.78, 6854.58, 6427.89, 7188.12, 109333, 78507.2, 106545, 88908.6, 91983.7, 188780, 143484, 219844, 382745
829, 5444.66, 5359.05, 5315.24, 5276.57, 5283.48, 5284.82, 584.987, 615.841, 635.075, 567.653, 593.547, 600.93, 7079.24, 6823.75, 6804.39, 6974.67, 66477.5, 84078.7, 135175, 67042.5, 90068.8, 185138, 156958, 262476, 389269
377, 5231.08, 5252.52, 5252.36, 5277.42, 5271.19, 5288.78, 639.837, 543.56, 595.072, 612.413, 573.107, 587.55, 7176.94, 7077.75, 7106.1, 7634.46, 60864.7, 65173.3, 103827, 120700, 109760, 207654, 246262, 309585, 458514
185, 5517.86, 5384.7, 5329.43, 5323.31, 5318.4, 5310.67, 576.82, 588.169, 614.551, 585.807, 627.457, 621.73, 6732.33, 7164.99, 7000.12, 7065.49, 94271.2, 114617, 105538, 56779.9, 88496.3, 200592, 193578, 252904, 381336
41, 5511.57, 5374.94, 5324.89, 5326.6, 5315.94, 5310.7, 621.16, 647.445, 628.543, 609.851, 617.921, 583.544, 6641.92, 7433.98, 7973.28, 7575.17, 69351, 74255.5, 114334, 71896.7, 114731, 215550, 177889, 225156, 364607
198, 5438.9, 5324.82, 5297.92, 5289.36, 5288.59, 5281.02, 616.19, 648.697, 626.419, 558.264, 581.977, 547.074, 6715.42, 7235.98, 7009.07, 7141.19, 94038.3, 67944.4, 107810, 111574, 81931.5, 192600, 202650, 235690, 248890
989, 5398.66, 5318.56, 5292.39, 5291.29, 5269.65, 5279.28, 580.768, 603.122, 620.591, 580.34, 565.074, 642.07, 6861.02, 6604.02, 6288.7, 6910.11, 108852, 82248.1, 91325.7, 106811, 105521, 231991, 224257, 318842, 441773
172, 5426.52, 5324.91, 5310.63, 5299.63, 5293.55, 5298.77, 611.476, 597.586, 589.542, 624.064, 636.734, 591.347, 6819.96, 7039.1, 6660.61, 6372.88, 94203.6, 88016.8, 84882.6, 87754, 85437.8, 202462, 168030, 218988, 384477
