seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,2.30898,1.46378,1.44733,1.17854,1.23264,1.26222,0.365224,0.407774,0.401918,0.391171,0.380641,0.369129,4.27765,4.29055,4.26582,4.35467,2.99569,13.3509,6.21448,35.6605,55.5981,391.559,457.555,145.569,704.943
500,1.93561,2.43637,1.22719,1.16205,1.15517,1.23855,0.365483,0.409931,0.404701,0.393328,0.383232,0.372237,4.29201,4.33492,4.32341,4.42738,17.9963,16.0906,20.3989,2.00779,14.7037,271.129,238.636,421.546,3627.99
130,2.15556,1.67264,1.1727,1.17029,1.12612,1.16305,0.364312,0.405614,0.400838,0.390224,0.37985,0.368583,4.28578,4.28911,4.25947,4.35204,1.36766,8.28212,3.50055,64.7639,3.06221,260.805,120.307,258.017,4388.8
991,1.9878,1.6083,1.24299,1.2891,1.28396,1.27364,0.365244,0.410669,0.405006,0.393287,0.383469,0.372746,4.27714,4.32628,4.30702,4.39961,37.1594,4.08044,18.2857,118.52,33.5982,141.495,159.747,184.926,4408.49
1017,1.85173,1.78749,1.17185,1.19249,1.16293,1.22335,0.366327,0.407781,0.403403,0.393363,0.38319,0.372012,4.28894,4.35133,4.34392,4.44389,361.089,0.920043,25.3219,1.23413,11.0324,318.215,207.834,338.911,1953.63
996,2.15809,2.34128,1.28935,1.20811,1.2557,1.18166,0.367425,0.408458,0.401751,0.390861,0.380262,0.368464,4.26497,4.29898,4.28701,4.38613,46.3243,6.10799,6.8545,44.9843,18.3923,366.184,206.207,224.743,4694.46
417,1.69087,1.85076,1.12853,1.15275,1.16869,1.18864,0.365917,0.409632,0.4044,0.394284,0.384648,0.373751,4.28086,4.33579,4.33061,4.43538,4.20871,25.6699,23.6811,2.31723,4.46904,440.476,110.743,352.595,3957.6
559,1.36945,2.08324,1.28722,1.25591,1.15635,1.27422,0.365727,0.409972,0.404832,0.393342,0.383295,0.37237,4.31225,4.34086,4.31494,4.39921,11.4365,3.29528,18.0216,3.72401,7.19073,456.17,164.671,426.547,3443.22
675,1.57251,2.10739,1.38547,1.1277,1.19143,1.10396,0.35599,0.398581,0.392455,0.383965,0.375055,0.365027,4.27431,4.37796,4.40818,4.55081,148.735,27.7843,5.98205,17.3213,60.725,455.094,454.763,441.468,3401.85
717,1.81691,1.80765,1.19139,1.13795,1.16021,1.19683,0.363859,0.405184,0.400102,0.390083,0.379569,0.367997,4.29056,4.31727,4.28903,4.36713,11.4523,21.0986,15.2132,55.4801,21.9617,260.707,269.536,136.119,2219.6
