seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,1864.84,4257.9,3183.65,2369.91,2000.29,1800.27,1360.74,1148.65,926.372,816.172,569.212,579.628,3352.38,2312.61,2836.61,2395.69,145.161,133.18,189.572,330.686,296.196,2002.9,2411.82,5682.2,22811.2
500,1861.59,4267.11,3174.13,2405.76,1923.71,1790.13,1448.81,1166.65,877.58,817.037,617.31,487.258,2614.82,2697.05,2867.3,2295.4,158.641,139.615,215.213,355.553,194.011,2526.69,2558.72,5681.4,17341.7
130,1881.18,4392.31,3182.28,2424.36,2144.56,1646.35,1430.88,1120.45,923.611,814.847,603.692,464.149,2777.33,2571.92,2181.44,2898.37,117.821,120.214,219.011,340.931,172.847,1881.74,2020.66,5661.5,21730.9
991,1864.49,4325.58,3281.97,2391.54,2022.98,1686.5,1507.17,1130.82,916.75,750.851,599.205,514.356,2755.29,2695.49,2985.2,2818.78,147.262,145.074,184.239,408.803,229.973,1970.79,2209.89,4687.9,22924.6
1017,1805.51,4375.74,3250.16,2336.01,2075.01,1669.66,1356.58,1086.38,909.943,791.102,592.247,544.651,2090.75,2755.18,2529.41,2833.42,127.316,131.675,213.097,368.184,209.913,2080.46,2363.72,5996.86,22851.4
996,1961.58,4307.85,3352.96,2472.32,2259.76,1722.32,1395.55,1117,910.262,811.552,605.916,628.471,2539.84,2373.29,2848.52,2857.99,159.013,130.461,250.175,349.945,158.396,1716.28,2056.74,5850.66,22007.1
417,1874.28,4299.26,3235.16,2427.63,1985.28,1681.4,1497.33,1135.11,962.834,870.709,681.833,503.12,2352.11,2550.64,2826.29,2461.27,117.256,136.956,161.206,386.852,180.476,2177.45,2757.46,6181.36,19937.2
559,1891.72,4383.86,3258.3,2353.17,2216.81,1792.69,1416.02,1222.88,978.477,826.934,627.719,532.736,2899.41,2681.01,2584.7,2761.82,138.095,129.788,183.842,399.902,223.8,2269.01,2408.7,4738.47,22962.8
675,1726.54,4111.31,3137.98,2322.59,2009.74,1640.85,1424.1,1151.89,902.254,792.902,563.289,547.682,2644.37,2455.45,2471.48,3054.17,131.665,141.309,208.702,433.207,218.635,2654.29,2796.71,5184.34,30299.7
717,1896.1,4433.82,3358.46,2386.28,2115.24,1638.23,1403.63,1156.81,1011.54,882.099,585.521,512.568,2904.22,2750.24,2969.43,2704.42,140.339,132.612,174.942,437.021,163.856,2131.7,1873.32,5537.47,19573.2
