seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,37012.6,40670.9,40687,40681.5,40829.6,40949.9,40907.6,40603.2,40009.2,39151.9,38099.2,36942.1,432474,346999,313622,293479,1.17861e+06,1.15267e+06,563787,510168,549023,439164,300048,207436,232786
500,36752.7,40307.8,40266.3,40245.2,40402.8,40548.6,40543.2,40286.3,39748,38951.5,37960.7,36863.6,485551,392349,355903,333915,1.07569e+06,1.05238e+06,868026,784833,839703,680299,467667,324153,363780
130,32691,35542.3,35523.4,35533.6,35665.3,35762.9,35716.4,35446,34929.9,34190.9,33285.9,32291.9,420064,336321,303673,284398,992548,971734,1.02545e+06,918228,988834,793204,539694,371535,416770
991,36945.3,40294.4,40112.6,40020.8,40147.8,40285.3,40285.2,40042.8,39525.9,38756,37795.6,36730.6,440533,356507,322662,302056,1.12143e+06,1.09791e+06,872404,781798,839363,684805,474432,329833,370201
1017,36882.3,40267.5,40157.5,40117.3,40274.7,40426.1,40428,40175,39636.2,38835.3,37837.6,36733,465613,377902,342953,321654,996912,975480,863376,779451,834433,679714,470477,327502,367614
996,37149.6,40647,40632.6,40628.9,40779.2,40897.2,40847.9,40532.3,39923.9,39050.1,37980.4,36807.6,465310,375314,340208,319009,975480,954113,813745,733340,786127,637531,439051,304705,341997
417,37079.5,40736.4,40685.3,40662.7,40839.5,41015.5,41045.8,40821.8,40310.7,39534.3,38556.5,37466.3,437872,354809,322199,302524,1.10303e+06,1.07959e+06,852775,771355,825638,672704,466533,325207,365089
559,38457.2,41985.5,41845.2,41772.2,41906.4,42039.4,42023.4,41752.1,41194.1,40373,39354.3,38228.4,460398,370740,334972,313112,1.1331e+06,1.10832e+06,881121,794600,852618,684863,466666,321770,360956
675,34868.1,39478.9,40016,40257.7,40556,40801.8,40886.9,40718.8,40268.2,39555,38639.1,37604.7,346231,283746,259729,245788,1.21189e+06,1.19095e+06,788949,708595,759213,634560,454209,320933,360631
717,37713.5,41119.9,40984.3,40906.1,41017.1,41116.5,41062,40748.8,40147.4,39283.6,38225.1,37063.9,433225,348735,314950,294076,1.01273e+06,990190,963752,864598,928093,746163,507062,348619,390993
