seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1.67778, 1.82456, 1.16784, 1.16809, 1.10112, 1.18105, 0.362474, 0.404973, 0.399577, 0.389773, 0.379101, 0.367587, 4.23747, 4.29035, 4.28651, 4.38998, 1.04263, 5.02883, 37.956, 20.6213, 94.1032, 51.6348, 227.238, 42.7017, 1550.79
867, 1.91179, 1.84494, 1.21569, 1.19905, 1.14112, 1.22918, 0.365471, 0.407564, 0.399136, 0.38696, 0.375576, 0.36315, 4.24045, 4.24836, 4.22987, 4.31764, 0.685711, 6.40908, 7.15398, 3.99987, 13.9776, 426.381, 50.5583, 340.657, 3797.58
761, 2.61625, 1.96439, 1.24717, 1.22226, 1.17919, 1.27654, 0.363623, 0.40948, 0.400214, 0.389608, 0.379005, 0.36711, 4.2567, 4.28642, 4.27097, 4.36379, 9.00004, 19.9873, 15.2623, 35.9147, 11.1959, 421.804, 167.579, 140.305, 3391.95
829, 1.86731, 1.5984, 1.21653, 1.11954, 1.18676, 1.24673, 0.362846, 0.405174, 0.40076, 0.389421, 0.378894, 0.367303, 4.23568, 4.28577, 4.2803, 4.37935, 29.701, 3.57004, 55.2434, 9.78537, 14.3163, 409.194, 390.686, 398.616, 3049.74
377, 1.88266, 1.85185, 1.32336, 1.07446, 1.35193, 1.29185, 0.362497, 0.406717, 0.401595, 0.390034, 0.379544, 0.367726, 4.24681, 4.33042, 4.36597, 4.50924, 894.183, 19.6511, 6.63022, 21.5442, 7.45369, 215.936, 468.032, 195.099, 4042.63
185, 1.98777, 1.83234, 1.13917, 1.16662, 1.28358, 1.22228, 0.364909, 0.40717, 0.403346, 0.388809, 0.377757, 0.365683, 4.27594, 4.29031, 4.25799, 4.33923, 33.4517, 1.00335, 5.29821, 17.4695, 1.47592, 263.139, 242.709, 140.029, 4700.16
41, 2.08655, 1.67978, 1.2308, 1.1579, 1.27915, 1.27925, 0.364391, 0.408423, 0.40063, 0.389904, 0.379215, 0.367515, 4.29102, 4.34528, 4.33531, 4.43734, 452.763, 2.78592, 2.52181, 34.8898, 4.27005, 471.498, 90.7179, 530.092, 4204.41
198, 1.68738, 1.59031, 1.32751, 1.18614, 1.21575, 1.12095, 0.361473, 0.404527, 0.399636, 0.388815, 0.378205, 0.366413, 4.29421, 4.33584, 4.3178, 4.41289, 16.7077, 19.5705, 6.45218, 1.52886, 15.6905, 256.869, 369.462, 379.441, 2210
989, 1.32564, 2.10167, 1.26463, 1.1616, 1.19835, 1.18516, 0.36523, 0.405749, 0.400142, 0.389948, 0.379617, 0.368431, 4.26757, 4.35133, 4.36024, 4.47321, 14.5712, 11.0787, 6.97544, 16.4084, 16.6921, 278.827, 89.8112, 550.778, 4896.83
172, 2.11351, 1.57081, 1.29824, 1.20186, 1.31515, 1.24455, 0.364566, 0.40481, 0.398712, 0.388109, 0.377417, 0.365728, 4.30006, 4.30456, 4.2806, 4.37277, 35.356, 5.92657, 33.0078, 4.61338, 11.6416, 87.5719, 359.53, 212.472, 2717.89
