seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5283.14, 5235.57, 5223.83, 5223.89, 5253.97, 5259.2, 611.533, 587.404, 622.325, 601.987, 648.629, 571.292, 6969.47, 6925.64, 6442.43, 6486.93, 120329, 63773.7, 120874, 119915, 93292.3, 183858, 220444, 300179, 287511
867, 5390.87, 5281.44, 5251.87, 5250.86, 5241.27, 5262.13, 568.818, 560.982, 626.21, 576.348, 628.603, 610.018, 6385.55, 6779.55, 7109.52, 7230.86, 81389.5, 94367.3, 99437, 106477, 59570.9, 190857, 199120, 253417, 354754
761, 5331.48, 5272.95, 5232.79, 5232.13, 5258.27, 5256.55, 523.584, 555.598, 627.88, 563.962, 585.827, 549.939, 7089.88, 6821.03, 6412.41, 7181.31, 109325, 78506.9, 106545, 88908.6, 91983.7, 188780, 143484, 219844, 382745
829, 5346.87, 5272.14, 5238.5, 5215.92, 5239.47, 5254.16, 582.472, 613.476, 632.38, 564.673, 589.65, 596.184, 7026.72, 6792.76, 6789.23, 6968.56, 66473.2, 84078.4, 135175, 67042.5, 90068.8, 185138, 156958, 262476, 389269
377, 5156.46, 5186.9, 5194.64, 5231.77, 5238.61, 5266.48, 637.84, 542.028, 593.189, 609.99, 570.259, 584.037, 7137.06, 7053.96, 7094.53, 7629.64, 60861.8, 65173.1, 103827, 120700, 109760, 207654, 246262, 309585, 458514
185, 5414.28, 5292.18, 5247.72, 5258.27, 5271.27, 5277.96, 574.205, 585.814, 611.854, 582.633, 623.201, 616.644, 6680.06, 7130.72, 6983.6, 7058.91, 94264.6, 114617, 105538, 56779.9, 88496.3, 200592, 193578, 252904, 381336
41, 5404.88, 5280.63, 5241.83, 5260.66, 5268.41, 5277.81, 618.317, 644.801, 625.703, 606.436, 613.589, 578.619, 6589.3, 7397.86, 7954.24, 7568.06, 69346, 74255.2, 114334, 71896.7, 114731, 215550, 177889, 225156, 364607
198, 5347.3, 5243.48, 5225.74, 5231.98, 5247.12, 5252.48, 613.749, 646.43, 624.013, 555.608, 578.501, 543.13, 6669.61, 7205.67, 6994.63, 7135.41, 94032.5, 67944.1, 107810, 111574, 81931.5, 192600, 202650, 235690, 248890
989, 5287.68, 5219.55, 5204.63, 5221.24, 5218.81, 5243.47, 577.834, 600.399, 617.506, 576.787, 560.761, 636.186, 6802.1, 6569.37, 6272.54, 6903.16, 108844, 82247.8, 91325.6, 106811, 105521, 231991, 224257, 318842, 441773
172, 5320.33, 5229.23, 5225.5, 5231.74, 5244.07, 5263.98, 608.502, 595.016, 586.776, 620.473, 632.169, 586.25, 6764.38, 7003.74, 6644.13, 6366.67, 94196.6, 88016.5, 84882.6, 87754, 85437.8, 202462, 168030, 218988, 384477
