seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 9876.25, 13166.7, 8859.21, 5760.61, 4758.01, 3666.92, 2806.3, 2522.18, 2088.87, 1747.48, 1616.39, 926.003, 5954.77, 4815.38, 4803.54, 5770.4, 280.521, 278.703, 730.938, 988.073, 762.275, 7268.22, 6162.74, 14161.8, 80512.7
867, 10121.2, 13299.7, 8854.14, 5834.41, 4791.66, 3623.56, 2903.14, 2589.88, 2102.28, 1699.63, 1529.52, 992.214, 4672.91, 5374.81, 4103.64, 5086.59, 297.719, 261.115, 690.002, 949.871, 805.952, 6426.19, 6839.24, 11968.3, 54924.8
761, 10437.1, 13242.2, 8854.11, 5772.34, 4933.43, 3654.1, 2843.05, 2616.96, 2034.9, 1695.17, 1502.73, 1137, 4380.39, 6075, 5883.5, 4791.15, 283.567, 213.24, 787.852, 872.182, 895.526, 6759.01, 7924.42, 12622.9, 63841.1
829, 9899.3, 13277.8, 8624.85, 5752.04, 4695.17, 3622.62, 2794.44, 2521.52, 2083.52, 1800.98, 1449.13, 983.399, 4791.97, 5455.1, 5427.74, 5288.77, 254.823, 245.168, 812.571, 1340.21, 644.712, 6594.09, 7205.86, 18102.1, 71199.3
377, 9992.89, 13008.2, 8734.03, 5697.86, 4955.1, 3519.55, 2826.69, 2609.83, 2044.74, 1758.21, 1526.11, 1053.18, 5132.33, 5004.93, 5774.47, 5996.9, 247.9, 270.079, 655.247, 902.824, 856.335, 7298.01, 7388.99, 16728.2, 82711.2
185, 10295, 12808.2, 9221.1, 5656.31, 4948.29, 3791.72, 2843.85, 2534.25, 2034, 1797.52, 1451.32, 1134.69, 4816.44, 5470.57, 4742.3, 5504.51, 273.374, 282.479, 821.856, 1039.18, 760.026, 6668.58, 6971.3, 10522.6, 59417.7
41, 10181.2, 13327.8, 8755.63, 5886.46, 4617.85, 3785.62, 2692.96, 2548.04, 2164.74, 1836.58, 1506.13, 1064.05, 5427.16, 6756, 4881.64, 4264.69, 333.132, 236.763, 789.937, 1032.2, 995.073, 6836.38, 7195.37, 15096.4, 80542.8
198, 10110.5, 12805.9, 8668.01, 5657.99, 4580.27, 3474.67, 2890, 2636, 2106.03, 1849.48, 1481.73, 1031.31, 6245.27, 4818.86, 4253.71, 5263.01, 376.319, 281.359, 662.287, 1025.04, 697.014, 6970.54, 6567.72, 14639.2, 77654
989, 9886.47, 13193.4, 8674.33, 5645.27, 4845.63, 3818.53, 2858.64, 2577.17, 1988.59, 1885.97, 1587.72, 1111.72, 4900.09, 4828.2, 5836.98, 5674.84, 200.468, 242.128, 838.599, 1170.23, 724.469, 5879.11, 7958.26, 18828, 65878.7
172, 10107.1, 13098.6, 8761.36, 5882.57, 4780.7, 3800.83, 2823.46, 2660.57, 2028.84, 1774.57, 1497.21, 1056.86, 5427.52, 5927.76, 4085.95, 4741.6, 211.708, 356.718, 1091.96, 967.479, 661.603, 6472.4, 5708.08, 17462.7, 53679.7
