seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5269, 5217.46, 5193.74, 5175.73, 5185.32, 5172.22, 599.786, 575.374, 610.02, 591.544, 639.402, 564.726, 6890.2, 6863.14, 6408.37, 6470.72, 120303, 63775.6, 120883, 119915, 93296.6, 183869, 220462, 300200, 287530
867, 5391.52, 5277.77, 5236.39, 5217.41, 5188.01, 5191, 559.68, 551.329, 615.874, 568.155, 621.517, 604.726, 6330.34, 6731.48, 7079.36, 7216.07, 81375.6, 94371.1, 99444.1, 106474, 59573.1, 190865, 199132, 253428, 354769
761, 5366.84, 5303.14, 5251.12, 5232.3, 5238.56, 5219.87, 518.669, 549.841, 621.765, 559.577, 582.755, 548.319, 7067.8, 6799.61, 6399.19, 7173.62, 109315, 78508.8, 106550, 88907.7, 91986, 188786, 143491, 219852, 382758
829, 5360.61, 5281.26, 5235.87, 5195.45, 5199.24, 5196.62, 574.669, 604.588, 623.646, 558.09, 584.396, 592.321, 6980.43, 6754.73, 6766.13, 6956.98, 66463.2, 84080.4, 135182, 67042.1, 90071.7, 185146, 156968, 262489, 389287
377, 5146.04, 5173.17, 5171.11, 5193.46, 5184.16, 5197.33, 628.16, 533.27, 583.986, 601.736, 563.959, 578.827, 7073.23, 7004.2, 7065.47, 7614.98, 60850.5, 65173.3, 103832, 120699, 109763, 207662, 246276, 309601, 458538
185, 5427.43, 5300.54, 5243.86, 5235.66, 5227.8, 5216.15, 565.964, 576.735, 602.785, 575.307, 617.178, 612.29, 6632.95, 7087.91, 6958.06, 7046.3, 94250.2, 114621, 105544, 56779.2, 88498.9, 200599, 193588, 252913, 381349
41, 5413.06, 5283.81, 5232.17, 5231.41, 5217.57, 5207.93, 608.447, 633.743, 615.453, 597.969, 606.916, 573.9, 6535.06, 7347.2, 7921.49, 7553, 69334, 74257.7, 114343, 71896.7, 114736, 215563, 177903, 225171, 364632
198, 5346.81, 5239.07, 5210.34, 5199.71, 5195.9, 5184.31, 604.272, 635.707, 614.046, 547.924, 572.113, 538.479, 6613.2, 7155.87, 6965.8, 7121.29, 94016.4, 67946, 107816, 111572, 81933.8, 192606, 202659, 235698, 248899
989, 5314.59, 5240.91, 5212.95, 5209.5, 5185.12, 5190.6, 570.446, 592.021, 609.336, 570.48, 556.28, 632.777, 6764.34, 6536.81, 6253.22, 6892.58, 108828, 82249.3, 91331.2, 106811, 105525, 232003, 224274, 318863, 441802
172, 5342.4, 5246.2, 5230.11, 5217.27, 5208.49, 5209.86, 600.65, 586.644, 578.913, 613.53, 626.907, 582.886, 6725.15, 6968.02, 6623.13, 6356.71, 94183.5, 88019.5, 84889.9, 87754.7, 85442.4, 202477, 168047, 219008, 384512
