seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 39753.9, 43225.1, 42679.1, 42185.5, 41867.4, 41418.3, 40581.4, 39181.3, 37170.6, 34590.9, 31562.9, 28277.3, 150115, 39711.7, 10586.6, 2665.18, 834.652, 42.6919, 2.66783, 0.105039, 0.00411715, 0.00014789, 9.52149e-06, 1.40168e-06, 1.91843e-07
867, 40708.4, 43765.8, 43119.4, 42599.6, 42249.3, 41752.6, 40854.6, 39384.2, 37295.4, 34634.3, 31529.8, 28179.8, 150782, 38828.1, 10001, 2378.92, 668.539, 28.6646, 1.44459, 0.0484698, 0.0017243, 6.88963e-05, 9.11088e-06, 1.68347e-06, 2.31287e-07
761, 40518.7, 43860, 43245.3, 42711.6, 42360.6, 41880.2, 41005.2, 39558.1, 37483.3, 34826.4, 31723, 28377.1, 151190, 39675.7, 10467.6, 2589.12, 784.005, 37.9424, 2.22611, 0.0838361, 0.00320627, 0.000117326, 9.39279e-06, 1.53421e-06, 2.11017e-07
829, 40450.5, 43685.4, 42989.7, 42423.6, 42070.2, 41602.3, 40749, 39329.6, 37290.1, 34674, 31611.1, 28300.5, 149910, 39973.8, 10817.4, 2786.74, 911.614, 49.7836, 3.33398, 0.137446, 0.0055466, 0.000198214, 9.89084e-06, 1.12102e-06, 1.45513e-07
377, 38833, 42883.4, 42650.9, 42295.7, 42046.3, 41639.6, 40830.6, 39449.4, 37444.6, 34858.1, 31816, 28514.6, 150655, 39755.5, 10616.7, 2695.21, 861.111, 45.2317, 2.91432, 0.11837, 0.0046839, 0.0001636, 7.84631e-06, 8.67143e-07, 1.12761e-07
185, 40936.8, 43821.7, 43124.7, 42583.8, 42219.8, 41714.9, 40812.8, 39341.3, 37252.4, 34592.1, 31490.5, 28146.8, 151060, 39259.9, 10169.9, 2436.69, 692.637, 29.81, 1.50948, 0.0505964, 0.00180825, 7.14675e-05, 9.48874e-06, 1.8231e-06, 2.54073e-07
41, 40954.8, 43771.5, 43037.2, 42476.8, 42100.9, 41589.1, 40685.8, 39219.4, 37142.8, 34500, 31417.8, 28092.5, 149696, 39511.2, 10433.1, 2570.94, 768.288, 36.1408, 2.01661, 0.0718621, 0.00268839, 9.80892e-05, 8.02593e-06, 1.33312e-06, 1.84474e-07
198, 40255, 43422, 42826.2, 42328.7, 42000.3, 41534.4, 40676.9, 39254, 37215.6, 34604.5, 31547.2, 28239.3, 151913, 39895.5, 10449.6, 2544.55, 744.857, 33.8107, 1.83027, 0.0649565, 0.00240795, 9.25988e-05, 1.03022e-05, 1.88802e-06, 2.61859e-07
989, 40061.9, 43510.6, 42887.5, 42335.8, 41983.4, 41516.4, 40667.8, 39257.9, 37232.7, 34634.5, 31591.5, 28300.9, 149914, 40299.9, 11021.5, 2889.43, 975.85, 55.9055, 3.90798, 0.16543, 0.00678714, 0.000245592, 1.24853e-05, 1.44459e-06, 1.88034e-07
172, 40393.1, 43503.6, 42978.9, 42506.2, 42149.5, 41625.6, 40698.7, 39208.7, 37112.3, 34457.5, 31374.1, 28058.5, 152742, 39548.7, 10179.7, 2410.74, 668.97, 27.342, 1.26475, 0.0391533, 0.00135862, 6.61456e-05, 1.27752e-05, 2.44209e-06, 3.32625e-07
