seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 9622.45, 13073.7, 8806.89, 5729.28, 4732.56, 3645.79, 2792.93, 2513.68, 2082.54, 1742.78, 1612.43, 923.849, 5941.1, 4808.05, 4799.58, 5768.19, 280.518, 278.717, 730.994, 988.056, 762.307, 7268.61, 6163.23, 14162.8, 80517.8
867, 9919.2, 13220.2, 8811.54, 5807.56, 4770.04, 3606.08, 2891.69, 2582.49, 2096.88, 1695.75, 1526.33, 990.249, 4663.64, 5367.74, 4100.69, 5084.85, 297.719, 261.13, 690.052, 949.836, 805.978, 6426.42, 6839.64, 11968.8, 54927
761, 10284.3, 13184.2, 8824.06, 5753.17, 4917.71, 3641.42, 2835.01, 2611.69, 2031.22, 1692.45, 1500.54, 1135.42, 4374.33, 6069.42, 5880.54, 4790, 283.565, 213.247, 787.889, 872.163, 895.545, 6759.19, 7924.76, 12623.3, 63843.1
829, 9707.47, 13207.4, 8585.14, 5727.49, 4674.76, 3606.26, 2784.15, 2515.03, 2078.72, 1797.31, 1446.44, 981.663, 4783.6, 5448.77, 5424.31, 5287.18, 254.821, 245.177, 812.618, 1340.18, 644.73, 6594.33, 7206.28, 18103, 71202.4
377, 9788.82, 12934.1, 8692.94, 5671.98, 4933.01, 3503.34, 2816.04, 2602.86, 2039.85, 1754.49, 1523.17, 1051.25, 5123.03, 4998.91, 5770.71, 5995.08, 247.894, 270.083, 655.276, 902.809, 856.354, 7298.26, 7389.41, 16729, 82715.2
185, 10098.3, 12734.1, 9180.07, 5631.98, 4927.29, 3775, 2833.37, 2527.53, 2029.13, 1793.69, 1448.49, 1132.58, 4807.55, 5463.84, 4739.13, 5502.79, 273.374, 282.492, 821.902, 1039.16, 760.046, 6668.77, 6971.61, 10522.9, 59419.6
41, 9960.01, 13245.6, 8712.37, 5858.11, 4595.06, 3766.55, 2681.84, 2540.62, 2159.08, 1832.31, 1502.93, 1061.89, 5416.18, 6746.96, 4878.11, 4263.25, 333.131, 236.774, 789.996, 1032.19, 995.113, 6836.74, 7195.93, 15097.4, 80548
198, 9900.22, 12731.8, 8627.07, 5632.04, 4559.47, 3458.15, 2878.97, 2628.74, 2100.79, 1845.38, 1478.72, 1029.31, 6233.36, 4812.73, 4250.76, 5261.29, 376.317, 281.371, 662.323, 1025.01, 697.031, 6970.73, 6568.01, 14639.7, 77656.3
989, 9695.27, 13117.1, 8634.83, 5620.71, 4824.79, 3801.77, 2848.32, 2570.43, 1983.94, 1882.07, 1584.73, 1109.73, 4891.4, 4822.53, 5833.25, 5673.14, 200.464, 242.135, 838.651, 1170.22, 724.494, 5879.4, 7958.85, 18829.3, 65882.9
172, 9922.74, 13031.6, 8724, 5858.87, 4761.54, 3785.03, 2813.63, 2653.95, 2024.29, 1771.03, 1494.47, 1055.02, 5417.95, 5920.9, 4083.39, 4740.21, 211.707, 356.735, 1092.06, 967.476, 661.638, 6472.86, 5708.67, 17464.3, 53684.6
