seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 5247.54, 5197.49, 5175.62, 5158.61, 5168.41, 5155.12, 597.769, 573.518, 608.211, 589.96, 637.829, 563.395, 6874.67, 6852.59, 6403.13, 6468.43, 120300, 63775.7, 120883, 119913, 93296.2, 183868, 220461, 300199, 287530
867, 5373.39, 5261.05, 5221.22, 5203.01, 5173.84, 5176.61, 558.095, 549.83, 614.331, 566.865, 620.214, 603.507, 6317.97, 6722.48, 7074.31, 7213.82, 81373.6, 94371.3, 99444.2, 106473, 59572.8, 190863, 199132, 253427, 354767
761, 5353.97, 5291.18, 5240.3, 5222.05, 5228.43, 5209.63, 517.625, 548.787, 620.67, 558.686, 581.9, 547.547, 7058.22, 6793.31, 6396.02, 7172.08, 109313, 78508.9, 106550, 88906.7, 91985.7, 188785, 143490, 219851, 382757
829, 5343.94, 5265.86, 5221.95, 5182.32, 5186.28, 5183.49, 573.193, 603.101, 622.241, 556.956, 583.306, 591.262, 6968.47, 6746.85, 6761.93, 6955.11, 66461.8, 84080.5, 135182, 67041.2, 90071.4, 185145, 156967, 262488, 389286
377, 5128.88, 5157.18, 5156.66, 5179.75, 5170.7, 5183.66, 626.493, 531.908, 582.622, 600.472, 562.871, 577.757, 7060.71, 6995.8, 7061, 7612.91, 60849.1, 65173.3, 103832, 120698, 109762, 207661, 246276, 309601, 458537
185, 5410.43, 5284.9, 5229.69, 5222.18, 5214.49, 5202.66, 564.464, 575.273, 601.376, 574.087, 615.969, 611.135, 6620.86, 7079.05, 6953.4, 7044.25, 94248.1, 114621, 105544, 56778.5, 88498.6, 200598, 193587, 252912, 381348
41, 5394.24, 5266.6, 5216.59, 5216.58, 5202.93, 5193.08, 606.676, 631.979, 613.875, 596.581, 605.616, 572.716, 6522.08, 7337.24, 7915.77, 7550.64, 69332.3, 74257.8, 114343, 71895.7, 114736, 215562, 177903, 225171, 364631
198, 5329.3, 5222.9, 5195.64, 5185.75, 5182.13, 5170.37, 602.615, 634.033, 612.554, 546.717, 570.95, 537.427, 6600.77, 7146.67, 6961.02, 7119.16, 94014.2, 67946.1, 107816, 111570, 81933.5, 192605, 202659, 235698, 248898
989, 5297.73, 5225.32, 5198.83, 5196.11, 5171.98, 5177.27, 568.955, 590.543, 607.944, 569.305, 555.229, 631.631, 6752.66, 6529.15, 6249.32, 6890.73, 108825, 82249.4, 91331.3, 106810, 105525, 232002, 224274, 318862, 441802
172, 5326.77, 5231.76, 5216.95, 5204.75, 5196.12, 5197.29, 599.172, 585.252, 577.644, 612.308, 625.751, 581.849, 6713.6, 6959.83, 6618.97, 6354.98, 94181.6, 88019.7, 84890.2, 87753.7, 85442.2, 202476, 168047, 219008, 384512
