seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1823.87, 4223.76, 3117.75, 2369.96, 1968.25, 1673.76, 1407.08, 1141.29, 941.725, 769.676, 605.748, 480.904, 2586.16, 3156.96, 2140.36, 2157.82, 129.657, 119.647, 266.013, 393.837, 211.877, 1870.62, 2119.91, 4683.05, 23147.6
867, 1840.61, 4278.05, 3372.69, 2355.81, 2053.73, 1750.43, 1430.48, 1170.53, 907.855, 748.213, 600.019, 448.139, 2414.72, 2692.62, 2600.73, 2322.15, 148.783, 157.344, 223.573, 364.261, 168.212, 2114.17, 1717.91, 4832.18, 23236
761, 1842.27, 4190.23, 3194.79, 2314.9, 2097.48, 1739.28, 1316.86, 1094.32, 963.901, 783.103, 542.393, 561.524, 2345.27, 2381.04, 2638.61, 2696.32, 109.001, 124.828, 193.646, 417.061, 162.814, 2096.73, 2173.92, 5224.01, 17126.1
829, 1781.3, 4338.46, 3248.25, 2296.11, 2013.94, 1835.39, 1340.54, 1062.04, 951.655, 784.061, 526.864, 442.158, 2391.9, 2724.36, 2712.19, 2643.69, 127.411, 122.586, 203.145, 536.087, 161.18, 2197.17, 2401.32, 6007.53, 23762.6
377, 1789.9, 4072.89, 3222.98, 2320.22, 2065.27, 1620.47, 1301.42, 1137.62, 910.059, 742.862, 601.901, 475.691, 2547.32, 3166.42, 2471.22, 2714.56, 153.743, 115.236, 196.911, 398.615, 159.566, 2297.92, 2679.55, 5394.59, 24543.5
185, 1854.12, 4368.11, 3213.13, 2538.33, 1885.05, 1683.51, 1380.69, 1168.79, 913.238, 783.657, 590.226, 444.299, 2223.04, 2461.24, 2983.87, 2434.77, 104.387, 124.945, 226.658, 366.99, 224.506, 2071.5, 1859.81, 4780.4, 14264.7
41, 1842.71, 4358.63, 3169.33, 2313.58, 2020.57, 1674.83, 1288.01, 1086.96, 997.978, 817.91, 575.527, 490.853, 2708.22, 3373.41, 2439.07, 2131.69, 166.564, 118.383, 197.486, 412.884, 248.771, 2277.9, 2397.82, 5010.03, 26881
198, 1817.55, 4080.78, 3146.46, 2325.51, 1909.18, 1690.99, 1365, 1192.75, 943.809, 838.095, 551.175, 468.064, 3116.8, 2406.32, 2125.4, 2630.73, 188.157, 140.682, 165.574, 410.02, 174.255, 2322.6, 2188.66, 4858.31, 25916.8
989, 1781.62, 4323.28, 3255.31, 2280.13, 1921.1, 1694.97, 1253.71, 1103.33, 853.842, 852.111, 618.597, 542.4, 2445.84, 2411.27, 2916.68, 2836.67, 100.233, 121.066, 209.652, 468.098, 181.119, 1958.93, 2652.06, 6248.43, 21986.9
172, 1811.66, 4355.38, 3220.29, 2286.59, 2080.26, 1685.83, 1337.11, 1125.18, 960.085, 802.343, 597.197, 458.857, 2480.31, 2764.39, 2561.92, 2748.75, 129.279, 128.394, 205.83, 385.412, 267.727, 2029.4, 1878.67, 5217.74, 16766.5
