seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 39612.2, 43078.3, 42544.5, 42057, 41739.8, 41289.4, 40452.8, 39062.6, 37068.3, 34506.6, 31494.3, 28220.3, 149798, 39613.3, 10559.5, 2658.62, 832.848, 42.6197, 2.66456, 0.104942, 0.00411373, 0.00014777, 9.51554e-06, 1.40109e-06, 1.9176e-07
867, 40590.5, 43644.7, 43008.3, 42492.9, 42142.7, 41644.2, 40745.8, 39283.1, 37207.4, 34560.8, 31468.8, 28128.1, 150471, 38728.3, 9973, 2372.08, 666.663, 28.5927, 1.44166, 0.0483958, 0.00172215, 6.88238e-05, 9.10545e-06, 1.68272e-06, 2.31177e-07
761, 40434.9, 43773.3, 43165.7, 42635.4, 42284.7, 41803.2, 40928.1, 39486.8, 37421.6, 34775.3, 31681, 28341.8, 150986, 39611.2, 10449.6, 2584.72, 782.786, 37.894, 2.22399, 0.0837769, 0.0032043, 0.000117257, 9.38895e-06, 1.53378e-06, 2.10954e-07
829, 40341.5, 43572.9, 42886.7, 42325.2, 41972.4, 41503.4, 40650.3, 39238.7, 37212, 34609.8, 31558.9, 28257.2, 149671, 39899.5, 10796.8, 2781.73, 910.217, 49.7257, 3.33119, 0.137358, 0.00554326, 0.000198092, 9.88552e-06, 1.12062e-06, 1.45462e-07
377, 38719.3, 42765.2, 42542.6, 42192.5, 41944.2, 41536.7, 40728.2, 39355.7, 37364.7, 34793.1, 31763.6, 28471.5, 150423, 39685.5, 10597.8, 2690.74, 859.913, 45.1849, 2.9122, 0.118306, 0.00468156, 0.000163518, 7.84281e-06, 8.66882e-07, 1.12728e-07
185, 40824.8, 43706.7, 43019.2, 42482.8, 42119.3, 41613.2, 40711.3, 39247.5, 37171.2, 34524.7, 31435.2, 28100.4, 150786, 39174.3, 10146.2, 2430.97, 691.083, 29.7515, 1.50714, 0.0505377, 0.00180656, 7.14115e-05, 9.48458e-06, 1.82251e-06, 2.53983e-07
41, 40830.7, 43645, 42921.5, 42365.9, 41990.4, 41477.1, 40573.8, 39115.9, 37053.3, 34425.9, 31357, 28041.5, 149405, 39419.1, 10407.4, 2564.63, 766.53, 36.0705, 2.01358, 0.0717816, 0.00268587, 9.80058e-05, 8.02156e-06, 1.33263e-06, 1.84399e-07
198, 40139.7, 43302.8, 42716.7, 42224, 41896.2, 41429.2, 40571.8, 39156.8, 37131.5, 34534.8, 31490.1, 28191.6, 151634, 39807.9, 10425.3, 2538.67, 743.249, 33.7491, 1.82773, 0.0648898, 0.0024059, 9.25288e-05, 1.02974e-05, 1.88739e-06, 2.61765e-07
989, 39951.4, 43396.4, 42783, 42236, 41884.2, 41416, 40567.6, 39165.7, 37153.5, 34569.5, 31538.7, 28257.2, 149679, 40226.8, 11001.3, 2884.48, 974.458, 55.8457, 3.90493, 0.165328, 0.00678317, 0.000245444, 1.24788e-05, 1.44409e-06, 1.8797e-07
172, 40291.4, 43399.5, 42883.2, 42414, 42057.1, 41531.3, 40603.7, 39120, 37034.6, 34392.1, 31319.5, 28011.9, 152459, 39456, 10153.3, 2404.2, 667.146, 27.2709, 1.26188, 0.0390841, 0.00135675, 6.60807e-05, 1.27692e-05, 2.44114e-06, 3.32481e-07
