seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 2.04326, 2.14403, 1.21342, 1.22394, 1.11867, 1.20378, 0.357879, 0.399109, 0.394204, 0.38515, 0.375868, 0.365553, 4.21375, 4.26809, 4.27266, 4.38308, 1.04244, 5.02863, 37.9553, 20.6221, 94.1032, 51.6351, 227.237, 42.702, 1550.81
867, 2.07606, 1.96814, 1.24139, 1.2177, 1.14494, 1.23636, 0.36057, 0.401551, 0.393353, 0.381987, 0.371909, 0.360594, 4.21055, 4.22249, 4.2143, 4.31009, 0.685574, 6.40882, 7.15389, 4.00007, 13.9777, 426.389, 50.5589, 340.665, 3797.67
761, 2.30648, 1.8089, 1.21049, 1.18158, 1.14539, 1.22294, 0.357032, 0.401121, 0.392888, 0.383615, 0.374159, 0.363216, 4.21192, 4.25107, 4.25065, 4.35425, 8.99802, 19.9866, 15.2621, 35.9158, 11.196, 421.808, 167.58, 140.306, 3391.99
829, 1.8827, 1.60515, 1.21546, 1.11355, 1.17576, 1.2304, 0.357158, 0.398399, 0.394378, 0.384137, 0.374842, 0.364285, 4.20071, 4.25662, 4.2631, 4.37111, 29.695, 3.56992, 55.2427, 9.7857, 14.3164, 409.196, 390.687, 398.62, 3049.77
377, 2.14846, 2.05119, 1.39495, 1.0842, 1.40234, 1.32962, 0.358635, 0.40225, 0.397585, 0.386414, 0.377029, 0.36615, 4.22783, 4.31266, 4.35494, 4.50375, 894.06, 19.6506, 6.63014, 21.5449, 7.4537, 215.937, 468.031, 195.1, 4042.65
185, 2.01538, 1.85136, 1.13859, 1.16118, 1.27331, 1.20656, 0.35894, 0.400035, 0.396604, 0.383247, 0.373501, 0.362534, 4.23933, 4.25977, 4.23996, 4.33057, 33.4445, 1.00332, 5.29815, 17.4701, 1.47592, 263.142, 242.71, 140.031, 4700.23
41, 2.20591, 1.73577, 1.24097, 1.16312, 1.28114, 1.2787, 0.358481, 0.401377, 0.393976, 0.384325, 0.375015, 0.364479, 4.25533, 4.31487, 4.3172, 4.42859, 452.664, 2.7858, 2.52176, 34.891, 4.27005, 471.499, 90.7176, 530.095, 4204.43
198, 1.8183, 1.68169, 1.36697, 1.201, 1.22557, 1.11968, 0.356505, 0.398563, 0.394152, 0.384088, 0.374719, 0.363995, 4.26604, 4.31114, 4.30288, 4.40561, 16.7046, 19.5698, 6.4521, 1.52892, 15.6906, 256.872, 369.464, 379.446, 2210.04
989, 1.28118, 1.99891, 1.23728, 1.14084, 1.16763, 1.1514, 0.358024, 0.397607, 0.392473, 0.38366, 0.374654, 0.36457, 4.22297, 4.315, 4.33907, 4.46315, 14.5678, 11.0783, 6.97532, 16.4089, 16.6921, 278.827, 89.8107, 550.779, 4896.84
172, 2.03183, 1.53493, 1.27649, 1.1825, 1.28384, 1.21314, 0.357931, 0.397171, 0.391502, 0.382155, 0.372746, 0.362139, 4.25835, 4.27071, 4.26084, 4.36337, 35.3479, 5.92632, 33.007, 4.61353, 11.6415, 87.5719, 359.526, 212.472, 2717.89
