seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 2498.5, 3302.6, 3837.09, 4289.99, 4669.33, 4923.48, 591.074, 578.188, 618.298, 600.241, 646.591, 567.87, 6809.99, 6792.61, 6374.05, 6458.23, 120286, 63772.3, 120874, 119915, 93292.3, 183858, 220444, 300179, 287511
867, 2938.12, 3565.82, 4011.72, 4410.22, 4716.67, 4959.22, 551.627, 553.049, 622.691, 575.141, 627.427, 607.64, 6268.49, 6673.97, 7047.81, 7204.53, 81365.1, 94365.6, 99437, 106477, 59570.9, 190857, 199120, 253417, 354754
761, 3668.01, 4128, 4423.01, 4692.83, 4925.65, 5070.03, 514.237, 551.484, 626.805, 564.448, 586.609, 550.091, 7018.44, 6757.98, 6378.77, 7165.42, 109305, 78506.1, 106545, 88908.6, 91983.7, 188780, 143484, 219844, 382745
829, 3231.45, 3825.86, 4217.24, 4540.08, 4823.37, 5019.92, 569.376, 607.638, 630.703, 564.819, 589.897, 595.374, 6919.07, 6701.26, 6738.12, 6946.62, 66456.1, 84077.1, 135175, 67042.5, 90068.8, 185138, 156958, 262476, 389269
377, 2982.87, 3692.06, 4137.03, 4524.71, 4803.76, 5019.32, 622.486, 536.129, 590.781, 609.074, 569.227, 581.65, 7006.53, 6946.16, 7035.3, 7603.4, 60844.8, 65172.1, 103827, 120700, 109760, 207654, 246262, 309585, 458514
185, 3133.21, 3695.91, 4096.55, 4476.16, 4780.93, 4995.39, 558.013, 578.044, 608.532, 581.347, 621.94, 614.238, 6570.2, 7031.68, 6929.41, 7035.84, 94238.9, 114615, 105538, 56779.9, 88496.3, 200592, 193578, 252904, 381336
41, 2921.47, 3558.03, 4007.66, 4426.66, 4749.54, 4980.59, 600.1, 635.912, 622.085, 604.842, 611.863, 575.624, 6463.87, 7281.49, 7885.09, 7540.54, 69325, 74253.8, 114334, 71896.7, 114731, 215550, 177889, 225156, 364607
198, 3005.15, 3606.48, 4039.31, 4424.86, 4739.2, 4958.32, 595.494, 637.172, 620.061, 553.824, 576.608, 540.145, 6546.21, 7095.53, 6935.51, 7110.16, 94005.1, 67943, 107810, 111574, 81931.5, 192600, 202650, 235690, 248890
989, 3181.19, 3793.35, 4201.99, 4557.21, 4814.68, 5017.52, 565.467, 595.195, 616.363, 577.407, 561.467, 635.928, 6701.52, 6483.08, 6226.62, 6882.1, 108817, 82246.6, 91325.6, 106811, 105521, 231991, 224257, 318842, 441773
172, 3211.13, 3745.01, 4145.4, 4496.63, 4781.71, 4995.63, 592.02, 587.238, 583.403, 618.749, 630.473, 583.626, 6664.37, 6916.67, 6597.98, 6348.05, 94173.5, 88015.2, 84882.6, 87754, 85437.8, 202462, 168030, 218988, 384477
