seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1.0942, 0.157031, 0.609977, 0.733437, 0.852877, 1.00498, 0.332283, 0.380873, 0.3783, 0.367167, 0.35279, 0.337106, 3.93038, 4.11987, 4.20764, 4.35897, 1.04203, 5.02853, 37.9553, 20.6221, 94.1032, 51.6351, 227.237, 42.702, 1550.81
867, 1.38816, 0.55876, 0.69934, 0.826874, 0.916048, 1.06527, 0.338801, 0.386356, 0.380736, 0.367623, 0.35312, 0.337205, 3.97412, 4.10236, 4.16249, 4.29119, 0.685367, 6.40873, 7.15388, 4.00007, 13.9777, 426.389, 50.5589, 340.665, 3797.67
761, 2.26236, 1.16224, 0.912045, 0.980172, 1.02673, 1.16694, 0.345654, 0.39481, 0.387373, 0.375899, 0.363039, 0.348665, 4.07031, 4.18357, 4.22345, 4.34514, 8.99692, 19.9866, 15.2621, 35.9158, 11.196, 421.808, 167.58, 140.306, 3391.99
829, 1.42721, 0.781479, 0.788419, 0.845806, 0.980782, 1.10511, 0.340549, 0.387299, 0.384773, 0.37242, 0.359043, 0.344302, 4.00245, 4.15595, 4.22012, 4.35569, 29.6881, 3.56988, 55.2427, 9.7857, 14.3164, 409.196, 390.687, 398.62, 3049.77
377, 1.41821, 0.731223, 0.794787, 0.813121, 1.09641, 1.13928, 0.339618, 0.388075, 0.384875, 0.37223, 0.358767, 0.343708, 4.00412, 4.19542, 4.3034, 4.48463, 893.792, 19.6503, 6.63014, 21.5449, 7.4537, 215.937, 468.031, 195.1, 4042.65
185, 1.50956, 0.677736, 0.717239, 0.850175, 1.02442, 1.07538, 0.339913, 0.387192, 0.385493, 0.370269, 0.356212, 0.340795, 4.02336, 4.1522, 4.19446, 4.31427, 33.4359, 1.0033, 5.29815, 17.4701, 1.47592, 263.142, 242.71, 140.031, 4700.23
41, 1.58322, 0.548473, 0.718387, 0.799068, 1.00303, 1.09503, 0.337716, 0.386714, 0.381464, 0.369442, 0.355348, 0.339925, 4.01271, 4.19182, 4.26449, 4.40948, 452.529, 2.78576, 2.52176, 34.891, 4.27005, 471.499, 90.7176, 530.095, 4204.43
198, 1.19151, 0.6074, 0.758605, 0.843295, 0.977231, 0.98604, 0.335953, 0.384047, 0.381516, 0.369667, 0.35593, 0.340645, 4.03127, 4.19085, 4.25094, 4.3866, 16.6996, 19.5695, 6.4521, 1.52892, 15.6906, 256.872, 369.464, 379.446, 2210.04
989, 0.882189, 0.854128, 0.802968, 0.873792, 0.992096, 1.05665, 0.342457, 0.387637, 0.383999, 0.372671, 0.35943, 0.345021, 4.029, 4.21739, 4.29807, 4.44878, 14.5649, 11.0782, 6.97532, 16.4089, 16.6921, 278.827, 89.8107, 550.779, 4896.84
172, 1.64365, 0.752656, 0.811485, 0.888837, 1.07241, 1.10139, 0.340604, 0.385671, 0.381741, 0.370093, 0.356529, 0.341667, 4.06039, 4.1744, 4.22084, 4.34933, 35.3404, 5.92627, 33.007, 4.61353, 11.6415, 87.5719, 359.526, 212.472, 2717.89
