seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 18601.7, 26425.9, 29064, 30211.6, 30494.7, 30223.1, 29607, 29314.1, 29416.2, 29618.4, 29412.3, 28487, 186160, 55797.7, 16107.3, 4313.74, 1424.26, 73.1698, 4.23458, 0.148389, 0.00519069, 0.000168777, 9.88705e-06, 1.40707e-06, 1.91872e-07
867, 21985, 28745.9, 30797.8, 31673.9, 31845.1, 31523.5, 30855.6, 30409.3, 30245.8, 30106.3, 29555.2, 28343, 184527, 54134.8, 15352.8, 4003.07, 1258.97, 59.47, 3.02507, 0.0923298, 0.00280551, 8.96104e-05, 9.46289e-06, 1.68834e-06, 2.31282e-07
761, 27547.2, 33550.9, 34858.9, 35306.9, 35313.5, 34943.8, 34214.3, 33473.6, 32726.9, 31799.6, 30435.4, 28534.8, 173691, 49739.5, 13941.7, 3632.28, 1159.51, 57.4053, 3.2252, 0.111419, 0.00388797, 0.00013051, 9.62049e-06, 1.53747e-06, 2.11023e-07
829, 24190.6, 30908.6, 32695.3, 33385.2, 33482.6, 33145.5, 32461.6, 31907.3, 31503.5, 31019, 30096.4, 28558.5, 177084, 51881.4, 14850.7, 3976.45, 1331.8, 71.3281, 4.43842, 0.167901, 0.006299, 0.000212853, 1.01473e-05, 1.12484e-06, 1.45541e-07
377, 22309.2, 29815.6, 32072, 32966.4, 33148.4, 32850.5, 32194.3, 31716.7, 31418.7, 31046.5, 30217.4, 28741.4, 178434, 51977.1, 14765.5, 3921.97, 1295.55, 67.3861, 4.04015, 0.149781, 0.00546431, 0.000178805, 8.11595e-06, 8.71318e-07, 1.12811e-07
185, 23461.4, 29809.3, 31634.1, 32403.9, 32535.9, 32202.2, 31519.9, 31001.9, 30701.8, 30383.9, 29655.9, 28301, 182455, 53546.6, 15166.6, 3954.95, 1246.28, 58.5415, 2.97799, 0.0910474, 0.00280974, 9.07184e-05, 9.81911e-06, 1.82779e-06, 2.54082e-07
41, 21916.7, 28654.3, 30715.3, 31586.1, 31741.5, 31407, 30734.7, 30310.5, 30181.4, 30074.1, 29544.7, 28344, 182998, 54516.6, 15645, 4145.81, 1339.43, 65.9975, 3.55074, 0.113508, 0.00371856, 0.000118041, 8.3689e-06, 1.33812e-06, 1.84502e-07
198, 22445.3, 29141.8, 31149.5, 32014.2, 32201.8, 31905.7, 31256.9, 30776.1, 30527.1, 30279.1, 29631.1, 28351.3, 183424, 54242.9, 15457.6, 4063.46, 1297.42, 62.5553, 3.30384, 0.105662, 0.00341689, 0.000112064, 1.06375e-05, 1.89278e-06, 2.61866e-07
989, 23784.4, 30749.4, 32638, 33357.5, 33460.6, 33123.4, 32439.6, 31893.5, 31498.7, 31022.5, 30106.7, 28574.5, 176648, 51925.9, 14929.5, 4034.21, 1377.11, 76.4675, 4.96305, 0.194541, 0.00750689, 0.00025964, 1.27315e-05, 1.44818e-06, 1.88047e-07
172, 24111.9, 30340.9, 32112.5, 32843.6, 32948.9, 32591.4, 31878.7, 31294.6, 30884.6, 30435, 29586.7, 28145.5, 182379, 53174, 14999.1, 3890.27, 1214.9, 55.9442, 2.7275, 0.0795042, 0.00235828, 8.52579e-05, 1.3096e-05, 2.44625e-06, 3.32577e-07
