seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 13945.5, 18962.8, 20342.8, 20961, 21031.7, 20680.7, 20054.4, 20144, 21372.9, 23482.7, 25668.2, 27227.6, 363526, 318586, 304413, 294583, 1.06694e+06, 1.04597e+06, 792441, 708154, 764692, 619338, 428192, 297703, 334155
867, 16753.3, 21039.5, 22072.9, 22533.8, 22565.1, 22244.8, 21678.4, 21689.6, 22622.5, 24249, 25897.4, 26998.8, 374287, 321187, 303447, 291423, 1.1125e+06, 1.08826e+06, 893205, 804466, 869205, 684989, 460377, 315814, 354278
761, 23759.2, 28284.4, 29095.9, 29429.7, 29491.1, 29291.8, 28863, 28810, 29368.3, 30357.9, 31289.1, 31768.1, 395700, 333404, 311010, 296582, 1.09313e+06, 1.07002e+06, 838978, 752145, 810351, 651265, 445089, 307391, 344896
829, 20591.7, 25454.7, 26485.1, 26915.3, 26964, 26689.3, 26167.6, 26197.3, 27090.3, 28609.1, 30104.6, 31044.5, 363194, 311452, 293607, 281767, 1.06364e+06, 1.04206e+06, 746463, 666983, 718968, 583660, 403486, 280311, 314620
377, 19342.9, 25063.8, 26542.6, 27162.9, 27279, 27014.1, 26474.5, 26562.6, 27587.3, 29274.6, 30918.1, 31949.5, 371458, 321557, 306557, 297173, 1.22574e+06, 1.20254e+06, 873467, 790914, 849556, 697369, 492679, 347662, 390673
185, 18934.5, 23184.8, 24164.3, 24619.4, 24669.1, 24371.7, 23820.2, 23806, 24672.8, 26209.1, 27768.8, 28799.2, 362943, 310309, 291534, 279031, 1.06662e+06, 1.04611e+06, 1.01941e+06, 904204, 981523, 779751, 526841, 360960, 404743
41, 16790, 21046.9, 22096, 22573.1, 22606.4, 22278.5, 21699.9, 21730.4, 22726.1, 24451.5, 26210.7, 27411.7, 374825, 325545, 308917, 297722, 927995, 910828, 1.43511e+06, 1.26415e+06, 1.36358e+06, 1.10762e+06, 757696, 521962, 585327
198, 16841.8, 21048.9, 22075.7, 22558.7, 22637.1, 22375.1, 21867.4, 21866, 22712.4, 24220.2, 25773.6, 26832.6, 360259, 310651, 293446, 281951, 1.03762e+06, 1.01787e+06, 952475, 848383, 918562, 734324, 499880, 344225, 386085
989, 18902.2, 23640.7, 24680.3, 25107.4, 25161.8, 24909.2, 24424.8, 24464.6, 25319.1, 26767, 28198.5, 29110.7, 408563, 353078, 334334, 321864, 1.00718e+06, 986807, 843134, 756457, 812443, 664809, 463259, 323638, 363327
172, 18247.6, 22186, 23106.6, 23532.2, 23588.7, 23331.2, 22841.3, 22805.1, 23515.7, 24797.5, 26098.7, 26944.7, 405165, 344708, 323799, 310244, 1.15126e+06, 1.12672e+06, 1.15584e+06, 1.03723e+06, 1.11876e+06, 886628, 596728, 409264, 459032
