seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
259, 9161.18, 11422.9, 8572.49, 5684.61, 5065.42, 3813.58, 2902.67, 2763.67, 2247.45, 1959.58, 1579.48, 1083.06, 4646.23, 5117.97, 6067.05, 5503.92, 333.233, 309.427, 723.08, 892.258, 793.416, 6221.08, 6323.55, 15906.4, 56898.2
139, 9458.6, 12148.4, 8498.48, 5756.39, 4817.7, 4025.82, 3043.18, 2728.15, 2219.05, 1777.23, 1539.55, 941.795, 5355.9, 5150.95, 5107.41, 5148.1, 218.425, 294.748, 739.63, 950.43, 787.853, 7227.32, 6300.19, 13573.7, 59631.2
501, 10127.8, 12230.8, 8720.58, 5738.09, 4965.72, 3760.47, 3018.32, 2827.03, 2247.35, 1845.43, 1594.79, 1106.94, 4981.72, 5877.28, 5086.72, 4777.45, 302.49, 210.337, 824.393, 903.721, 806.957, 3865.98, 7415.3, 15774.1, 64678
509, 9205.88, 11410.8, 8478.2, 5636.06, 4843.25, 3836.21, 2936.4, 2892.76, 2266.02, 1818.46, 1584.21, 1117.9, 5514.8, 5552.26, 5251.15, 4938.42, 277.946, 342.038, 803.078, 1134.02, 684.872, 6995.47, 7996.18, 16858.7, 61374
776, 9664.93, 11945.2, 8408.73, 5915.29, 4997.22, 3712.24, 2881.5, 2708.3, 2112.18, 1879.36, 1549.7, 1025.58, 4890.78, 5295.5, 4952.09, 4520.6, 255.68, 285.396, 836.112, 931.958, 724.003, 6031.56, 5889.01, 15749.9, 61282.7
925, 9186.05, 11732.4, 8460.98, 5704.45, 4986.98, 3855.94, 2902.37, 2757.92, 2265.15, 1882.68, 1507.73, 1224.52, 5499.58, 5104.5, 5987.28, 5290.81, 318.773, 271.776, 797.888, 1008.58, 945.05, 6421.27, 7673.06, 15139.1, 82789.4
1178, 9607.19, 12372.7, 8625.38, 5798.68, 4762.58, 3635.45, 3078.57, 2896.29, 2166.1, 1737.86, 1557.64, 989.763, 5946.25, 4649.3, 5724.68, 5600.11, 274.73, 271.135, 856.341, 946.433, 914.702, 6542.89, 7751.51, 14246.5, 49413.3
749, 9719.74, 11895.2, 8556.79, 5858.08, 4966.48, 3948.19, 3086.52, 2742.46, 2309.45, 1848.22, 1604.33, 997.092, 4771.35, 4975.55, 4760.35, 4902.97, 287.885, 253.101, 851.004, 1000.5, 823.515, 6805.79, 7110.45, 19366.9, 63862.2
1158, 10349.9, 12674.7, 8681.46, 5710.74, 5144.05, 3817.17, 2996.52, 2682.84, 2242.97, 1839.12, 1554.4, 1095.04, 4686.99, 4824.19, 5269.77, 5205.99, 263.18, 258.195, 773.056, 842.452, 763.869, 6560.24, 6286.69, 15930.8, 53975.8
942, 9238.72, 11948.3, 8507.58, 5824.71, 4841.43, 3766.3, 2843.13, 2817.11, 2182.92, 1821.54, 1556.04, 1063.92, 4497.52, 5517.24, 5487.17, 5033.83, 231.236, 323.81, 956.341, 995.954, 879.267, 7106.74, 6175.07, 16792, 68428.1
