seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
259, 2.13382, 2.08246, 3.82138, 2.7724, 2.48746, 2.28087, 1.11386, 0.914324, 1.19909, 0.390798, 0.382499, 0.372711, 4.39372, 4.37926, 4.33556, 4.42092, 91.7751, 9.51185, 10.9825, 50.6831, 30.3325, 429.146, 241.048, 303.107, 4802.36
139, 1.38701, 3.02372, 3.63766, 1.95853, 1.61395, 2.62327, 1.02873, 1.40199, 1.26271, 0.38752, 0.378517, 0.368351, 4.38442, 4.36151, 4.31477, 4.39512, 2.607, 26.8637, 21.4581, 45.1625, 4.2767, 464.686, 346.136, 92.4566, 1297.18
501, 2.6017, 2.15177, 3.33584, 3.23371, 1.92037, 2.79833, 1.66131, 1.1172, 1.37706, 0.390503, 0.381836, 0.37192, 4.35736, 4.37271, 4.33721, 4.42019, 7.72155, 18.0824, 47.2255, 64.7701, 67.7823, 361.391, 327.515, 74.7898, 2660.04
509, 1.43624, 2.45286, 2.85309, 1.6623, 2.38099, 2.32443, 1.15197, 1.76818, 1.56262, 0.391311, 0.382828, 0.373167, 4.39018, 4.40015, 4.36663, 4.45417, 19.8466, 11.7408, 21.1382, 6.25404, 36.3068, 354.54, 532.414, 289.41, 4690.09
776, 2.43828, 2.50409, 2.90501, 3.09493, 2.32863, 2.13139, 1.20975, 1.47656, 0.952296, 0.390344, 0.38178, 0.371908, 4.32437, 4.33552, 4.30913, 4.4039, 61.0093, 47.6701, 86.7016, 24.5751, 44.7857, 155.674, 526.38, 349.935, 2202.58
925, 2.52637, 3.24871, 2.54476, 2.93341, 1.77688, 2.6396, 1.07413, 0.994193, 1.9878, 0.39252, 0.384558, 0.375215, 4.35686, 4.41198, 4.395, 4.49526, 43.3915, 5.87899, 25.1318, 10.0866, 14.6389, 548.411, 235.127, 404.126, 1605.89
1178, 2.1098, 2.64612, 2.65351, 2.29454, 2.23091, 2.5801, 1.29796, 1.46609, 0.972162, 0.389962, 0.381567, 0.371956, 4.3539, 4.38744, 4.3677, 4.46711, 27.8158, 1.23958, 9.01218, 8.90541, 7.64731, 215.223, 373.149, 342.316, 934.98
749, 1.54918, 1.85956, 3.05513, 1.52591, 3.06593, 1.88628, 1.26644, 1.20948, 1.11112, 0.390024, 0.381377, 0.371646, 4.35284, 4.36306, 4.33175, 4.41843, 0.970569, 7.44057, 14.3544, 17.9912, 25.3995, 648.63, 199.214, 122.326, 3299.52
1158, 3.15612, 2.25826, 3.64484, 2.61467, 1.54631, 2.39472, 1.64277, 0.851428, 0.737907, 0.389239, 0.379765, 0.369057, 4.31333, 4.32489, 4.29655, 4.38355, 6.0204, 3.46398, 30.9285, 11.6958, 73.0054, 525.261, 661.398, 501.46, 4831.03
942, 1.60393, 2.63357, 5.33411, 1.69484, 2.44782, 2.11445, 1.83171, 1.42395, 1.37195, 0.38281, 0.373012, 0.362165, 4.3418, 4.33796, 4.33687, 4.45292, 14.5374, 28.4244, 54.2447, 18.5308, 49.3775, 178.011, 437.355, 80.6968, 2369.43
