seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
259, 32764.2, 37614.4, 39177.8, 40291.6, 41079.2, 41376.7, 41037.3, 39998.1, 38266.7, 35923.4, 33114.7, 30030.1, 169627, 44829.5, 11681.5, 2827.81, 818.7, 35.8439, 1.82384, 0.0606574, 0.00214504, 7.99163e-05, 8.65918e-06, 1.56859e-06, 2.17284e-07
139, 33684, 38126.1, 39447.4, 40424.1, 41127.3, 41371.3, 40998.6, 39935.6, 38183.2, 35819.3, 32990.8, 29889.7, 170016, 44609.2, 11517.8, 2743.38, 770.605, 32.3093, 1.55549, 0.0498388, 0.00172969, 7.39078e-05, 1.19293e-05, 2.27876e-06, 3.12878e-07
501, 35893, 39887.7, 40542.8, 41070, 41514.6, 41621.8, 41170.3, 40048.1, 38232.5, 35792.6, 32879.5, 29696.1, 163852, 43727.3, 11657.6, 2918.27, 899.952, 45.1641, 2.72239, 0.103028, 0.0039557, 0.000144574, 1.0707e-05, 1.65011e-06, 2.23759e-07
509, 32975.5, 37568.7, 39053.6, 40194.6, 41046.8, 41407.3, 41121.7, 40120.2, 38410.7, 36076.7, 33268, 30176.7, 168523, 44649.6, 11776.4, 2914.09, 882.038, 42.3705, 2.4384, 0.0897959, 0.00337025, 0.000120798, 9.03178e-06, 1.41623e-06, 1.93006e-07
776, 33480.2, 38114.1, 39375.4, 40321.6, 41054.7, 41358.7, 41053.7, 40050.5, 38343, 36007.8, 33193.9, 30096, 167137, 44807.4, 12010.8, 3044.15, 961.857, 49.439, 3.06996, 0.119075, 0.00462198, 0.000164695, 1.01523e-05, 1.43744e-06, 1.94593e-07
925, 33473.7, 38003.3, 39181.6, 40125.7, 40908.2, 41278.7, 41041.7, 40097.4, 38436.2, 36134.3, 33341.2, 30253.5, 166435, 45464.1, 12518.1, 3303.68, 1121.32, 64.4155, 4.48284, 0.187492, 0.00762555, 0.000272576, 1.193e-05, 1.09315e-06, 1.3354e-07
1178, 34925.9, 39078.5, 39905.9, 40570.4, 41125.8, 41317.2, 40940.3, 39887.1, 38140.6, 35773.3, 32934.7, 29822.7, 165168, 44765.4, 12230.7, 3185.71, 1056.83, 58.6507, 3.9443, 0.161772, 0.00652986, 0.000234899, 1.18891e-05, 1.35993e-06, 1.76653e-07
749, 34634.2, 39055, 40003.2, 40701, 41252.2, 41425.7, 41025.8, 39950, 38183.8, 35799.8, 32947.2, 29823.1, 165787, 44393.1, 11892.7, 3009.13, 947.963, 48.5497, 3.00644, 0.1166, 0.00454192, 0.000163634, 1.06482e-05, 1.54073e-06, 2.08175e-07
1158, 36094.1, 40238.8, 40911.7, 41398.1, 41786.1, 41834.8, 41338.2, 40177.2, 38324, 35845.5, 32893, 29671.5, 162762, 42924.7, 11299.8, 2782.83, 834.444, 39.8656, 2.28604, 0.0836692, 0.00312581, 0.000113379, 9.33517e-06, 1.55977e-06, 2.15885e-07
942, 33052.7, 37880.4, 39392.4, 40418.2, 41098.8, 41285.9, 40851.1, 39735.4, 37949.7, 35576.7, 32763.2, 29696.2, 169439, 44194.6, 11441.9, 2759.46, 799.494, 35.3437, 1.82815, 0.0634642, 0.00234349, 0.00010246, 1.5436e-05, 2.8091e-06, 3.77993e-07
