seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
259, 29634.6, 34374, 36142.2, 37524.2, 38655.2, 39447.1, 39840.1, 39841.8, 39492.3, 38713.6, 37865.1, 36888.6, 442645, 353855, 318876, 298260, 1.10679e+06, 1.08391e+06, 999853, 894087, 963991, 776775, 530407, 365857, 410420
139, 30901.5, 35313.2, 36859.7, 38109.4, 39150.8, 39874.4, 40210, 40155.5, 39745.8, 38902.2, 37986, 36942.8, 463739, 370091, 333253, 311373, 1.07565e+06, 1.05273e+06, 901063, 810527, 875676, 694038, 467286, 320442, 359400
501, 32222.9, 36128.4, 37062.9, 37895.6, 38691.2, 39290.3, 39575.9, 39518, 39131.3, 38323.4, 37451.1, 36456.8, 488501, 393215, 355059, 331843, 1.01505e+06, 992654, 877417, 788136, 846270, 683016, 465303, 320727, 359783
509, 30328.5, 34901.2, 36614.3, 38034.3, 39235.3, 40090.6, 40532.6, 40562.4, 40221.4, 39436.5, 38571.8, 37574.4, 466079, 374567, 338290, 316474, 1.09896e+06, 1.07535e+06, 857092, 771631, 829640, 669971, 459109, 317770, 356574
776, 33433.6, 38418.9, 40049, 41387.5, 42560.2, 43419.2, 43867.5, 43888.5, 43513.3, 42653.9, 41704.5, 40607.1, 440021, 354003, 320281, 300135, 1.07908e+06, 1.05594e+06, 732480, 658174, 707318, 577169, 399882, 278258, 312347
925, 29791.7, 34150.1, 35535, 36728.6, 37818.6, 38644.4, 39109.1, 39191.4, 38917.7, 38211.7, 37422, 36498.4, 433208, 351867, 319030, 299231, 1.05555e+06, 1.03366e+06, 676609, 607626, 652367, 536484, 374912, 262164, 294331
1178, 32791.2, 37025.9, 38163.2, 39166.7, 40110, 40821.2, 41190.3, 41186.5, 40829.3, 40031.1, 39157.1, 38152.1, 463597, 374844, 339732, 318533, 1.09382e+06, 1.07036e+06, 996301, 894927, 959924, 785074, 543624, 378271, 424584
749, 32506.4, 36990.4, 38239.1, 39273.4, 40213, 40907.2, 41253.2, 41224.9, 40843.5, 40021.1, 39124.1, 38096.9, 434866, 349826, 316059, 295680, 1.07866e+06, 1.05503e+06, 841607, 755178, 811892, 658920, 452873, 313680, 351977
1158, 32675.6, 36734.8, 37685.7, 38480.4, 39222, 39760.1, 39989.8, 39873.6, 39421.3, 38544, 37592.8, 36518.7, 454816, 365762, 330760, 309535, 1.00254e+06, 980148, 602404, 543038, 583225, 471474, 323227, 223834, 251216
942, 31015.1, 35859.8, 37603.9, 38926.6, 39977.9, 40671, 40952, 40824.3, 40327.7, 39389, 38375.9, 37239.2, 493845, 395950, 360282, 339344, 966814, 943935, 667844, 609309, 652306, 522222, 354907, 245552, 275592
