seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1003.79, 2644.82, 2073.44, 1619.49, 1351.29, 1140.51, 947.507, 777.299, 670.592, 586.41, 494.473, 414.6, 2386.34, 3008.16, 2082.75, 2130.12, 129.535, 119.602, 265.494, 391.557, 211.267, 1863.43, 2113.09, 4670.91, 23088.6
867, 1014.98, 2663.82, 2225.24, 1594.16, 1395.37, 1179.8, 952.801, 789.22, 641.199, 566.552, 487.506, 385.04, 2220.39, 2561.67, 2527.89, 2290.79, 148.604, 157.219, 222.915, 361.514, 167.541, 2102.98, 1710.31, 4815.26, 23156.3
761, 981.635, 2563.66, 2079.48, 1547.43, 1407.6, 1156.87, 865.237, 728.219, 673.462, 587.619, 437.113, 478.887, 2140.18, 2252.17, 2557.04, 2656.69, 108.876, 124.759, 193.179, 414.272, 162.257, 2087.19, 2165.58, 5207.92, 17074.3
829, 982.17, 2724.93, 2165.29, 1570.27, 1382.84, 1250.14, 902.185, 723.406, 679.069, 598.495, 430.632, 381.38, 2198.29, 2587.06, 2634.02, 2607.53, 127.283, 122.535, 202.728, 532.911, 160.698, 2188.43, 2393.23, 5991.14, 23698.9
377, 1145.8, 2868.86, 2374.49, 1742.61, 1555.86, 1213.61, 966.001, 852.582, 705.456, 605.642, 516.727, 425.433, 2393.12, 3048.47, 2418.77, 2687.21, 153.655, 115.228, 196.66, 396.962, 159.252, 2291.65, 2673.37, 5384.27, 24497.3
185, 979.69, 2625.94, 2054.54, 1669.66, 1245.12, 1103.15, 893.465, 765.601, 628.276, 580.323, 471.176, 376.305, 2028.26, 2329.84, 2892.13, 2398.03, 104.246, 124.868, 226.086, 364.368, 223.677, 2061.52, 1852.25, 4764.25, 14217.2
41, 947.058, 2576.4, 2000.45, 1503.56, 1319.25, 1083.19, 821.778, 702.787, 679.714, 601.694, 457.492, 414.532, 2462.89, 3186.53, 2361.77, 2098.94, 166.34, 118.308, 197.003, 410.015, 247.86, 2267.27, 2388.2, 4993.23, 26792.2
198, 1045.45, 2616.55, 2129.77, 1613.94, 1330.77, 1171.09, 934.894, 825.399, 680.121, 643.391, 451.42, 403.917, 2874.84, 2292.74, 2067.97, 2596.21, 187.952, 140.618, 165.232, 407.554, 173.723, 2313.25, 2181.27, 4844.77, 25845.7
989, 865.599, 2497.34, 2025.96, 1464.49, 1239.23, 1082.59, 789.586, 705.245, 576.396, 623.606, 490.162, 457.354, 2215.19, 2268.57, 2818.99, 2792.35, 100.133, 121.031, 209.228, 465.221, 180.572, 1950.93, 2642.89, 6231.07, 21926.9
172, 926.645, 2558.47, 2018.16, 1474.6, 1347.93, 1082.35, 846.778, 721.893, 648.603, 585.471, 471.108, 384.852, 2250.55, 2611.19, 2481.56, 2708.02, 129.127, 128.309, 205.247, 382.493, 266.678, 2018.8, 1870.54, 5200.24, 16711.5
