seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 4543.33, 4664.52, 4825.38, 4958.14, 5079.62, 5146.71, 603.29, 582.936, 620.737, 603.36, 653.147, 577.703, 7096.4, 6987.43, 6465.25, 6493.48, 120328, 63759.7, 120564, 119003, 92940.8, 183451, 219903, 299545, 286901
867, 4164.31, 4361.15, 4627.31, 4850.68, 4996.61, 5118.13, 560.358, 557.543, 626.814, 580.675, 637.25, 621.839, 6529.97, 6852.35, 7138.85, 7239.8, 81381.7, 94326.7, 99114.5, 105539, 59303.7, 190285, 198483, 252750, 353821
761, 4438.51, 4588.54, 4761.88, 4922.85, 5060.42, 5133.52, 516.249, 551.598, 626.953, 566.17, 591.16, 557.523, 7229.62, 6886.33, 6436.57, 7189.2, 109322, 78483.7, 106243, 88187.2, 91609.6, 188303, 143088, 219328, 381844
829, 4977.12, 4996.63, 5050.35, 5087.81, 5148.71, 5187.76, 577.053, 609.581, 630.303, 564.678, 591.647, 600.076, 7127.98, 6842.14, 6809.41, 6974.31, 66471.5, 84062.8, 134878, 66595.7, 89769.9, 184796, 156632, 261999, 388556
377, 4608.79, 4765.1, 4900.01, 5030.94, 5102.9, 5173.59, 630.194, 537.889, 590.965, 610.014, 572.383, 588.161, 7238.93, 7101.86, 7113.22, 7635.03, 60867.1, 65169.2, 103597, 119864, 109395, 207283, 245761, 309032, 457688
185, 4432.53, 4554.31, 4744.91, 4929.52, 5062.22, 5147.66, 565.649, 581.221, 610.693, 584.807, 628.923, 625.357, 6819.77, 7202.64, 7010.47, 7065.71, 94254.6, 114578, 105220, 56293.3, 88114.7, 200046, 193007, 252265, 380370
41, 4149.52, 4329.53, 4590.75, 4838.95, 5009.63, 5127.39, 609, 641.12, 626.806, 611.604, 622.716, 590.5, 6738.08, 7479.75, 7988.47, 7577.33, 69343.7, 74230.4, 114046, 71386.9, 114305, 215000, 177400, 224620, 363741
198, 4795.72, 4831, 4941.82, 5040.81, 5117.51, 5163.21, 606.504, 641.438, 621.562, 555.56, 580.678, 547.104, 6775.67, 7262.08, 7016.13, 7140.9, 94026.1, 67928.2, 107533, 110727, 81622.6, 192179, 202157, 235195, 248364
989, 4093.22, 4286.57, 4548.95, 4788.02, 4948.01, 5081.76, 568.045, 596.084, 617.863, 581.138, 568.636, 648.786, 6959.29, 6644.21, 6301.64, 6913.74, 108857, 82232, 91081.4, 105977, 105112, 231421, 223650, 318104, 440750
172, 4037.97, 4275.78, 4583.36, 4824.87, 4997.77, 5121.67, 599.799, 591.753, 587.726, 625.527, 641.252, 597.954, 6925.17, 7084.73, 6674.41, 6375.91, 94197.4, 87985.5, 84615, 87008.6, 85065.3, 201856, 167486, 218397, 383441
