seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1629.49, 3863.03, 2953.39, 2311.42, 1962.38, 1695, 1438.68, 1174.68, 972.971, 796.548, 627.433, 498.566, 2657.61, 3214.31, 2160.7, 2166.8, 129.709, 119.655, 265.827, 392.004, 211.449, 1871.35, 2121.38, 4685.78, 23161.3
867, 1461.14, 3607.6, 3032.46, 2226.04, 2009.6, 1753.58, 1454.28, 1201.57, 937.612, 775.62, 623.702, 466.978, 2485.61, 2740.28, 2623.85, 2331.04, 148.838, 157.359, 223.431, 362.46, 167.858, 2115.19, 1719.3, 4835.47, 23252.1
761, 1559.87, 3696.08, 2946.98, 2212.81, 2057.52, 1736.68, 1330.56, 1113.95, 985.827, 803.249, 557.512, 578.236, 2391.61, 2409.87, 2654.75, 2703.48, 109.03, 124.837, 193.513, 415.061, 162.479, 2097.63, 2175.53, 5227.27, 17137
829, 1707.45, 4188.55, 3187.87, 2285.11, 2025.77, 1860.75, 1366.26, 1086.16, 975.09, 803.769, 540.109, 453.344, 2435.92, 2759.23, 2730.85, 2651.8, 127.45, 122.594, 203.03, 533.869, 160.888, 2198.04, 2402.99, 6011.03, 23776.7
377, 1654.45, 3829.79, 3108.18, 2284.57, 2065.23, 1638.63, 1325.33, 1163.91, 933.617, 762.961, 618.536, 489.154, 2600.34, 3210.08, 2489.01, 2723.1, 153.789, 115.241, 196.756, 396.789, 159.247, 2298.55, 2680.98, 5396.97, 24554.6
185, 1562.66, 3841.54, 2967.19, 2435.55, 1859.68, 1692.15, 1404.34, 1198.13, 940.667, 809.398, 610.753, 460.536, 2279.29, 2500.34, 3008.17, 2443.45, 104.425, 124.957, 226.513, 365.201, 224.039, 2072.57, 1861.38, 4783.83, 14275.1
41, 1451.73, 3641.92, 2828.55, 2174.38, 1970.46, 1674.97, 1308.55, 1115.61, 1030.81, 848.027, 598.333, 511.534, 2787.75, 3434.29, 2461.27, 2140.04, 166.63, 118.395, 197.411, 411.397, 248.378, 2278.96, 2399.65, 5013.2, 26898.2
198, 1690.77, 3851.25, 3044.05, 2296.53, 1915.02, 1714.63, 1393.54, 1223.34, 970.59, 862.749, 567.607, 482.241, 3184.79, 2441.72, 2142.01, 2639.88, 188.224, 140.694, 165.473, 408.138, 173.912, 2323.7, 2190.39, 4861.55, 25934.4
989, 1407.5, 3603.84, 2887.77, 2127.85, 1860.83, 1684.28, 1266.46, 1126.36, 877.499, 879.333, 640.265, 562.855, 2510.35, 2449.83, 2940.07, 2846.42, 100.266, 121.073, 209.496, 465.933, 180.755, 1959.58, 2653.7, 6251.65, 21998.4
172, 1403.72, 3618.55, 2869.94, 2148.27, 2027.11, 1683.09, 1355.54, 1151.82, 988.876, 829.579, 619.211, 476.946, 2547.95, 2809.22, 2582.51, 2758.18, 129.322, 128.406, 205.71, 383.602, 267.191, 2030.37, 1880.15, 5221.18, 16777.7
