seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 31518, 35947.7, 37344.5, 38488.7, 39498.3, 40235.2, 40622, 40626.5, 40271.6, 39613.3, 38730.4, 37712.8, 447528, 358824, 323869, 303133, 1.06905e+06, 1.04621e+06, 792666, 710175, 765578, 621966, 429386, 298467, 334997
867, 27661.6, 32169.1, 34289.2, 36016.3, 37394.1, 38330, 38803.5, 38832.8, 38476.8, 37812.2, 36925.2, 35905.7, 450308, 356615, 320499, 298965, 1.11453e+06, 1.08865e+06, 893579, 806606, 870267, 688099, 461740, 316677, 355229
761, 31353, 35916.7, 37569.2, 38925.1, 40075.8, 40889.7, 41305.2, 41305.8, 40927.9, 40236.7, 39316.7, 38260.7, 448990, 358353, 322917, 301756, 1.0944e+06, 1.07011e+06, 838258, 751117, 809708, 652407, 445412, 307615, 345135
829, 36041, 40128.2, 40759.9, 41295.9, 41874.2, 42317.6, 42506, 42368.6, 41898.8, 41136.4, 40155.3, 39048.7, 423196, 340327, 307611, 287891, 1.06519e+06, 1.04228e+06, 746489, 667835, 719307, 585466, 404278, 280805, 315161
377, 34580.8, 39719.7, 41131.4, 42162.3, 43062.8, 43715.7, 44034.5, 43970.9, 43534.2, 42774.9, 41773.8, 40629.1, 435792, 352540, 321600, 303792, 1.2276e+06, 1.20272e+06, 873213, 791323, 849628, 699299, 493496, 348212, 391277
185, 30669.3, 34954.3, 36674.6, 38099.5, 39274.3, 40083.6, 40482.9, 40468.5, 40082.7, 39392.7, 38481.6, 37439.7, 430982, 342273, 306908, 285860, 1.06853e+06, 1.04634e+06, 1.01929e+06, 905220, 982013, 782479, 528026, 361762, 405628
41, 27934.3, 32308.3, 34450.4, 36254.6, 37721.5, 38742, 39292.2, 39392.3, 39104.6, 38508, 37688.7, 36734.8, 453221, 362870, 326905, 305693, 929875, 911061, 1.43545e+06, 1.26762e+06, 1.36516e+06, 1.11152e+06, 759433, 523110, 586600
198, 31099, 34896.5, 35839.3, 36606.4, 37305, 37806.8, 38032.2, 37940.7, 37541.3, 36876.8, 36015.4, 35039.1, 428607, 343286, 309274, 288991, 1.0395e+06, 1.01813e+06, 952647, 849997, 919361, 737148, 501173, 345080, 387028
989, 27736.7, 32368.1, 34467.6, 36247.1, 37746.8, 38831.7, 39453.9, 39620.2, 39388.1, 38836, 38052, 37126.3, 480537, 387651, 350898, 329035, 1.00873e+06, 986890, 842479, 756085, 812046, 666117, 463640, 323895, 363605
172, 25830.8, 30351.4, 32639.5, 34448.5, 35845.4, 36778.4, 37254.7, 37308, 37002.9, 36414.7, 35623.5, 34709.9, 477910, 378206, 339703, 317173, 1.15305e+06, 1.1269e+06, 1.15519e+06, 1.03781e+06, 1.11874e+06, 888992, 597429, 409679, 459480
