seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 37343.2, 41045.6, 28886.7, 25464.3, 25937.8, 28230, 31100.5, 33721.6, 35617.3, 36621.9, 36809, 36387.4, 436898, 354690, 322313, 302650, 1.06907e+06, 1.04644e+06, 794706, 715620, 768473, 623346, 430441, 299098, 335710
867, 36493.3, 39648, 27220.8, 23789.6, 24207.7, 26428.5, 29229.4, 31789.5, 33630.9, 34586, 34728.4, 34268.1, 437011, 351569, 318649, 298373, 1.11464e+06, 1.08911e+06, 896487, 813770, 874188, 690168, 463221, 317513, 356165
761, 38393, 42009.5, 28410.5, 24763.8, 25338.7, 27851.3, 30969.4, 33809, 35862.6, 36957.3, 37177.3, 36749, 437276, 353822, 321219, 301219, 1.09444e+06, 1.07042e+06, 840644, 757262, 813015, 654058, 446646, 308339, 345950
829, 39462, 43091.7, 29062.9, 25309.4, 25929.3, 28544.7, 31774.6, 34713, 36841.9, 37987.1, 38237.2, 37825.1, 414808, 337021, 306328, 287490, 1.06523e+06, 1.04247e+06, 748133, 672316, 721702, 586549, 405119, 281316, 315740
377, 39271.7, 43813.2, 29945.8, 26384.1, 27187.5, 29948.6, 33283.9, 36282.4, 38428.7, 39555.7, 39761.6, 39289.4, 426615, 349066, 320304, 303395, 1.2275e+06, 1.2028e+06, 875151, 796838, 852458, 700550, 494501, 348835, 391984
185, 38201.7, 41360, 27702.2, 23972.8, 24436.1, 26873.4, 29959.4, 32800.6, 34876.9, 36002.2, 36250.7, 35843.4, 418379, 337359, 305092, 285322, 1.06865e+06, 1.04669e+06, 1.02237e+06, 913045, 986266, 784615, 529589, 362678, 406658
41, 37136.6, 40157.9, 27101.7, 23705.6, 24271.9, 26653.3, 29598, 32276.8, 34214.8, 35250.4, 35463, 35065.2, 440185, 357750, 325014, 305111, 929916, 911366, 1.43907e+06, 1.27667e+06, 1.37025e+06, 1.11436e+06, 761529, 524357, 587997
198, 35294.2, 38499, 25843, 22255.9, 22661.2, 24967.1, 27908.6, 30635.4, 32651.1, 33774.9, 34071.3, 33744.8, 418014, 339060, 307653, 288492, 1.03956e+06, 1.01837e+06, 955098, 856494, 922840, 738765, 502394, 345807, 387848
989, 36602.8, 40188.9, 27613.4, 24258.3, 24858.2, 27249.2, 30181.6, 32836.7, 34751.5, 35774.1, 35988.6, 35608, 467980, 382754, 349032, 328408, 1.00862e+06, 987080, 844738, 762033, 815211, 667757, 464897, 324646, 364449
172, 34730.5, 37822.7, 25561.5, 22263.9, 22714.2, 24922.8, 27706.3, 30268.4, 32144.6, 33168.4, 33404.8, 33050.4, 462448, 372146, 337434, 316420, 1.15304e+06, 1.12729e+06, 1.15885e+06, 1.0467e+06, 1.12364e+06, 891660, 599369, 410788, 460721
